# z, f_OH+0.2, f_OH-0.2, f_Fe_mixed+0.1, f_Fe_mixed-0.1 (Z_cutoff_OH=0.6; Z_cutoff_Fe=0.2)
0.000000000000000000e+00,1.604758078149194356e-01,5.040932043550517411e-02,9.698361224155810367e-02,1.039483524397955862e-02
5.999999999999999778e-02,1.596266059992252351e-01,5.036251148630129654e-02,1.009633182790562744e-01,1.151582495996694017e-02
1.199999999999999956e-01,1.587465588419207096e-01,5.031335116002740027e-02,1.049938096002548671e-01,1.267469221770596045e-02
1.799999999999999933e-01,1.578860944373984276e-01,5.027884290511319687e-02,1.090965574457400250e-01,1.387073768273881964e-02
2.399999999999999911e-01,1.570976758276283747e-01,5.027685275125554076e-02,1.132978221002642616e-01,1.510520949133620748e-02
2.999999999999999889e-01,1.564345629880242450e-01,5.032581773567151862e-02,1.176282882148476649e-01,1.638140273820173215e-02
3.599999999999999867e-01,1.559492752663690918e-01,5.044430397232135821e-02,1.221225851822480279e-01,1.770468518012936754e-02
4.199999999999999845e-01,1.556923086289566938e-01,5.065059075234466801e-02,1.268184024833665102e-01,1.908238870446502672e-02
4.799999999999999822e-01,1.557118861196633286e-01,5.096267157205638249e-02,1.317560548738713477e-01,2.052377398325042762e-02
5.400000000000000355e-01,1.560524875516973442e-01,5.139780672727448096e-02,1.369772515840083082e-01,2.203977001634831179e-02
5.999999999999999778e-01,1.567543744993791233e-01,5.197238074321105378e-02,1.425238991797960764e-01,2.364276285699385208e-02
6.599999999999999201e-01,1.578538435569544762e-01,5.270203505426105522e-02,1.484377113728190811e-01,2.534645403048142037e-02
7.199999999999999734e-01,1.593822856358428075e-01,5.360134598348713364e-02,1.547582612994807538e-01,2.716549828804630529e-02
7.800000000000000266e-01,1.613662833154182463e-01,5.468387154661347865e-02,1.615222688329884249e-01,2.911531528535090535e-02
8.399999999999999689e-01,1.638274427967454927e-01,5.596208861374313281e-02,1.687622007243621269e-01,3.121171827057785120e-02
8.999999999999999112e-01,1.667821641373610775e-01,5.744729501169282271e-02,1.765050153648932973e-01,3.347067791208474530e-02
9.599999999999999645e-01,1.702415260067078606e-01,5.914954447803732335e-02,1.847709746997421854e-01,3.590796749447211500e-02
1.020000000000000018e+00,1.742110657588470390e-01,6.107752232909248458e-02,1.935724784627038397e-01,3.853882319954609476e-02
1.080000000000000071e+00,1.786907037371524287e-01,6.323846160442539444e-02,2.029130953907558321e-01,4.137759341821019982e-02
1.139999999999999902e+00,1.836747691197757604e-01,6.563807596657360299e-02,2.127869579986410298e-01,4.443749645734795112e-02
1.199999999999999956e+00,1.891519562459510750e-01,6.828045728776195589e-02,2.231782084802877986e-01,4.773023370579045077e-02
1.260000000000000009e+00,1.951058925332646576e-01,7.116817623191973308e-02,2.340613686664146653e-01,5.126587542237680262e-02
1.319999999999999840e+00,2.015156799264374299e-01,7.430236569847664674e-02,2.454021066488925595e-01,5.505274214601670740e-02
1.379999999999999893e+00,2.083568779915566938e-01,7.768298155499415991e-02,2.571584564463984535e-01,5.909742161789404563e-02
1.439999999999999947e+00,2.156027599542503226e-01,8.130917885548240298e-02,2.692830978529333064e-01,6.340500690847351850e-02
1.500000000000000000e+00,2.232258799522671422e-01,8.517980375804995452e-02,2.817258300650320457e-01,6.797942073207802194e-02
1.560000000000000053e+00,2.311998061087953693e-01,8.929402222732719940e-02,2.944366185230073429e-01,7.282398644617819883e-02
1.619999999999999885e+00,2.395010275843949543e-01,9.365202773708790340e-02,3.073688290184191096e-01,7.794207749186564393e-02
1.679999999999999938e+00,2.481106570988167725e-01,9.825575596063304551e-02,3.204823385957754622e-01,8.333788538567410420e-02
1.739999999999999991e+00,2.570160401457965427e-01,1.031096102068418952e-01,3.337461781339523537e-01,8.901723220037377482e-02
1.799999999999999822e+00,2.662119710085847357e-01,1.082210826208455379e-01,3.471409281240879219e-01,9.498833663847483511e-02
1.859999999999999876e+00,2.757014064617887006e-01,1.136012407267066315e-01,3.606593554568074400e-01,1.012624855784623051e-01
1.919999999999999929e+00,2.854956084465126720e-01,1.192650075720241842e-01,3.743072108012374111e-01,1.078545090183821858e-01
1.979999999999999982e+00,2.956136307997411228e-01,1.252311969811950865e-01,3.881021880236367738e-01,1.147830392040695979e-01
2.040000000000000036e+00,3.060811744213549623e-01,1.315222751281439617e-01,4.020722379056484441e-01,1.220704686754607166e-01
2.100000000000000089e+00,3.169286970352533372e-01,1.381637847299021504e-01,4.162527820838474168e-01,1.297425221998715350e-01
