z_lo,z_hi,N_detects,N_sigma_detects,N_success_ELAsTiCC,N_sigma_ELAsTiCC,N_oracle_detects,N_sigma_oracle_detects,oracle_recall
0.1,0.2,408.0,7.765258321490733,425.0,7.933220060962553,290.7894736842105,5.427992673290167,0.6842105263157895
0.2,0.3,1042.0,12.264448646388223,1114.0,12.826151476361504,832.144578313253,9.580980620896545,0.7469879518072289
0.3,0.4,2074.0,17.09854898849898,2242.0,18.12078563349663,1759.9317406143346,14.224507493871075,0.7849829351535836
0.4,0.5,3488.0,21.799097765817184,3902.0,23.844159771448844,3332.0449438202245,20.361304973372047,0.8539325842696629
0.5,0.6,5122.0,25.553656594611297,5947.0,29.165351228391007,5073.792890262751,24.88295808048197,0.8531684698608965
0.6,0.7,6895.0,28.44464393599609,8270.0,33.88569249613921,7091.223344556678,29.055745305331488,0.8574635241301908
0.7,0.8,8851.0,30.572573877112873,10942.0,38.08331311705579,9726.22222222222,33.85183388182736,0.8888888888888888
0.8,0.9,10735.0,31.437882861443935,13850.0,41.621809175578385,12350.888529886915,37.11670220503921,0.8917609046849758
0.9,1.0,12488.0,31.459294068379027,16784.0,44.27026657085623,14761.831325301204,38.93649951412656,0.8795180722891566
1.0,1.1,14077.0,30.320825872204814,19928.0,46.130252069406176,17490.401008827237,40.487585675039966,0.8776796973518285
1.1,1.2,15163.0,28.470645627012825,22214.0,45.920401518277295,19793.329319686934,40.91643241845298,0.8910295003010235
1.2,1.3,16161.0,26.321051203157502,24686.0,45.437018804249085,21889.759725400458,40.29026266967167,0.8867276887871853
1.3,1.4,16836.0,23.922005845984657,26773.0,44.12076124138255,23383.059088351154,38.534283312676266,0.8733821046707935
1.4,1.5,16911.0,20.974638606500832,28159.0,41.69882226325583,25141.964285714286,37.23109130647842,0.8928571428571429
1.5,1.6,16350.0,17.710109982969797,28872.0,38.642264048270206,24755.00122399021,33.13207584554869,0.857405140758874
1.6,1.7,15927.0,15.25040392465786,29263.0,35.53575349201783,25283.682488774855,30.70343807167929,0.8640153944836434
1.7,1.8,14332.0,11.881184811248932,28421.0,31.209003711164712,24224.21771978022,26.600531322496845,0.8523351648351648
1.8,1.9,12682.0,9.143397346477732,26887.0,26.71909724963044,22857.99924698795,22.715256622615033,0.8501506024096386
1.9,2.0,10887.0,6.7966771096944445,25107.0,22.650414647308885,21368.60088105727,19.27779784079329,0.8511013215859031
2.0,2.1,8836.0,4.742226158776429,22215.0,18.105731032988036,18628.532763532763,15.182678539533176,0.8385565052231719
2.1,2.2,7186.0,3.288693700635123,20174.0,14.882270269369641,17481.190371991248,12.895796557265598,0.8665207877461707
2.2,2.3,5840.0,2.312393704781992,17541.0,11.648504965123031,14729.942307692309,9.781757374558444,0.8397435897435898
2.3,2.4,4632.0,1.5745139437542792,14679.0,8.648557902222764,12511.780821917808,7.371677968409053,0.852359208523592
2.4,2.5,3717.0,1.1008412490660984,12131.0,6.352721074979405,10637.639123102867,5.570682898801501,0.8768971332209107
2.5,2.6,3095.0,0.8168789375834105,10207.0,4.8071665212631665,8788.184647302905,4.138950428058536,0.8609958506224067
2.6,2.7,2377.0,0.5388463532672432,8411.0,3.535145076621045,7218.719072164948,3.0340291508113606,0.8582474226804123
2.7,2.8,1843.0,0.362195554848638,6960.0,2.626364304039336,6257.614678899083,2.3613183650995864,0.8990825688073395
2.8,2.9,1565.0,0.2788284063414015,5959.0,2.050871348966662,4950.553846153846,1.7038008129876885,0.8307692307692308
2.9,3.0,1175.0,0.180609490432495,4873.0,1.5125792375294094,4266.582222222222,1.3243471546368608,0.8755555555555555
3.0,3.1,953.0,0.1314327319982075,3995.0,1.1203373521442095,3406.9035532994926,0.9554145947219655,0.8527918781725888
3.1,3.2,746.0,0.0913494907856074,3232.0,0.8191411936101856,2897.655172413793,0.7344024494436147,0.896551724137931
3.2,3.3,593.0,0.0649506925255185,2576.0,0.5854195434040352,2235.0588235294117,0.5079375450123247,0.8676470588235294
3.3,3.4,440.0,0.041872352942305055,2182.0,0.4605770810515628,1888.269230769231,0.39857632014077554,0.8653846153846154
3.4,3.5,296.0,0.023299719305880467,1871.0,0.3689352639300728,1609.9302325581396,0.3174559247770394,0.8604651162790697
3.5,3.6,171.0,0.01040196039401697,1493.0,0.26752823690552674,1268.0273972602738,0.22721576285126924,0.8493150684931506
3.6,3.7,131.0,0.007082206506484126,1177.0,0.1902610128766809,959.037037037037,0.15502749197359184,0.8148148148148148
3.7,3.8,50.0,0.0016972707731960188,936.0,0.1371778509976056,780.0,0.11431487583133801,0.8333333333333334
3.8,3.9,22.0,0.0005047108674309639,764.0,0.10310008842226001,674.1176470588235,0.0909706662549353,0.8823529411764706
3.9,4.0,,,,,,,
4.0,4.1,,,,,,,
4.1,4.2,,,,,,,
4.2,4.3,,,,,,,
4.3,4.4,,,,,,,
4.4,4.5,,,,,,,
4.5,4.6,,,,,,,
4.6,4.7,,,,,,,
4.7,4.8,,,,,,,
4.8,4.9,,,,,,,
4.9,5.0,,,,,,,
