name,redshift_lo,redshift_med,redshift_up
1991D,0.0,0.04179,0.0
1999as,0.0,0.127,0.0
1999bz,0.0,0.0846,0.0
2002gh,0.0,0.3653,0.0
2005ap,0.0,0.2832,0.0
2006oz,0.0,0.376,0.0
2007bi,0.0,0.1279,0.0
2009cb,0.0,0.1867,0.0
2009jh,0.0,0.3499,0.0
2010gx,0.0,0.2297,0.0
2010hy,0.0,0.1901,0.0
2010kd,0.0,0.101,0.0
2010md,0.0,0.0987,0.0
2011ep,0.0,0.28,0.0
2011ke,0.0,0.1428,0.0
2011kf,0.0,0.245,0.0
2011kg,0.0,0.1924,0.0
2011kl,0.0,0.677,0.0
2012aa,0.0,0.083,0.0
2012il,0.0,0.175,0.0
2013dg,0.0,0.265,0.0
2013hy,0.0,0.663,0.0
2014bl,0.0,0.0377,0.0
2015bn,0.0,0.1136,0.0
2016aj,0.0,0.485,0.0
2016ard,0.0,0.2025,0.0
2016eay,0.0,0.1013,0.0
2016els,0.0,0.217,0.0
2016inl,0.0,0.3057,0.0
2016wi,0.0,0.224,0.0
2017beq,0.0,0.31,0.0
2017dwh,0.0,0.13,0.0
2017egm,0.0,0.03072,0.0
2017ens,0.0,0.1086,0.0
2017gci,0.0,0.087,0.0
2017hbx,0.0,0.1652,0.0
2017jan,0.0,0.396,0.0
2018avk,0.0,0.132,0.0
2018beh,0.0,0.06,0.0
2018bgv,0.0,0.0795,0.0
2018bsz,0.0,0.0267,0.0
2018bym,0.0,0.274,0.0
2018cxa,0.0,0.19,0.0
2018don,0.0,0.0734,0.0
2018fcg,0.0,0.1011,0.0
2018fd,0.0,0.263,0.0
2018ffj,0.0,0.234,0.0
2018ffs,0.0,0.141,0.0
2018gbw,0.0,0.3454,0.0
2018gft,0.0,0.232,0.0
2018gkz,0.0,0.2405,0.0
2018hpq,0.0,0.124,0.0
2018hsf,0.0,0.119,0.0
2018hti,0.0,0.0612,0.0
2018ibb,0.0,0.166,0.0
2018jfo,0.0,0.163,0.0
2018kyt,0.0,0.108,0.0
2018lfd,0.0,0.2686,0.0
2018lfe,0.0,0.35,0.0
2018lzv,0.0,0.434,0.0
2018lzw,0.0,0.3198,0.0
2018lzx,0.0,0.4373,0.0
2019aamp,0.0,0.404,0.0
2019aamq,0.0,0.386,0.0
2019aamr,0.0,0.42,0.0
2019aams,0.0,0.636,0.0
2019aamt,0.0,0.2138,0.0
2019aamu,0.0,0.259,0.0
2019aamv,0.0,0.3996,0.0
2019aamw,0.0,0.22,0.0
2019aamx,0.0,0.41,0.0
2019bgu,0.0,0.148,0.0
2019cca,0.0,0.4103,0.0
2019cdt,0.0,0.153,0.0
2019cwu,0.0,0.32,0.0
2019dgr,0.0,0.3815,0.0
2019dlr,0.0,0.26,0.0
2019dwa,0.0,0.082,0.0
2019enz,0.0,0.255,0.0
2019eot,0.0,0.3057,0.0
2019gam,0.0,0.1235,0.0
2019gfm,0.0,0.18167,0.0
2019gqi,0.0,0.3642,0.0
2019hge,0.0,0.0866,0.0
2019hno,0.0,0.26,0.0
2019ieh,0.0,0.032,0.0
2019itq,0.0,0.481,0.0
2019J,0.0,0.1346,0.0
2019kcy,0.0,0.399,0.0
2019kwq,0.0,0.49,0.0
2019kws,0.0,0.1977,0.0
2019kwt,0.0,0.3562,0.0
2019kwu,0.0,0.6,0.0
2019lsq,0.0,0.1295,0.0
2019neq,0.0,0.1059,0.0
2019nhs,0.0,0.189,0.0
2019obk,0.0,0.1656,0.0
2019otl,0.0,0.514,0.0
2019pud,0.0,0.1136,0.0
2019pvs,0.0,0.167,0.0
2019qgk,0.0,0.3468,0.0
2019sgg,0.0,0.5726,0.0
2019sgh,0.0,0.344,0.0
2019szu,0.0,0.212,0.0
2019ujb,0.0,0.2008,0.0
2019unb,0.0,0.0635,0.0
2019une,0.0,0.1666,0.0
2019vvc,0.0,0.3314,0.0
2019xaq,0.0,0.2,0.0
2019xdy,0.0,0.2206,0.0
2019zbv,0.0,0.3785,0.0
2019zeu,0.0,0.39,0.0
2020abjc,0.0,0.219,0.0
2020abjx,0.0,0.39,0.0
2020adkm,0.0,0.226,0.0
2020aewh,0.0,0.345,0.0
2020afag,0.0,0.3815,0.0
2020afah,0.0,0.3754,0.0
2020ank,0.0,0.2485,0.0
2020aup,0.0,0.31,0.0
2020auv,0.0,0.28,0.0
2020dlb,0.0,0.398,0.0
2020exj,0.0,0.1216,0.0
2020fvm,0.0,0.2428,0.0
2020fyq,0.0,0.1765,0.0
2020htd,0.0,0.3515,0.0
2020iyj,0.0,0.369,0.0
2020jii,0.0,0.396,0.0
2020kox,0.0,0.456,0.0
2020myh,0.0,0.283,0.0
2020onb,0.0,0.153,0.0
2020qef,0.0,0.1831,0.0
2020qlb,0.0,0.1585,0.0
2020rmv,0.0,0.2621,0.0
2020tcw,0.0,0.064,0.0
2020uew,0.0,0.22367,0.0
2020vpg,0.0,0.257,0.0
2020wfh,0.0,0.33,0.0
2020wnt,0.0,0.032,0.0
2020xga,0.0,0.44,0.0
2020xgd,0.0,0.454,0.0
2020xkv,0.0,0.241,0.0
2020zbf,0.0,0.35,0.0
2020znr,0.0,0.1,0.0
2020zzb,0.0,0.1659,0.0
2021bnw,0.0,0.098,0.0
2021een,0.0,0.16,0.0
2021ejo,0.0,0.44,0.0
2021ek,0.0,0.193,0.0
2021fpl,0.0,0.121,0.0
2021gtr,0.0,0.303,0.0
2021hpc,0.0,0.24,0.0
2021hpx,0.0,0.213,0.0
2021kty,0.0,0.159,0.0
2021lwz,0.0,0.065,0.0
2021mkr,0.0,0.28,0.0
2021nxq,0.0,0.15,0.0
2021rwz,0.0,0.19,0.0
2021txk,0.0,0.46,0.0
2021uvy,0.0,0.095,0.0
2021vuw,0.0,0.2,0.0
2021xfu,0.0,0.32,0.0
2021ybf,0.0,0.13,0.0
2021ynn,0.0,0.22,0.0
2021yrp,0.0,0.3,0.0
2021zcl,0.0,0.117,0.0
2022aawb,0.0,0.13,0.0
2022abdu,0.0,0.13,0.0
2022ful,0.0,0.15,0.0
2022gyv,0.0,0.39,0.0
2022le,0.0,0.2491,0.0
2022ljr,0.0,0.2,0.0
2022lxd,0.0,0.54,0.0
2022npq,0.0,0.26,0.0
2022ojm,0.0,0.47,0.0
2022pjq,0.0,0.17,0.0
2022ued,0.0,0.1087,0.0
ASASSN15no,0.0,0.03638,0.0
CSS140925,0.0,0.46,0.0
CSS160710,0.0,0.18,0.0
DES14C1fi,0.0,1.302,0.0
DES14C1rhg,0.0,0.481,0.0
DES14E2slp,0.0,0.57,0.0
DES14S2qri,0.0,1.5,0.0
DES14X2byo,0.0,0.868,0.0
DES14X3taz,0.0,0.608,0.0
DES15C3hav,0.0,0.392,0.0
DES15E2mlf,0.0,1.861,0.0
DES15S1nog,0.0,0.565,0.0
DES15X1noe,0.0,1.188,0.0
DES15X3hm,0.0,0.86,0.0
DES16C2aix,0.0,1.068,0.0
DES16C2nm,0.0,1.998,0.0
DES16C3cv,0.0,0.727,0.0
DES16C3dmp,0.0,0.562,0.0
DES16C3ggu,0.0,0.949,0.0
DES17C3gyp,0.0,0.47,0.0
DES17X1amf,0.0,0.92,0.0
DES17X1blv,0.0,0.69,0.0
iPTF13ajg,0.0,0.7403,0.0
iPTF13bdl,0.0,0.403,0.0
iPTF13bjz,0.0,0.2712,0.0
iPTF13cjq,0.0,0.3962,0.0
iPTF13dcc,0.0,0.4305,0.0
iPTF13ehe,0.0,0.3434,0.0
iPTF15eov,0.0,0.0535,0.0
iPTF16asu,0.0,0.187,0.0
iPTF16bad,0.0,0.2467,0.0
iPTF16eh,0.0,0.427,0.0
LSQ12dlf,0.0,0.255,0.0
LSQ14an,0.0,0.1637,0.0
LSQ14bdq,0.0,0.345,0.0
LSQ14fxj,0.0,0.36,0.0
LSQ14mo,0.0,0.256,0.0
MLS121104,0.0,0.303,0.0
OGLE15qz,0.0,0.68,0.0
OGLE15sd,0.0,0.565,0.0
OGLE15xl,0.0,0.198,0.0
OGLE15xx,0.0,0.21,0.0
OGLE16dmu,0.0,0.426,0.0
PS110ahf,0.0,1.1,0.0
PS110awh,0.0,0.9084,0.0
PS110bzj,0.0,0.65,0.0
PS110ky,0.0,0.9558,0.0
PS110pm,0.0,1.206,0.0
PS111afv,0.0,1.407,0.0
PS111aib,0.0,0.997,0.0
PS111ap,0.0,0.524,0.0
PS111bam,0.0,1.565,0.0
PS111bdn,0.0,0.738,0.0
PS111tt,0.0,1.283,0.0
PS112bmy,0.0,1.572,0.0
PS112bqf,0.0,0.522,0.0
PS112cil,0.0,0.32,0.0
PS112zn,0.0,0.674,0.0
