name,redshift_med
1991D,0.04179
1999as,0.127
1999bz,0.0846
2002gh,0.3653
2005ap,0.2832
2006oz,0.376
2007bi,0.1279
2009cb,0.1867
2009jh,0.3499
2010gx,0.2297
2010hy,0.1901
2010kd,0.101
2010md,0.0987
2011ep,0.28
2011ke,0.1428
2011kf,0.245
2011kg,0.1924
2011kl,0.677
2012aa,0.083
2012il,0.175
2013dg,0.265
2013hy,0.663
2014bl,0.0377
2015bn,0.1136
2016aj,0.485
2016ard,0.2025
2016eay,0.1013
2016els,0.217
2016inl,0.3057
2016wi,0.224
2017beq,0.31
2017dwh,0.13
2017egm,0.03072
2017ens,0.1086
2017gci,0.087
2017hbx,0.1652
2017jan,0.396
2018avk,0.132
2018beh,0.06
2018bgv,0.0795
2018bsz,0.0267
2018bym,0.274
2018cxa,0.19
2018don,0.0734
2018fcg,0.1011
2018fd,0.263
2018ffj,0.234
2018ffs,0.141
2018gbw,0.3454
2018gft,0.232
2018gkz,0.2405
2018hpq,0.124
2018hsf,0.119
2018hti,0.0612
2018ibb,0.166
2018jfo,0.163
2018kyt,0.108
2018lfd,0.2686
2018lfe,0.35
2018lzv,0.434
2018lzw,0.3198
2018lzx,0.4373
2019aamp,0.404
2019aamq,0.386
2019aamr,0.42
2019aams,0.636
2019aamt,0.2138
2019aamu,0.259
2019aamv,0.3996
2019aamw,0.22
2019aamx,0.41
2019bgu,0.148
2019cca,0.4103
2019cdt,0.153
2019cwu,0.32
2019dgr,0.3815
2019dlr,0.26
2019dwa,0.082
2019enz,0.255
2019eot,0.3057
2019gam,0.1235
2019gfm,0.18167
2019gqi,0.3642
2019hge,0.0866
2019hno,0.26
2019ieh,0.032
2019itq,0.481
2019J,0.1346
2019kcy,0.399
2019kwq,0.49
2019kws,0.1977
2019kwt,0.3562
2019kwu,0.6
2019lsq,0.1295
2019neq,0.1059
2019nhs,0.189
2019obk,0.1656
2019otl,0.514
2019pud,0.1136
2019pvs,0.167
2019qgk,0.3468
2019sgg,0.5726
2019sgh,0.344
2019szu,0.212
2019ujb,0.2008
2019unb,0.0635
2019une,0.1666
2019vvc,0.3314
2019xaq,0.2
2019xdy,0.2206
2019zbv,0.3785
2019zeu,0.39
2020abjc,0.219
2020abjx,0.39
2020adkm,0.226
2020aewh,0.345
2020afag,0.3815
2020afah,0.3754
2020ank,0.2485
2020aup,0.31
2020auv,0.28
2020dlb,0.398
2020exj,0.1216
2020fvm,0.2428
2020fyq,0.1765
2020htd,0.3515
2020iyj,0.369
2020jii,0.396
2020kox,0.456
2020myh,0.283
2020onb,0.153
2020qef,0.1831
2020qlb,0.1585
2020rmv,0.2621
2020tcw,0.064
2020uew,0.22367
2020vpg,0.257
2020wfh,0.33
2020wnt,0.032
2020xga,0.44
2020xgd,0.454
2020xkv,0.241
2020zbf,0.35
2020znr,0.1
2020zzb,0.1659
2021bnw,0.098
2021een,0.16
2021ejo,0.44
2021ek,0.193
2021fpl,0.121
2021gtr,0.303
2021hpc,0.24
2021hpx,0.213
2021kty,0.159
2021lwz,0.065
2021mkr,0.28
2021nxq,0.15
2021rwz,0.19
2021txk,0.46
2021uvy,0.095
2021vuw,0.2
2021xfu,0.32
2021ybf,0.13
2021ynn,0.22
2021yrp,0.3
2021zcl,0.117
2022aawb,0.13
2022abdu,0.13
2022ful,0.15
2022gyv,0.39
2022le,0.2491
2022ljr,0.2
2022lxd,0.54
2022npq,0.26
2022ojm,0.47
2022pjq,0.17
2022ued,0.1087
ASASSN15no,0.03638
CSS140925,0.46
CSS160710,0.18
DES14C1fi,1.302
DES14C1rhg,0.481
DES14E2slp,0.57
DES14S2qri,1.5
DES14X2byo,0.868
DES14X3taz,0.608
DES15C3hav,0.392
DES15E2mlf,1.861
DES15S1nog,0.565
DES15X1noe,1.188
DES15X3hm,0.86
DES16C2aix,1.068
DES16C2nm,1.998
DES16C3cv,0.727
DES16C3dmp,0.562
DES16C3ggu,0.949
DES17C3gyp,0.47
DES17X1amf,0.92
DES17X1blv,0.69
iPTF13ajg,0.7403
iPTF13bdl,0.403
iPTF13bjz,0.2712
iPTF13cjq,0.3962
iPTF13dcc,0.4305
iPTF13ehe,0.3434
iPTF15eov,0.0535
iPTF16asu,0.187
iPTF16bad,0.2467
iPTF16eh,0.427
LSQ12dlf,0.255
LSQ14an,0.1637
LSQ14bdq,0.345
LSQ14fxj,0.36
LSQ14mo,0.256
MLS121104,0.303
OGLE15qz,0.68
OGLE15sd,0.565
OGLE15xl,0.198
OGLE15xx,0.21
OGLE16dmu,0.426
PS110ahf,1.1
PS110awh,0.9084
PS110bzj,0.65
PS110ky,0.9558
PS110pm,1.206
PS111afv,1.407
PS111aib,0.997
PS111ap,0.524
PS111bam,1.565
PS111bdn,0.738
PS111tt,1.283
PS112bmy,1.572
PS112bqf,0.522
PS112cil,0.32
PS112zn,0.674
PS113gt,0.884
PS113or,1.52
PS114bj,0.5215
PS15cjz,0.22
PSNJ000123,0.281
PTF09atu,0.5015
PTF09cnd,0.2584
PTF10aagc,0.206
PTF10bfz,0.1701
PTF10bjp,0.3584
PTF10iam,0.109
PTF10nmn,0.1237
PTF10uhf,0.2882
PTF10vqv,0.4518
PTF12dam,0.1073
PTF12gty,0.1768
PTF12hni,0.1056
PTF12mxx,0.3296
SCP06F6,1.189
SDSS17789,0.3858
SN1000,3.8993
SN2213,2.0458
SNLS06D4eu,1.5881
SNLS07D2bv,1.5
SNLS07D3bs,0.757
SSS120810,0.156
UID30901,0.37
2022acsx,0.28
2023cmx,0.233
2023wwx,0.308
