object_id,mjd,mag,mag_err,UL,filter,System,detected
1991D,48299.3,16.6949,0.05,False,R,Vega,1
1991D,48300.3,17.0349,0.05,False,R,Vega,1
1991D,48300.3,17.578,0.05,False,V,Vega,1
1991D,48300.3,17.7763,0.05,False,B,Vega,1
1991D,48308.29,17.7349,0.05,False,R,Vega,1
1991D,48308.29,18.258,0.05,False,V,Vega,1
1991D,48308.29,19.1263,0.05,False,B,Vega,1
1991D,48311.3,19.4463,0.05,False,B,Vega,1
1991D,48311.3,17.9249,0.05,False,R,Vega,1
1991D,48311.3,18.388,0.05,False,V,Vega,1
1991D,48353.25,19.2649,0.05,False,R,Vega,1
1991D,48353.25,19.888,0.05,False,V,Vega,1
1991D,48353.25,21.1063,0.1,False,B,Vega,1
1991D,48363.21,19.4349,0.05,False,R,Vega,1
1991D,48363.21,20.078,0.05,False,V,Vega,1
1991D,48363.21,21.2163,0.1,False,B,Vega,1
1991D,48367.26,20.098,0.05,False,V,Vega,1
1991D,48475.02,21.8749,0.2,True,R,Vega,0
1991D,48475.02,22.338,0.2,True,V,Vega,0
1999as,51241.12,17.4968,0.0322,False,R,Vega,1
1999as,51266.06,18.869,0.0404,False,B,Vega,1
1999as,51266.07,17.7589,0.0366,False,R,Vega,1
1999as,51266.07,18.3313,0.0568,False,V,Vega,1
1999as,51266.08,17.7144,0.0382,False,I,Vega,1
1999as,51273.06,18.178,0.0359,False,R,Vega,1
1999as,51273.08,18.1429,0.0359,False,R,Vega,1
1999as,51273.08,18.4893,0.0394,False,V,Vega,1
1999as,51273.11,17.8929,0.0364,False,I,Vega,1
1999as,51281.2,19.0062,0.0564,False,V,Vega,1
1999as,51281.21,18.5599,0.0367,False,R,Vega,1
1999as,51281.23,19.789,0.0806,False,B,Vega,1
1999as,51284.2,18.1992,0.0322,False,I,Vega,1
1999as,51284.2,18.208,0.0334,False,I,Vega,1
1999as,51284.2,18.5292,0.0331,False,R,Vega,1
1999as,51284.2,18.5431,0.0337,False,R,Vega,1
1999as,51284.21,19.0195,0.0263,False,V,Vega,1
1999as,51284.21,19.0642,0.0278,False,V,Vega,1
1999as,51288.14,18.3027,0.0297,False,I,Vega,1
1999as,51288.15,18.624,0.0325,False,R,Vega,1
1999as,51288.16,19.0671,0.0178,False,V,Vega,1
1999as,51303.23,19.7363,0.0925,False,V,Vega,1
1999as,51303.24,19.2399,0.0645,False,R,Vega,1
1999as,51303.26,18.7998,0.0771,False,I,Vega,1
1999as,51304.22,19.7082,0.0646,False,V,Vega,1
1999as,51304.23,19.295,0.0521,False,R,Vega,1
1999as,51304.24,18.8407,0.0604,False,I,Vega,1
1999as,51309.95,21.3358,0.089,False,B,Vega,1
1999as,51309.97,21.1136,0.0537,False,B,Vega,1
1999as,51309.99,21.1533,0.0488,False,B,Vega,1
1999as,51310.0,21.1464,0.0486,False,B,Vega,1
1999as,51310.02,21.0775,0.0477,False,B,Vega,1
1999as,51312.06,19.7617,0.0463,False,R,Vega,1
1999as,51312.06,19.7802,0.0483,False,R,Vega,1
1999as,51312.06,19.744,0.0444,False,R,Vega,1
1999as,51312.07,19.6531,0.0468,False,R,Vega,1
1999as,51312.07,19.7127,0.0477,False,R,Vega,1
1999as,51312.08,19.7134,0.0474,False,R,Vega,1
1999as,51319.96,21.7145,0.1502,False,B,Vega,1
1999as,51319.97,21.5727,0.1875,False,B,Vega,1
1999as,51319.99,21.491,0.1486,False,B,Vega,1
1999as,51320.0,21.8232,0.2046,False,B,Vega,1
1999as,51320.02,21.9719,0.356,False,B,Vega,1
1999bz,51292.4,17.5471,0.1,False,C,Vega,1
2002gh,52562.8,19.0757,0.01,False,V,Vega,1
2002gh,52572.7,18.9303,0.028,False,I,Vega,1
2002gh,52572.7,19.0157,0.022,False,V,Vega,1
2002gh,52572.8,19.0267,0.016,False,V,Vega,1
2002gh,52574.7,18.9633,0.036,False,I,Vega,1
2002gh,52574.7,19.0587,0.015,False,V,Vega,1
2002gh,52576.8,19.0987,0.014,False,V,Vega,1
2002gh,52576.8,19.2345,0.017,False,B,Vega,1
2002gh,52577.8,19.1007,0.014,False,V,Vega,1
2002gh,52577.8,19.2865,0.02,False,B,Vega,1
2002gh,52585.8,19.1027,0.018,False,V,Vega,1
2002gh,52585.8,18.9163,0.054,False,I,Vega,1
2002gh,52585.8,19.4645,0.031,False,B,Vega,1
2002gh,52585.8,19.1337,0.024,False,V,Vega,1
2002gh,52586.8,19.0163,0.038,False,I,Vega,1
2002gh,52586.8,19.1537,0.014,False,V,Vega,1
2002gh,52586.8,19.4025,0.016,False,B,Vega,1
2002gh,52590.8,19.1607,0.032,False,V,Vega,1
2002gh,52590.8,19.4915,0.039,False,B,Vega,1
2002gh,52590.8,18.8503,0.111,False,I,Vega,1
2002gh,52596.7,19.7425,0.085,False,B,Vega,1
2002gh,52596.7,18.8783,0.061,False,I,Vega,1
2002gh,52596.7,19.2937,0.044,False,V,Vega,1
2002gh,52611.7,19.0723,0.037,False,I,Vega,1
2002gh,52611.7,19.4417,0.023,False,V,Vega,1
2002gh,52611.7,19.9785,0.019,False,B,Vega,1
2002gh,52615.8,19.4687,0.055,False,V,Vega,1
2002gh,52615.8,20.0465,0.066,False,B,Vega,1
2002gh,52619.6,19.1573,0.026,False,I,Vega,1
2002gh,52646.6,19.3083,0.053,False,I,Vega,1
2002gh,52646.6,19.7807,0.02,False,V,Vega,1
2002gh,52646.6,20.4815,0.033,False,B,Vega,1
2002gh,52665.6,20.6675,0.037,False,B,Vega,1
