mjd,mag,mag_err,UL,filter,detected
48299.3,16.6949,0.05,False,r,1
48300.3,17.0349,0.05,False,r,1
48300.3,17.578,0.05,False,g,1
48300.3,17.7763,0.05,False,u,1
48308.29,17.7349,0.05,False,r,1
48308.29,18.258,0.05,False,g,1
48308.29,19.1263,0.05,False,u,1
48311.3,19.4463,0.05,False,u,1
48311.3,17.9249,0.05,False,r,1
48311.3,18.388,0.05,False,g,1
48353.25,19.2649,0.05,False,r,1
48353.25,19.888,0.05,False,g,1
48353.25,21.1063,0.1,False,u,1
48363.21,19.4349,0.05,False,r,1
48363.21,20.078,0.05,False,g,1
48363.21,21.2163,0.1,False,u,1
48367.26,20.098,0.05,False,g,1
48475.02,21.8749,inf,True,r,0
48475.02,22.338,inf,True,g,0
