mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
48299.3,16.6949,0.05,False,R,Vega,1,R,6695.83
48300.3,17.0349,0.05,False,R,Vega,1,R,6695.83
48300.3,17.578,0.05,False,V,Vega,1,V,5467.57
48300.3,17.7763,0.05,False,B,Vega,1,B,4369.53
48308.29,17.7349,0.05,False,R,Vega,1,R,6695.83
48308.29,18.258,0.05,False,V,Vega,1,V,5467.57
48308.29,19.1263,0.05,False,B,Vega,1,B,4369.53
48311.3,19.4463,0.05,False,B,Vega,1,B,4369.53
48311.3,17.9249,0.05,False,R,Vega,1,R,6695.83
48311.3,18.388,0.05,False,V,Vega,1,V,5467.57
48353.25,19.2649,0.05,False,R,Vega,1,R,6695.83
48353.25,19.888,0.05,False,V,Vega,1,V,5467.57
48353.25,21.1063,0.1,False,B,Vega,1,B,4369.53
48363.21,19.4349,0.05,False,R,Vega,1,R,6695.83
48363.21,20.078,0.05,False,V,Vega,1,V,5467.57
48363.21,21.2163,0.1,False,B,Vega,1,B,4369.53
48367.26,20.098,0.05,False,V,Vega,1,V,5467.57
48475.02,21.8749,0.2,True,R,Vega,0,R,6695.83
48475.02,22.338,0.2,True,V,Vega,0,V,5467.57
