mjd,mag,mag_err,UL,filter,detected
52562.8,19.0757,0.01,False,V,1
52572.7,18.9303,0.028,False,I,1
52572.7,19.0157,0.022,False,V,1
52572.8,19.0267,0.016,False,V,1
52574.7,18.9633,0.036,False,I,1
52574.7,19.0587,0.015,False,V,1
52576.8,19.0987,0.014,False,V,1
52576.8,19.2345,0.017,False,B,1
52577.8,19.1007,0.014,False,V,1
52577.8,19.2865,0.02,False,B,1
52585.8,19.1027,0.018,False,V,1
52585.8,18.9163,0.054,False,I,1
52585.8,19.4645,0.031,False,B,1
52585.8,19.1337,0.024,False,V,1
52586.8,19.0163,0.038,False,I,1
52586.8,19.1537,0.014,False,V,1
52586.8,19.4025,0.016,False,B,1
52590.8,19.1607,0.032,False,V,1
52590.8,19.4915,0.039,False,B,1
52590.8,18.8503,0.111,False,I,1
52596.7,19.7425,0.085,False,B,1
52596.7,18.8783,0.061,False,I,1
52596.7,19.2937,0.044,False,V,1
52611.7,19.0723,0.037,False,I,1
52611.7,19.4417,0.023,False,V,1
52611.7,19.9785,0.019,False,B,1
52615.8,19.4687,0.055,False,V,1
52615.8,20.0465,0.066,False,B,1
52619.6,19.1573,0.026,False,I,1
52646.6,19.3083,0.053,False,I,1
52646.6,19.7807,0.02,False,V,1
52646.6,20.4815,0.033,False,B,1
52665.6,20.6675,0.037,False,B,1
52665.6,19.3633,0.035,False,I,1
52665.6,19.9557,0.021,False,V,1
52672.6,19.4673,0.039,False,I,1
52672.6,20.1037,0.024,False,V,1
52673.6,20.1327,0.068,False,V,1
52701.5,20.1863,0.09,False,I,1
52701.5,20.7167,0.046,False,V,1
52701.5,21.7855,0.067,False,B,1
52710.5,20.5523,0.142,False,I,1
52710.5,20.9767,0.097,False,V,1
52841.9,22.1967,0.158,False,V,1
52848.9,22.4367,0.229,False,V,1
