mjd,mag,mag_err,UL,filter,detected
54010.19,21.0673,,True,z,0
54010.19,21.5598,,True,u,0
54010.19,22.4579,,True,i,0
54010.19,22.6509,,True,r,0
54010.19,23.9728,,True,g,0
54012.18,21.2603,,True,z,0
54012.18,21.4988,,True,g,0
54012.18,21.6108,,True,u,0
54012.18,21.7239,,True,i,0
54012.18,22.2519,,True,r,0
54020.18,22.5649,,True,r,0
54020.18,22.5478,,True,u,0
54020.18,24.0488,,True,g,0
54020.18,22.6069,,True,i,0
54020.18,20.2713,,True,z,0
54022.23,20.7543,,True,z,0
54022.23,22.0358,,True,u,0
54022.23,22.6909,,True,i,0
54022.23,22.7899,,True,r,0
54022.23,23.5228,,True,g,0
54028.17,22.0313,0.856,False,z,1
54028.17,22.2059,0.237,False,r,1
54028.17,21.1988,0.198,False,u,1
54028.17,22.2779,0.388,False,i,1
54028.17,22.1288,0.112,False,g,1
54030.18,21.6308,0.183,False,u,1
54030.18,21.7888,0.067,False,g,1
54030.18,21.8179,0.116,False,r,1
54030.18,22.1869,0.23,False,i,1
54030.18,22.6223,0.689,False,z,1
54032.17,21.6788,0.217,False,g,1
54035.25,21.5708,0.44,False,u,1
54035.25,22.3429,0.434,False,r,1
54035.25,21.0913,0.514,False,z,1
54035.25,22.4398,0.266,False,g,1
54035.25,22.1699,0.425,False,i,1
54037.16,21.7769,0.227,False,i,1
54037.16,22.0888,0.141,False,g,1
54037.16,22.1299,0.32,False,r,1
54037.16,22.6688,0.595,False,u,1
54037.16,23.0353,0.833,False,z,1
54040.17,22.0103,0.904,False,z,1
54040.17,22.2179,0.515,False,i,1
54040.17,21.4008,0.216,False,g,1
54040.17,21.4589,0.232,False,r,1
54040.17,22.2978,0.99,False,u,1
54047.16,20.7909,0.304,False,i,1
54047.16,20.4879,0.174,False,r,1
54047.16,21.2453,1.372,False,z,1
54047.16,21.3548,0.713,False,u,1
54047.16,20.7728,0.219,False,g,1
54050.16,20.3828,0.032,False,g,1
54050.16,20.4819,0.051,False,r,1
54050.16,20.5308,0.114,False,u,1
54050.16,20.5849,0.089,False,i,1
54050.16,20.6883,0.378,False,z,1
54053.16,20.1318,0.025,False,g,1
54053.16,20.1448,0.082,False,u,1
54053.16,20.3039,0.04,False,r,1
54053.16,20.4259,0.065,False,i,1
54053.16,20.7823,0.318,False,z,1
54056.16,20.0088,0.034,False,g,1
54056.16,20.1939,0.059,False,r,1
54056.16,20.2158,0.172,False,u,1
54056.16,20.5103,0.368,False,z,1
54056.16,20.6129,0.145,False,i,1
54057.13,19.9378,0.021,False,g,1
54057.13,20.5813,0.225,False,z,1
54057.13,20.0419,0.033,False,r,1
54057.13,20.2889,0.056,False,i,1
54057.13,20.1398,0.067,False,u,1
54059.16,19.9589,0.035,False,r,1
54059.16,19.9048,0.079,False,u,1
54059.16,20.4593,0.225,False,z,1
54059.16,20.0959,0.05,False,i,1
54059.16,19.8598,0.021,False,g,1
54061.17,19.8128,0.026,False,g,1
54061.17,19.8219,0.034,False,r,1
54061.17,19.9228,0.079,False,u,1
54061.17,20.0373,0.184,False,z,1
54061.17,20.0409,0.052,False,i,1
54062.16,20.1258,0.092,False,u,1
54062.16,19.7758,0.03,False,g,1
54062.16,20.1449,0.062,False,i,1
54062.16,20.4063,0.285,False,z,1
54062.16,19.9089,0.038,False,r,1
54068.15,19.6488,0.079,False,g,1
54068.15,19.7019,0.076,False,r,1
54068.15,19.8483,0.242,False,z,1
54068.15,20.1359,0.161,False,i,1
54367.02,24.1009,,True,r,0
54367.02,24.3568,,True,g,0
54395.57,22.1293,,True,z,0
54395.57,23.0358,,True,u,0
54395.57,23.5109,,True,i,0
