mjd,mag,mag_err,UL,filter,detected
55259.27,20.3209,,True,R,0
55260.496,19.6509,0.24,False,R,1
55267.25,19.0809,0.04,False,R,1
55267.45,18.8836,0.05,False,i,1
55268.233,18.69,0.09,False,r,1
55268.258,18.7709,0.03,False,R,1
55268.277,18.56,0.07,False,r,1
55268.49,18.5609,0.03,False,r,1
55271.264,18.52,0.09,False,r,1
55271.293,18.6809,0.03,False,R,1
55271.315,18.53,0.08,False,r,1
55272.168,18.14,0.1,False,g,1
55272.169,18.4807,0.04,False,r,1
55272.169,18.49,0.09,False,r,1
55272.17,18.68,0.12,False,i,1
55272.46,18.5283,0.09,False,g,1
55274.161,18.26,0.07,False,g,1
55274.163,18.41,0.08,False,r,1
55274.163,18.4307,0.04,False,r,1
55274.164,18.81,0.09,False,i,1
55274.167,18.2,0.12,False,B,1
55274.167,18.3449,0.06,False,B,1
55274.2068,18.0059,0.083,False,UVM2,1
55274.2133,17.4054,0.074,False,UVW1,1
55275.6804,18.4232,0.11,False,UVW2,1
55275.92,18.1712,0.05,False,u,1
55275.92,18.325,0.03,False,g,1
55275.92,18.4507,0.05,False,r,1
55275.92,18.693,0.1,False,i,1
55275.92,18.7699,0.18,False,z,1
55276.11,18.4407,0.02,False,r,1
55276.11,18.693,0.02,False,i,1
55276.156,18.18,0.07,False,g,1
55276.157,18.51,0.08,False,r,1
55276.157,18.5407,0.04,False,r,1
55276.159,18.74,0.08,False,i,1
55276.162,18.29,0.13,False,B,1
55276.162,18.5149,0.07,False,B,1
55277.27,18.4107,0.05,False,r,1
55277.344,18.12,0.07,False,g,1
55277.345,18.49,0.08,False,r,1
55277.345,18.5107,0.03,False,r,1
55277.347,18.58,0.08,False,i,1
55277.348,18.99,0.27,False,z,1
55277.349,18.18,0.1,False,B,1
55277.349,18.4049,0.05,False,B,1
55278.0,18.1712,0.02,False,u,1
55278.0,18.315,0.02,False,g,1
55278.0,18.3907,0.02,False,r,1
55278.0,18.643,0.02,False,i,1
55278.0,18.7499,0.04,False,z,1
55278.81,18.3907,0.02,False,r,1
55278.81,18.663,0.05,False,i,1
55278.81,18.305,0.02,False,g,1
55279.151,18.4407,0.1,False,r,1
55279.156,18.6849,0.12,False,B,1
55279.64,18.275,0.02,False,g,1
55279.64,18.3907,0.02,False,r,1
55279.64,18.653,0.03,False,i,1
55279.64,18.7699,0.07,False,z,1
55280.146,18.42,0.19,False,g,1
55280.147,18.31,0.08,False,r,1
55280.147,18.5307,0.1,False,r,1
55280.149,18.68,0.08,False,i,1
55280.15,18.68,0.34,False,z,1
55280.152,18.6449,0.13,False,B,1
55280.57,18.2196,0.13,False,U,1
55282.02,18.4107,0.03,False,r,1
55282.02,18.3212,0.03,False,u,1
55282.02,18.7899,0.04,False,z,1
55282.02,18.603,0.03,False,i,1
55282.02,18.305,0.02,False,g,1
