mjd,mag,mag_err,UL,filter,detected
55400.401,19.46,0.32,False,r,1
55401.359,19.11,0.35,False,r,1
55401.403,19.3,0.34,False,r,1
55425.29,18.4,0.09,False,r,1
55427.211,18.56,0.11,False,r,1
55427.261,18.34,0.1,False,r,1
55428.257,18.34,0.1,False,r,1
55428.3,17.84,0.12,False,r,1
55430.18,18.37,0.14,False,r,1
55430.242,18.31,0.11,False,r,1
55431.246,18.27,0.11,False,r,1
55431.29,18.23,0.12,False,r,1
55433.16,18.2,0.11,False,r,1
55433.207,18.31,0.12,False,r,1
55434.247,18.37,0.1,False,r,1
55434.29,18.25,0.12,False,r,1
55435.252,17.78,0.26,False,r,1
55435.296,17.79,0.14,False,r,1
55436.268,17.79,0.11,False,r,1
55436.32,17.77,0.12,False,r,1
55446.151,17.64,0.09,False,r,1
55450.149,17.67,0.08,False,r,1
55450.192,17.61,0.09,False,r,1
55451.155,17.81,0.09,False,r,1
55451.199,17.74,0.09,False,r,1
55499.8,19.56,0.13,False,i,1
55499.8,19.57,0.11,False,i,1
55499.8,19.97,0.13,False,r,1
55499.8,20.02,0.13,False,r,1
55513.129,21.24,0.35,False,u,1
55514.078,19.51,0.31,False,r,1
55514.121,19.27,0.28,False,r,1
55515.078,19.04,0.28,False,r,1
55517.119,19.02,0.25,False,r,1
55605.3,20.11,0.18,False,i,1
55605.3,20.14,0.18,False,i,1
55605.3,20.62,0.19,False,r,1
55605.3,20.8,0.2,False,r,1
55643.2,21.13,0.29,False,r,1
55643.2,21.19,0.3,False,r,1
55644.2,20.31,0.19,False,i,1
55644.2,20.69,0.24,False,r,1
55644.2,21.12,0.28,False,r,1
55684.44,20.97,0.27,False,i,1
55706.0,21.77,0.2,False,r,1
