mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
55522.0,16.7751,0.014,False,B,Vega,1,B,4369.53
55522.0,16.9922,0.07,False,R,Vega,1,R,6695.83
55526.0,16.8111,0.014,False,B,Vega,1,B,4369.53
55526.0,17.0322,0.008,False,R,Vega,1,R,6695.83
55527.0,16.7501,0.014,False,B,Vega,1,B,4369.53
55527.0,17.0662,0.07,False,R,Vega,1,R,6695.83
55528.0,16.7931,0.014,False,B,Vega,1,B,4369.53
55528.0,17.0962,0.057,False,R,Vega,1,R,6695.83
55528.98,15.7821,0.04,False,U,Vega,1,U,3535.965
55528.98,16.6891,0.02,False,B,Vega,1,B,4369.53
55528.98,16.7462,0.08,False,I,Vega,1,I,8568.89
55528.98,16.7722,0.02,False,R,Vega,1,R,6695.83
55528.98,16.7874,0.02,False,V,Vega,1,V,5439.51
55529.95,16.7191,0.01,False,B,Vega,1,B,4369.53
55529.95,16.7462,0.02,False,I,Vega,1,I,8568.89
55529.95,15.8021,0.06,False,U,Vega,1,U,3535.965
55529.95,16.7622,0.02,False,R,Vega,1,R,6695.83
55529.95,16.7374,0.01,False,V,Vega,1,V,5439.51
55530.176642,16.8604,0.15,False,UVW2,Vega,1,UVW2,2083.95
55530.179748,16.6074,0.07,False,V,Vega,1,V,5439.51
55530.182854,16.3502,0.14,False,UVM2,Vega,1,UVM2,2245.03
55530.185965,16.1296,0.07,False,UVW1,Vega,1,UVW1,2681.67
55530.18907,15.5051,0.04,False,U,Vega,1,U,3535.965
55530.19218,16.6891,0.05,False,B,Vega,1,B,4369.53
55530.19218,16.7052,0.05,False,B,Vega,1,B,4369.53
55530.909033,16.4704,0.09,False,UVW2,Vega,1,UVW2,2083.95
55530.919026,15.8602,0.09,False,UVM2,Vega,1,UVM2,2245.03
55530.924027,15.7496,0.05,False,UVW1,Vega,1,UVW1,2681.67
55532.02,15.7321,0.03,False,U,Vega,1,U,3535.965
55532.02,16.7862,0.03,False,I,Vega,1,I,8568.89
55532.02,16.6591,0.03,False,B,Vega,1,B,4369.53
55532.02,16.7722,0.02,False,R,Vega,1,R,6695.83
55532.02,16.7574,0.04,False,V,Vega,1,V,5439.51
55534.02,16.6391,0.02,False,B,Vega,1,B,4369.53
55534.02,16.7662,0.03,False,I,Vega,1,I,8568.89
55534.02,16.7722,0.04,False,R,Vega,1,R,6695.83
55534.96,15.6921,0.03,False,U,Vega,1,U,3535.965
55534.96,16.6391,0.02,False,B,Vega,1,B,4369.53
55534.96,16.6774,0.01,False,V,Vega,1,V,5439.51
55534.96,16.7222,0.01,False,R,Vega,1,R,6695.83
55534.96,16.7262,0.03,False,I,Vega,1,I,8568.89
55536.91,15.7021,0.03,False,U,Vega,1,U,3535.965
55536.91,16.6291,0.02,False,B,Vega,1,B,4369.53
55536.91,16.6662,0.04,False,I,Vega,1,I,8568.89
55536.91,16.6874,0.02,False,V,Vega,1,V,5439.51
55536.91,16.6922,0.03,False,R,Vega,1,R,6695.83
55543.02,15.6121,0.03,False,U,Vega,1,U,3535.965
55543.02,16.5291,0.02,False,B,Vega,1,B,4369.53
55543.02,16.5774,0.01,False,V,Vega,1,V,5439.51
55543.02,16.6362,0.03,False,I,Vega,1,I,8568.89
55543.02,16.6522,0.02,False,R,Vega,1,R,6695.83
55546.296082,16.1204,0.07,False,UVW2,Vega,1,UVW2,2083.95
55546.29919,16.4074,0.05,False,V,Vega,1,V,5439.51
55546.302298,15.7202,0.07,False,UVM2,Vega,1,UVM2,2245.03
55546.305408,15.5896,0.04,False,UVW1,Vega,1,UVW1,2681.67
55546.308515,15.1551,0.03,False,U,Vega,1,U,3535.965
55546.311634,16.3491,0.03,False,B,Vega,1,B,4369.53
55546.311634,16.3652,0.03,False,B,Vega,1,B,4369.53
55549.04649,16.1304,0.07,False,UVW2,Vega,1,UVW2,2083.95
55549.049711,16.4674,0.05,False,V,Vega,1,V,5439.51
55549.052932,15.6802,0.07,False,UVM2,Vega,1,UVM2,2245.03
55549.056157,15.6796,0.05,False,UVW1,Vega,1,UVW1,2681.67
55549.059378,15.1851,0.03,False,U,Vega,1,U,3535.965
55549.062605,16.3691,0.05,False,B,Vega,1,B,4369.53
55549.062605,16.3852,0.05,False,B,Vega,1,B,4369.53
55552.386212,16.3004,0.07,False,UVW2,Vega,1,UVW2,2083.95
55552.388157,16.3674,0.04,False,V,Vega,1,V,5439.51
55552.390104,15.8002,0.07,False,UVM2,Vega,1,UVM2,2245.03
55552.392057,15.7696,0.04,False,UVW1,Vega,1,UVW1,2681.67
55552.394002,15.2651,0.03,False,U,Vega,1,U,3535.965
55552.395954,16.3591,0.03,False,B,Vega,1,B,4369.53
55552.395954,16.3751,0.03,False,B,Vega,1,B,4369.53
55555.810602,16.3904,0.08,False,UVW2,Vega,1,UVW2,2083.95
55555.81243,16.4074,0.05,False,V,Vega,1,V,5439.51
55555.814276,15.9102,0.08,False,UVM2,Vega,1,UVM2,2245.03
55555.816124,15.8896,0.05,False,UVW1,Vega,1,UVW1,2681.67
55555.817969,15.3351,0.03,False,U,Vega,1,U,3535.965
55555.819806,16.4191,0.04,False,B,Vega,1,B,4369.53
55555.819806,16.4351,0.04,False,B,Vega,1,B,4369.53
55563.02,15.7121,0.02,False,U,Vega,1,U,3535.965
55563.02,16.6191,0.01,False,B,Vega,1,B,4369.53
55563.02,16.6222,0.01,False,R,Vega,1,R,6695.83
55563.02,16.6262,0.02,False,I,Vega,1,I,8568.89
55563.02,16.6374,0.01,False,V,Vega,1,V,5439.51
55564.95,16.6291,0.01,False,B,Vega,1,B,4369.53
55564.95,15.8521,0.04,False,U,Vega,1,U,3535.965
55564.95,16.6362,0.02,False,I,Vega,1,I,8568.89
55564.95,16.6574,0.01,False,V,Vega,1,V,5439.51
55564.95,16.6522,0.01,False,R,Vega,1,R,6695.83
55565.0,16.7141,0.014,False,B,Vega,1,B,4369.53
55565.0,16.8742,0.056,False,R,Vega,1,R,6695.83
55566.03,15.9221,0.05,False,U,Vega,1,U,3535.965
55566.03,16.6074,0.04,False,V,Vega,1,V,5439.51
55566.03,16.6191,0.03,False,B,Vega,1,B,4369.53
55566.03,16.6562,0.02,False,I,Vega,1,I,8568.89
55566.03,16.6722,0.01,False,R,Vega,1,R,6695.83
55571.02,15.9421,0.05,False,U,Vega,1,U,3535.965
55571.02,16.6674,0.02,False,V,Vega,1,V,5439.51
55571.02,16.6762,0.02,False,I,Vega,1,I,8568.89
55571.02,16.7022,0.01,False,R,Vega,1,R,6695.83
55571.02,16.7291,0.02,False,B,Vega,1,B,4369.53
55584.0,16.8991,0.014,False,B,Vega,1,B,4369.53
