mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
55637.0,20.0686,,True,V,AB,0,V,5467.57
55649.55,21.1427,,True,r,AB,0,r,6141.12
55651.58,20.0496,0.06,False,i,AB,1,i,7457.89
55651.6,20.0296,0.06,False,i,AB,1,i,7457.89
55652.37,20.01,0.11,False,r,AB,1,r,6141.12
55652.429,19.85,0.11,False,r,AB,1,r,6141.12
55653.57,19.3727,0.05,False,r,AB,1,r,6141.12
55653.58,19.3827,0.05,False,r,AB,1,r,6141.12
55657.99,18.5786,0.08,False,V,AB,1,V,5467.57
55665.98,18.0286,0.07,False,V,AB,1,V,5467.57
55666.197,18.08,0.08,False,r,AB,1,r,6141.12
55666.24,18.04,0.07,False,r,AB,1,r,6141.12
55666.8,17.9727,0.06,False,r,AB,1,r,6141.12
55666.8,18.0327,0.08,False,g,AB,1,g,4671.78
55666.8,18.1896,0.08,False,i,AB,1,i,7457.89
55677.0,17.6186,0.07,False,V,AB,1,V,5467.57
55693.98,17.7186,0.06,False,V,AB,1,V,5467.57
55694.324,17.95,0.06,False,r,AB,1,r,6141.12
55694.327,17.83,0.06,False,g,AB,1,g,4671.78
55694.329,18.05,0.06,False,i,AB,1,i,7457.89
55694.33,17.9,0.06,False,r,AB,1,r,6141.12
55694.334,17.98,0.06,False,g,AB,1,g,4671.78
55694.99,18.0417,0.08,False,g,AB,1,g,4671.78
55694.99,17.8826,0.06,False,r,AB,1,r,6141.12
55694.99,18.1846,0.09,False,z,AB,1,z,8922.78
55694.99,18.1294,0.06,False,i,AB,1,i,7457.89
55695.205,17.89,0.08,False,r,AB,1,r,6141.12
55695.249,17.96,0.07,False,r,AB,1,r,6141.12
55695.54,17.8886,0.02,False,V,AB,1,V,5467.57
55695.54,18.0417,0.04,False,g,AB,1,g,4671.78
55695.54,18.0726,0.04,False,r,AB,1,r,6141.12
55695.54,18.1094,0.05,False,i,AB,1,i,7457.89
55695.54,18.2913,0.11,False,u,AB,1,u,3608.04
55695.87,20.3238,0.13,False,UVM2,AB,1,UVM2,2245.03
55695.87,20.5723,0.12,False,UVW2,AB,1,UVW2,2083.95
55695.87,18.7945,0.12,False,UVW1,AB,1,UVW1,2681.67
55695.92,18.2046,0.12,False,z,AB,1,z,8922.78
55695.92,18.2186,0.09,False,B,AB,1,B,4369.53
55695.92,17.9386,0.08,False,V,AB,1,V,5467.57
55695.92,17.9826,0.1,False,r,AB,1,r,6141.12
55695.92,18.1117,0.08,False,g,AB,1,g,4671.78
55695.92,18.1294,0.09,False,i,AB,1,i,7457.89
55695.95,18.1594,0.04,False,i,AB,1,i,7457.89
55695.95,17.9926,0.04,False,r,AB,1,r,6141.12
55695.95,18.1217,0.08,False,g,AB,1,g,4671.78
55695.95,18.1646,0.09,False,z,AB,1,z,8922.78
55696.37,18.4113,0.2,False,u,AB,1,u,3608.04
55696.93,17.9826,0.06,False,r,AB,1,r,6141.12
55696.93,18.1617,0.14,False,g,AB,1,g,4671.78
55696.93,18.2346,0.2,False,z,AB,1,z,8922.78
55696.93,18.2594,0.08,False,i,AB,1,i,7457.89
55697.96,18.0426,0.06,False,r,AB,1,r,6141.12
55697.96,18.1317,0.05,False,g,AB,1,g,4671.78
55697.96,18.1694,0.03,False,i,AB,1,i,7457.89
55697.96,18.2046,0.04,False,z,AB,1,z,8922.78
55697.96,18.6713,0.17,False,u,AB,1,u,3608.04
55698.36,18.0326,0.06,False,r,AB,1,r,6141.12
55698.36,18.1117,0.07,False,g,AB,1,g,4671.78
55698.36,18.1494,0.04,False,i,AB,1,i,7457.89
55698.36,18.2646,0.05,False,z,AB,1,z,8922.78
55698.36,18.7413,0.24,False,u,AB,1,u,3608.04
55698.95,18.0226,0.03,False,r,AB,1,r,6141.12
55698.95,18.1446,0.07,False,z,AB,1,z,8922.78
55698.95,18.2394,0.04,False,i,AB,1,i,7457.89
55698.95,18.2517,0.05,False,g,AB,1,g,4671.78
55698.95,18.9013,0.21,False,u,AB,1,u,3608.04
55700.04,18.0786,0.05,False,V,AB,1,V,5467.57
55700.04,18.5786,0.13,False,B,AB,1,B,4369.53
55700.05,18.0726,0.08,False,r,AB,1,r,6141.12
55700.05,18.2294,0.04,False,i,AB,1,i,7457.89
55700.9,18.1086,0.05,False,V,AB,1,V,5467.57
55700.94,18.1526,0.02,False,r,AB,1,r,6141.12
55700.94,18.2394,0.02,False,i,AB,1,i,7457.89
55700.94,18.3346,0.03,False,z,AB,1,z,8922.78
55700.94,18.3717,0.02,False,g,AB,1,g,4671.78
55700.94,19.0313,0.1,False,u,AB,1,u,3608.04
55702.03,18.1626,0.02,False,r,AB,1,r,6141.12
55702.03,18.2394,0.03,False,i,AB,1,i,7457.89
55702.03,18.4146,0.04,False,z,AB,1,z,8922.78
55702.03,18.4217,0.02,False,g,AB,1,g,4671.78
55702.03,19.1813,0.1,False,u,AB,1,u,3608.04
55702.97,18.1926,0.02,False,r,AB,1,r,6141.12
55702.97,18.2894,0.02,False,i,AB,1,i,7457.89
55702.97,18.3546,0.03,False,z,AB,1,z,8922.78
55702.97,18.5017,0.02,False,g,AB,1,g,4671.78
55703.93,18.2726,0.03,False,r,AB,1,r,6141.12
55703.93,18.3194,0.02,False,i,AB,1,i,7457.89
55703.93,18.4046,0.03,False,z,AB,1,z,8922.78
55703.93,18.5617,0.02,False,g,AB,1,g,4671.78
55703.93,19.2613,0.07,False,u,AB,1,u,3608.04
55704.92,18.3186,0.04,False,V,AB,1,V,5467.57
55704.92,18.8986,0.04,False,B,AB,1,B,4369.53
55704.93,18.2917,0.02,False,g,AB,1,g,4671.78
55704.93,18.4226,0.03,False,r,AB,1,r,6141.12
55704.93,18.6086,0.02,False,B,AB,1,B,4369.53
55704.93,18.3886,0.02,False,V,AB,1,V,5467.57
55704.93,19.2813,0.07,False,u,AB,1,u,3608.04
55708.423,18.42,0.09,False,i,AB,1,i,7457.89
55708.425,18.42,0.08,False,r,AB,1,r,6141.12
55708.95,18.5186,0.03,False,V,AB,1,V,5467.57
55708.95,19.1586,0.04,False,B,AB,1,B,4369.53
55709.4,18.5286,0.07,False,V,AB,1,V,5467.57
55710.29,18.4826,0.02,False,r,AB,1,r,6141.12
55710.29,18.9417,0.04,False,g,AB,1,g,4671.78
55710.29,18.4594,0.03,False,i,AB,1,i,7457.89
55710.29,19.9213,0.03,False,u,AB,1,u,3608.04
55710.29,18.5446,0.06,False,z,AB,1,z,8922.78
55710.37,20.0313,0.3,False,u,AB,1,u,3608.04
55711.92,21.0245,0.21,False,UVW1,AB,1,UVW1,2681.67
55711.92,21.6138,0.17,False,UVM2,AB,1,UVM2,2245.03
55711.92,21.8023,0.21,False,UVW2,AB,1,UVW2,2083.95
55712.94,18.6046,0.03,False,z,AB,1,z,8922.78
55712.94,19.0917,0.02,False,g,AB,1,g,4671.78
55712.94,18.5726,0.02,False,r,AB,1,r,6141.12
55712.94,18.5894,0.02,False,i,AB,1,i,7457.89
55712.94,20.0313,0.09,False,u,AB,1,u,3608.04
55712.97,18.6986,0.02,False,V,AB,1,V,5467.57
55712.97,19.4086,0.03,False,B,AB,1,B,4369.53
55713.378,18.88,0.11,False,g,AB,1,g,4671.78
55715.93,18.6846,0.03,False,z,AB,1,z,8922.78
55715.93,18.6894,0.02,False,i,AB,1,i,7457.89
55715.93,18.7426,0.02,False,r,AB,1,r,6141.12
55715.93,19.2617,0.02,False,g,AB,1,g,4671.78
