mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
55906.082,20.18,0.23,False,r,AB,1,r,6141.12
55906.14,20.57,0.2,False,r,AB,1,r,6141.12
55916.092,19.43,0.16,False,r,AB,1,r,6141.12
55916.136,19.63,0.11,False,r,AB,1,r,6141.12
55916.7,19.8005,0.1,False,r,AB,1,r,6141.12
55922.137,19.16,0.1,False,r,AB,1,r,6141.12
55922.7,19.0005,0.1,False,r,AB,1,r,6141.12
55923.094,19.23,0.11,False,r,AB,1,r,6141.12
55923.138,19.16,0.09,False,r,AB,1,r,6141.12
55923.318,18.93,0.13,False,r,AB,1,r,6141.12
55924.105,19.07,0.08,False,r,AB,1,r,6141.12
55924.149,19.22,0.09,False,r,AB,1,r,6141.12
55925.09,19.13,0.09,False,i,AB,1,i,7457.89
55925.092,19.16,0.08,False,B,AB,1,B,4369.53
55925.093,19.06,0.07,False,g,AB,1,g,4671.78
55925.095,19.05,0.1,False,i,AB,1,i,7457.89
55925.096,19.09,0.08,False,r,AB,1,r,6141.12
55925.096,19.19,0.09,False,B,AB,1,B,4369.53
55925.098,19.23,0.06,False,g,AB,1,g,4671.78
55925.178,19.07,0.09,False,r,AB,1,r,6141.12
55925.24,20.1821,0.12,False,UVW1,AB,1,UVW1,2681.67
55925.24,20.313,0.12,False,u,AB,1,u,3520.88
55925.24,20.5648,0.12,False,UVW2,AB,1,UVW2,2083.95
55925.24,20.7701,0.13,False,UVM2,AB,1,UVM2,2245.03
55926.096,18.98,0.08,False,r,AB,1,r,6141.12
55926.14,19.03,0.08,False,r,AB,1,r,6141.12
55926.275,19.0,0.14,False,r,AB,1,r,6141.12
55927.06,20.2121,0.14,False,UVW1,AB,1,UVW1,2681.67
55927.06,20.8648,0.14,False,UVW2,AB,1,UVW2,2083.95
55927.06,21.1701,0.15,False,UVM2,AB,1,UVM2,2245.03
55927.56,20.123,0.11,False,u,AB,1,u,3520.88
55929.42,18.9305,0.2,False,r,AB,1,r,6141.12
55929.42,19.1208,0.09,False,g,AB,1,g,4671.78
55930.42,18.8405,0.04,False,r,AB,1,r,6141.12
55930.42,19.0508,0.06,False,g,AB,1,g,4671.78
55930.42,19.0653,0.04,False,i,AB,1,i,7457.89
55930.42,19.1941,0.27,False,z,AB,1,z,8922.78
55931.34,18.7805,0.03,False,r,AB,1,r,6141.12
