mjd,mag,mag_err,UL,filter,detected
55929.53,18.9473,0.07,False,g,1
55951.52,18.245,0.05,False,g,1
55968.09,17.7681,0.06,False,i,1
55968.09,17.8811,0.08,False,r,1
55968.09,17.9295,0.09,False,g,1
55968.09,18.5131,0.07,False,u,1
55976.24,17.7681,0.05,False,i,1
55976.24,17.9811,0.04,False,r,1
55976.24,18.1995,0.31,False,g,1
55976.24,18.9631,0.05,False,u,1
55977.21,17.8781,0.06,False,i,1
55977.21,18.0011,0.05,False,r,1
55977.21,18.2895,0.06,False,g,1
55977.21,18.8931,0.07,False,u,1
55979.12,18.3595,0.06,False,g,1
55979.12,18.9331,0.03,False,u,1
55979.12,17.9181,0.03,False,i,1
55979.12,18.0511,0.03,False,r,1
55980.23,18.2895,0.07,False,g,1
55980.23,18.0381,0.04,False,i,1
55980.23,18.1411,0.09,False,r,1
55989.12,18.1211,0.03,False,r,1
55989.12,18.1581,0.25,False,i,1
55989.12,18.4895,0.03,False,g,1
55989.12,19.3831,0.08,False,u,1
55997.05,18.0211,0.07,False,r,1
55997.05,18.0381,0.04,False,i,1
55997.05,18.4695,0.19,False,g,1
55997.05,19.1531,0.18,False,u,1
56000.09,19.3931,0.08,False,u,1
56000.09,18.4695,0.05,False,g,1
56000.09,17.9511,0.08,False,r,1
56000.09,17.9281,0.03,False,i,1
56009.23,18.1581,0.05,False,i,1
56009.23,18.4011,0.04,False,r,1
56009.23,19.1931,inf,True,u,0
56010.21,18.5095,0.05,False,g,1
56010.21,18.5211,0.05,False,r,1
56010.21,18.1081,0.07,False,i,1
56010.21,19.3831,0.07,False,u,1
56012.14,18.3611,0.08,False,r,1
56012.14,18.2181,0.06,False,i,1
56012.14,19.7031,0.05,False,u,1
56012.14,18.7095,0.11,False,g,1
56014.08,18.7081,0.04,False,i,1
56014.08,18.8095,0.1,False,g,1
56014.08,18.8711,0.06,False,r,1
56014.08,20.6831,0.11,False,u,1
56019.09,19.1095,0.03,False,g,1
56019.09,21.1831,0.15,False,u,1
56019.09,18.7781,0.22,False,i,1
56019.09,18.9411,0.16,False,r,1
56030.13,19.4511,0.14,False,r,1
56034.09,19.2411,0.08,False,r,1
56034.09,19.8195,0.06,False,g,1
56034.09,21.4931,0.09,False,u,1
56039.9,19.1681,0.16,False,i,1
56039.9,19.5995,0.05,False,g,1
56039.9,19.6311,0.05,False,r,1
56043.02,19.4281,0.08,False,i,1
56043.02,19.6611,0.06,False,r,1
56043.02,19.7395,0.12,False,g,1
56043.02,21.3831,0.18,False,u,1
56045.01,19.4081,0.1,False,i,1
56045.01,19.6295,0.06,False,g,1
56045.01,19.9511,0.13,False,r,1
56045.01,21.5531,0.1,False,u,1
56046.97,19.4281,0.12,False,i,1
56046.97,19.9295,0.1,False,g,1
56046.97,20.0111,0.08,False,r,1
56046.97,21.6731,0.53,False,u,1
56047.89,19.6911,0.09,False,r,1
56047.89,20.0395,0.08,False,g,1
56047.89,21.2531,0.17,False,u,1
56060.98,20.1211,0.2,False,r,1
56060.98,20.6431,inf,True,u,0
56060.98,19.5081,0.13,False,i,1
56060.98,19.8595,0.09,False,g,1
56071.88,20.2595,0.12,False,g,1
56071.88,19.8181,0.21,False,i,1
56071.88,20.2311,0.38,False,r,1
56071.88,20.6831,inf,True,u,0
