mjd,mag,mag_err,UL,filter,detected
56425.2,20.1611,0.54,False,r,1
56429.2,19.6111,0.17,False,r,1
56442.2,19.0511,0.23,False,r,1
56449.2,19.0011,0.17,False,r,1
56456.0,19.1076,0.03,False,g,1
56456.0,19.2011,0.06,False,r,1
56456.0,19.4183,0.07,False,i,1
56456.0,19.5389,0.07,False,z,1
56456.9,19.2076,0.03,False,g,1
56456.9,19.4783,0.1,False,i,1
56456.9,19.2011,0.06,False,r,1
56457.9,19.1076,0.07,False,g,1
56457.9,19.2511,0.04,False,r,1
56457.9,19.3083,0.08,False,i,1
56457.9,19.3389,0.17,False,z,1
56459.1,19.2511,0.07,False,r,1
56459.1,19.2576,0.03,False,g,1
56459.3,19.3789,0.22,False,z,1
56459.3,19.3883,0.08,False,i,1
56459.9,19.2676,0.1,False,g,1
56459.9,19.2811,0.05,False,r,1
56459.9,19.4783,0.1,False,i,1
56459.9,19.6289,0.15,False,z,1
56460.1,19.2311,0.05,False,r,1
56460.1,19.3276,0.06,False,g,1
56463.4,19.4111,0.17,False,r,1
56464.1,19.5983,0.12,False,i,1
56464.1,19.4176,0.05,False,g,1
56464.1,19.4411,0.05,False,r,1
56465.9,19.4111,0.09,False,r,1
56465.9,19.5276,0.1,False,g,1
56465.9,19.5589,0.2,False,z,1
56465.9,19.6283,0.13,False,i,1
56468.0,19.4311,0.05,False,r,1
56468.0,19.5283,0.05,False,i,1
56468.0,19.6576,0.05,False,g,1
56473.0,19.6789,0.19,False,z,1
56473.0,19.6311,0.03,False,r,1
56473.0,19.9583,0.22,False,i,1
56473.0,19.8776,0.03,False,g,1
56475.0,19.7011,0.04,False,r,1
56475.0,19.8483,0.06,False,i,1
56475.0,20.0476,0.03,False,g,1
56475.3,19.6911,0.14,False,r,1
56475.3,19.7583,0.08,False,i,1
56475.3,19.8589,0.18,False,z,1
56475.3,20.0976,0.17,False,g,1
56476.0,19.7611,0.04,False,r,1
56476.0,19.9383,0.08,False,i,1
56476.0,20.1076,0.04,False,g,1
56483.8,20.1211,0.08,False,r,1
56483.8,20.1883,0.11,False,i,1
56483.8,20.5576,0.08,False,g,1
56487.0,20.1211,0.06,False,r,1
56487.0,20.1583,0.11,False,i,1
56487.0,20.7976,0.07,False,g,1
56502.0,20.4589,0.3,False,z,1
56502.0,20.7111,0.39,False,r,1
56502.0,20.7983,0.22,False,i,1
56502.0,21.3276,0.23,False,g,1
56508.0,20.7289,0.1,False,z,1
56508.0,20.8683,0.06,False,i,1
56508.0,21.1011,0.04,False,r,1
56508.0,22.0776,0.05,False,g,1
56519.0,21.7711,0.07,False,r,1
56520.0,21.5383,0.16,False,i,1
56520.5,20.8489,0.3,False,z,1
56688.3,24.5983,0.28,False,i,1
56688.3,25.1011,0.41,False,r,1
56696.3,25.1283,0.36,False,i,1
56696.3,25.3711,0.36,False,r,1
56770.0,24.9783,inf,True,i,0
56770.0,25.5211,inf,True,r,0
