mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
57014.07,18.672,,True,V,Vega,0,V,5393.85
57033.49,17.992,,True,V,Vega,0,V,5393.85
57042.03,17.432,0.12,False,V,Vega,1,V,5393.85
57048.7,17.585,0.07,False,z,AB,1,z,8922.78
57049.7,17.555,0.07,False,z,AB,1,z,8922.78
57051.47,17.122,0.09,False,V,Vega,1,V,5393.85
57053.5,17.2859,0.13,False,i,AB,1,i,7457.89
57068.47,16.8809,0.01,False,r,AB,1,r,6141.12
57068.97,16.742,0.06,False,V,Vega,1,V,5393.85
57069.45,16.8209,0.01,False,r,AB,1,r,6141.12
57071.6,16.807,0.05,False,g,AB,1,g,4671.78
57071.6,17.0755,0.09,False,i,AB,1,i,7457.89
57072.394,15.8265,0.038,False,U,Vega,1,U,3520.88
57072.394,16.4282,0.049,False,UVW1,Vega,1,UVW1,2681.67
57072.394,16.6445,0.043,False,UVM2,Vega,1,UVM2,2245.03
57072.394,16.794,0.058,False,V,Vega,1,V,5393.85
57072.394,16.8243,0.04,False,B,Vega,1,B,4357.405
57072.394,17.1714,0.05,False,UVW2,Vega,1,UVW2,2083.95
57072.59,16.717,0.04,False,g,AB,1,g,4671.78
57072.59,16.9207,0.06,False,r,AB,1,r,6141.12
57072.59,17.1355,0.07,False,i,AB,1,i,7457.89
57072.59,17.4067,0.13,False,z,AB,1,z,8922.78
57073.88,17.1155,0.08,False,i,AB,1,i,7457.89
57073.88,16.727,0.09,False,g,AB,1,g,4671.78
57073.88,16.9607,0.06,False,r,AB,1,r,6141.12
57074.169,15.8305,0.033,False,U,Vega,1,U,3520.88
57074.169,16.3932,0.045,False,UVW1,Vega,1,UVW1,2681.67
57074.169,16.7075,0.054,False,UVM2,Vega,1,UVM2,2245.03
57074.169,17.1284,0.053,False,UVW2,Vega,1,UVW2,2083.95
57074.21,16.6743,0.05,False,I,Vega,1,I,8568.89
57074.21,16.752,0.05,False,V,Vega,1,V,5393.85
57074.21,16.8575,0.09,False,R,Vega,1,R,6695.83
57074.21,16.9003,0.09,False,B,Vega,1,B,4357.405
57076.167,15.8945,0.037,False,U,Vega,1,U,3520.88
57076.167,16.4222,0.082,False,UVW1,Vega,1,UVW1,2681.67
57076.167,16.6995,0.122,False,UVM2,Vega,1,UVM2,2245.03
57076.167,17.1894,0.072,False,UVW2,Vega,1,UVW2,2083.95
57077.17,16.787,0.04,False,g,AB,1,g,4671.78
57077.17,16.8907,0.06,False,r,AB,1,r,6141.12
57077.17,16.9746,0.05,False,u,AB,1,u,3608.04
57077.17,17.0555,0.03,False,i,AB,1,i,7457.89
57077.17,17.1767,0.04,False,z,AB,1,z,8922.78
57077.45,16.8209,0.01,False,r,AB,1,r,6141.12
57077.62,16.747,0.03,False,g,AB,1,g,4671.78
57077.62,16.8607,0.06,False,r,AB,1,r,6141.12
57077.62,17.0855,0.06,False,i,AB,1,i,7457.89
57078.322,15.8615,0.037,False,U,Vega,1,U,3520.88
57078.322,16.3462,0.054,False,UVW1,Vega,1,UVW1,2681.67
57078.322,16.8785,0.075,False,UVM2,Vega,1,UVM2,2245.03
57078.322,17.1594,0.069,False,UVW2,Vega,1,UVW2,2083.95
57078.47,16.8209,0.01,False,r,AB,1,r,6141.12
57078.96,16.872,0.07,False,V,Vega,1,V,5393.85
57079.34,16.782,0.08,False,V,Vega,1,V,5393.85
57079.34,16.7143,0.04,False,I,Vega,1,I,8568.89
57079.34,16.9003,0.08,False,B,Vega,1,B,4357.405
57079.34,16.8075,0.06,False,R,Vega,1,R,6695.83
57080.08,16.737,0.03,False,g,AB,1,g,4671.78
