mjd,mag,mag_err,UL,filter,detected
57398.625301,19.7677,0.0386,False,w,1
57398.635676,19.7727,0.0403,False,w,1
57398.646045,19.7609,0.0539,False,w,1
57398.656371,19.7571,0.0456,False,w,1
57407.3257,20.2445,0.355,False,UVW1,1
57407.3266,19.8312,0.35,False,u,1
57407.3272,20.1645,0.32,False,u,1
57407.3289,20.4522,inf,True,UVW2,0
57407.3303,19.3355,inf,True,g,0
57407.3329,20.5526,inf,True,UVM2,0
57412.573393,19.7344,0.2013,False,i,1
57412.597137,19.7245,0.1373,False,i,1
57412.609005,19.6201,0.1544,False,i,1
57432.545103,20.0442,0.0911,False,w,1
57432.556074,20.1065,0.0813,False,w,1
57432.567073,20.176,0.1022,False,w,1
57432.578075,20.0801,0.0607,False,w,1
57463.453578,20.9653,0.1551,False,r,1
57463.465573,21.1702,0.1706,False,r,1
57489.424921,21.648,0.1582,False,w,1
