mjd,mag,mag_err,UL,filter,detected
57483.7,20.3434,inf,True,i,0
57524.5,16.1987,inf,True,W2,0
57524.5,17.638,0.36,False,W1,1
57524.798539,17.4426,0.0182,False,g,1
57524.872529,17.4326,0.0181,False,g,1
57525.3,17.6734,0.02,False,i,1
57529.687,15.2213,0.052,False,UVW1,1
57529.69,15.9164,0.05,False,u,1
57529.69,16.9564,0.06,False,u,1
57529.692,15.5056,0.048,False,UVW2,1
57529.758,15.0725,0.045,False,UVM2,1
57529.76,16.9794,0.07,False,g,1
57530.17,17.1346,0.04,False,r,1
57530.18,16.9194,0.05,False,g,1
57531.27,16.8594,0.04,False,g,1
57531.28,17.0746,0.04,False,r,1
57531.28,17.2834,0.05,False,i,1
57531.28,16.9764,0.04,False,u,1
57531.68,15.1543,0.051,False,UVW1,1
57531.68,15.8764,0.05,False,u,1
57531.68,16.8864,0.06,False,u,1
57531.685,15.5986,0.049,False,UVW2,1
57531.69,17.0294,0.11,False,g,1
57531.691,15.1075,0.045,False,UVM2,1
57532.19,16.8294,0.05,False,g,1
57532.19,17.0346,0.05,False,r,1
57533.22,16.7594,0.04,False,g,1
57533.22,16.9846,0.04,False,r,1
57533.22,17.2134,0.04,False,i,1
57533.23,16.7164,0.06,False,u,1
57533.23,15.7364,0.05,False,u,1
57533.23,16.8564,0.05,False,u,1
57533.23,16.8094,0.1,False,g,1
57533.249,15.5026,0.046,False,UVW2,1
57533.33,15.1143,0.063,False,UVW1,1
57534.18,16.7294,0.03,False,g,1
57534.18,16.9346,0.03,False,r,1
57534.18,17.1634,0.04,False,i,1
57534.19,16.8164,0.03,False,u,1
57535.14,16.9046,0.04,False,r,1
57535.25,17.1334,0.05,False,i,1
57535.26,16.6994,0.03,False,g,1
57535.26,16.7964,0.03,False,u,1
57536.148437,16.5687,0.0583,False,g,1
57536.1875,16.5699,0.0684,False,g,1
57536.191406,16.5452,0.0462,False,g,1
57536.195312,16.9327,0.0438,False,r,1
57536.195312,16.9393,0.0421,False,r,1
57536.199218,17.1239,0.0717,False,i,1
57536.199218,17.155,0.0553,False,i,1
57536.23,16.6594,0.04,False,g,1
57536.23,16.8646,0.04,False,r,1
57537.23,16.8246,0.05,False,r,1
57537.23,17.0434,0.05,False,i,1
57537.24,16.5994,0.03,False,g,1
57537.24,16.7364,0.04,False,u,1
57537.555,15.1313,0.044,False,UVW1,1
57537.597,15.6226,0.042,False,UVW2,1
57537.6,15.7364,0.04,False,u,1
57537.6,15.1955,0.041,False,UVM2,1
57537.6,16.7564,0.05,False,u,1
57537.6,16.6294,0.07,False,g,1
57538.17,16.5794,0.04,False,g,1
57538.17,16.7946,0.05,False,r,1
57538.191406,16.5303,0.0625,False,g,1
57538.195312,16.5245,0.0604,False,g,1
57538.199218,16.8715,0.0429,False,r,1
57538.199218,16.9043,0.069,False,r,1
57538.203125,17.0641,0.0843,False,i,1
57538.203125,17.0712,0.0747,False,i,1
57541.21,16.7146,0.05,False,r,1
57541.22,16.5294,0.04,False,g,1
57541.22,16.6464,0.02,False,u,1
57541.22,16.9134,0.06,False,i,1
57541.478,15.1763,0.043,False,UVW1,1
57541.48,15.5864,0.04,False,u,1
57541.48,16.6164,0.04,False,u,1
57541.483,15.7096,0.043,False,UVW2,1
57541.49,16.5694,0.07,False,g,1
57541.521,15.1995,0.048,False,UVM2,1
57542.15625,16.4294,0.052,False,g,1
57542.191406,16.4223,0.0453,False,g,1
57542.191406,16.4246,0.0568,False,g,1
57542.195312,16.7682,0.0543,False,r,1
57542.199218,16.7776,0.0668,False,r,1
57542.199218,16.9182,0.0847,False,i,1
57542.2,16.5094,0.04,False,g,1
57542.203125,16.9469,0.0772,False,i,1
57542.21,16.6264,0.04,False,u,1
57542.21,16.7046,0.05,False,r,1
57542.21,16.9134,0.06,False,i,1
57543.23,16.6646,0.05,False,r,1
57543.23,16.8834,0.06,False,i,1
57543.24,16.4894,0.03,False,g,1
57543.24,16.6064,0.03,False,u,1
57543.38,16.4394,0.07,False,g,1
57543.405,15.2483,0.047,False,UVW1,1
57543.408,15.7636,0.047,False,UVW2,1
57543.41,15.5864,0.04,False,u,1
57543.412,15.3425,0.045,False,UVM2,1
57544.16,16.4694,0.03,False,g,1
57544.16,16.6646,0.06,False,r,1
57545.18,16.4594,0.03,False,g,1
57545.18,16.6746,0.1,False,r,1
57545.307,15.3745,0.043,False,UVM2,1
