mjd,mag,mag_err,UL,filter,System,detected
57598.329509,18.5604,0.0505,False,w,AB,1
57598.33,18.5611,0.05,False,w,AB,1
57598.341359,18.5537,0.046,False,w,AB,1
57598.353184,18.522,0.0441,False,w,AB,1
57598.364986,18.5854,0.0413,False,w,AB,1
57604.8419,19.0489,0.301,False,UVW2,Vega,1
57604.8439,18.7885,0.315,False,UVM2,Vega,1
57604.8498,18.0065,0.081,False,UVW1,Vega,1
57610.2603,19.3149,0.155,False,UVW2,Vega,1
57610.2631,19.0575,0.159,False,UVM2,Vega,1
57610.2659,18.6785,0.107,False,UVW1,Vega,1
57612.347358,18.5071,0.0757,False,r,AB,1
57612.3571,18.4979,0.0699,False,r,AB,1
57612.376573,18.5111,0.0806,False,r,AB,1
57614.9383,19.5829,0.229,False,UVW2,Vega,1
57614.9421,19.6245,0.273,False,UVM2,Vega,1
57614.9457,18.9745,0.155,False,UVW1,Vega,1
57620.5926,20.0689,0.315,False,UVW2,Vega,1
57620.5964,20.0665,,True,UVM2,Vega,0
57620.6001,19.5255,0.222,False,UVW1,Vega,1
57624.6815,19.7715,,True,UVW1,Vega,0
57624.7437,20.0339,,True,UVW2,Vega,0
57624.7453,19.6515,,True,UVM2,Vega,0
57628.3326,19.8939,,True,UVW2,Vega,0
57628.3348,19.6335,,True,UVM2,Vega,0
57628.3368,19.8605,,True,UVW1,Vega,0
57661.238246,20.9555,0.1899,False,w,AB,1
57661.25148,20.98,0.1864,False,w,AB,1
57661.277946,20.9726,0.2296,False,w,AB,1
