mjd,mag,mag_err,UL,filter,detected
57883.428,18.9863,inf,True,orange,0
57883.428,19.0314,inf,True,r,0
57883.443,19.0863,inf,True,orange,0
57883.443,19.1314,inf,True,r,0
57883.459,18.8463,inf,True,orange,0
57883.459,18.8914,inf,True,r,0
57883.478,18.7163,inf,True,orange,0
57883.478,18.7614,inf,True,r,0
57884.365,19.5363,inf,True,orange,0
57884.365,19.5814,inf,True,r,0
57884.401,19.3063,inf,True,orange,0
57884.416,19.2763,inf,True,orange,0
57884.416,19.3214,inf,True,r,0
57886.285,19.6463,inf,True,orange,0
57886.285,19.6914,inf,True,r,0
57886.299,19.6163,inf,True,orange,0
57886.299,19.6614,inf,True,r,0
57886.314,19.4863,inf,True,orange,0
57886.314,19.5314,inf,True,r,0
57886.328,19.4863,inf,True,orange,0
57886.328,19.5314,inf,True,r,0
57892.37,20.2663,inf,True,orange,0
57892.37,20.3114,inf,True,r,0
57892.399,20.1863,inf,True,orange,0
57892.399,20.2314,inf,True,r,0
57892.427,20.2063,inf,True,orange,0
57893.299,20.1763,inf,True,orange,0
57893.299,20.2214,inf,True,r,0
57893.317,20.1363,inf,True,orange,0
57893.317,20.1814,inf,True,r,0
57893.35,19.6563,inf,True,orange,0
57893.35,19.7014,inf,True,r,0
57896.373,19.9321,inf,True,g,0
57896.373,20.0004,inf,True,cyan,0
57897.289,20.0163,inf,True,orange,0
57897.289,20.0614,inf,True,r,0
57897.306,19.9863,inf,True,orange,0
57897.306,20.0314,inf,True,r,0
57897.323,20.0163,inf,True,orange,0
57897.323,20.0614,inf,True,r,0
57897.34,20.0963,inf,True,orange,0
57897.34,20.1414,inf,True,r,0
57898.332,20.1363,inf,True,orange,0
57898.332,20.1814,inf,True,r,0
57900.346,20.2321,inf,True,g,0
57900.346,20.3004,inf,True,cyan,0
57900.381,20.2121,inf,True,g,0
57900.381,20.2804,inf,True,cyan,0
57900.416,20.2221,inf,True,g,0
57900.416,20.2904,inf,True,cyan,0
57902.268,20.2464,inf,True,orange,0
57902.268,20.2914,inf,True,r,0
57902.301,20.0764,inf,True,orange,0
57902.301,20.1214,inf,True,r,0
57902.318,20.0863,inf,True,orange,0
57902.318,20.1314,inf,True,r,0
57904.286,19.5221,inf,True,g,0
57904.286,19.5904,inf,True,cyan,0
57905.257,19.7663,inf,True,orange,0
57905.257,19.8114,inf,True,r,0
57905.271,19.6163,inf,True,orange,0
57905.271,19.6614,inf,True,r,0
57906.257,19.3563,inf,True,orange,0
57906.257,19.4014,inf,True,r,0
57908.326,17.7663,inf,True,orange,0
57908.326,17.8114,inf,True,r,0
57908.394,17.8363,inf,True,orange,0
57908.394,17.8814,inf,True,r,0
57908.6,15.8982,inf,True,W2,0
57908.6,17.4973,inf,True,W1,0
57909.274,18.5764,0.1199,False,orange,1
57910.275,18.5563,0.1,False,orange,1
57912.992,18.7846,0.1199,False,J,1
57912.992,19.1305,0.1899,False,H,1
57912.992,17.4991,0.05,False,g,1
57912.992,17.911,0.05,False,r,1
57912.992,18.2046,0.0399,False,i,1
57912.992,18.3228,0.0599,False,z,1
57912.992,19.514,inf,True,K,0
57913.276,18.0363,0.1,False,orange,1
57914.026,17.841,0.05,False,r,1
57914.026,18.2528,0.05,False,z,1
57914.026,18.1246,0.0399,False,i,1
57914.026,19.194,inf,True,K,0
57914.026,18.8046,0.1099,False,J,1
57914.026,19.3005,0.18,False,H,1
57914.026,17.4591,0.0299,False,g,1
57914.267,17.8163,0.0799,False,orange,1
57916.327,17.8963,0.05,False,orange,1
57917.011,17.9846,0.0599,False,i,1
57917.011,17.681,0.0399,False,r,1
57917.011,18.8805,0.1299,False,H,1
57917.011,17.3391,0.0799,False,g,1
57917.011,18.5046,0.1,False,J,1
57917.011,19.174,0.27,False,K,1
57917.011,18.0628,0.0599,False,z,1
57919.32,17.7363,0.0599,False,orange,1
57920.316,17.6363,0.0199,False,orange,1
57923.327,17.6463,0.1599,False,orange,1
57924.011,17.2591,0.0599,False,g,1
57924.011,17.491,0.0399,False,r,1
57924.011,17.7828,0.0599,False,z,1
57924.011,18.3646,0.1,False,J,1
57924.011,18.5805,0.1299,False,H,1
57924.303,17.5263,0.0399,False,orange,1
57927.304,17.5764,0.0299,False,orange,1
57927.322,17.5963,0.05,False,orange,1
57927.572,17.2408,0.2599,False,i,1
57927.572,17.257,0.25,False,r,1
57927.572,17.3043,0.1899,False,g,1
57927.572,17.4766,0.15,False,u,1
57929.465,17.4291,0.0399,False,g,1
57929.465,17.531,0.0299,False,r,1
57929.465,17.6346,0.05,False,i,1
57930.551,17.0408,0.3,False,i,1
57930.551,17.247,0.3499,False,r,1
57930.551,17.3043,0.25,False,g,1
57930.551,17.6966,0.1299,False,u,1
57931.297,17.5163,0.0299,False,orange,1
57932.0,17.5166,0.09,False,u,1
57932.0,17.5243,0.15,False,g,1
57932.0,17.8228,0.0799,False,u,1
57932.0,18.3639,0.07,False,UVW1,1
57932.0,18.5492,0.0599,False,UVM2,1
57932.0,18.7867,0.0799,False,UVW2,1
57933.058,17.3991,0.0099,False,g,1
57933.058,17.541,0.0199,False,r,1
57933.058,17.6246,0.0599,False,i,1
57933.058,17.6728,0.0299,False,z,1
57933.058,18.1646,0.1099,False,J,1
57933.058,18.5105,0.14,False,H,1
57933.058,18.634,0.2,False,K,1
57937.0,17.4443,0.1599,False,g,1
57937.0,17.8066,0.1099,False,u,1
57937.0,17.9128,0.09,False,u,1
57937.0,18.6639,0.09,False,UVW1,1
57937.0,18.8392,0.07,False,UVM2,1
57937.0,19.0267,0.0799,False,UVW2,1
57937.012,17.5591,0.0399,False,g,1
57937.012,17.701,0.07,False,r,1
57937.012,17.7246,0.0599,False,i,1
57937.98,17.5591,0.07,False,g,1
57937.98,17.601,0.0599,False,r,1
57937.98,17.6646,0.07,False,i,1
57937.98,17.7128,0.0599,False,z,1
57937.98,18.1446,0.1599,False,J,1
57937.98,18.3005,0.2,False,H,1
57938.031,17.7091,0.05,False,g,1
57938.031,17.581,0.05,False,r,1
57938.031,17.6046,0.0599,False,i,1
57938.428,17.4646,0.0799,False,i,1
57938.428,17.6891,0.0799,False,g,1
57938.428,17.691,0.07,False,r,1
57939.275,17.6263,0.0599,False,orange,1
57941.345,17.661,0.0599,False,r,1
57941.345,17.6946,0.05,False,i,1
57941.345,17.7791,0.0599,False,g,1
57941.994,17.7346,0.0399,False,i,1
57941.994,17.771,0.0399,False,r,1
57941.994,17.7991,0.0399,False,g,1
57942.273,17.7363,0.07,False,orange,1
57943.255,17.7063,0.0799,False,orange,1
57944.261,17.7663,0.0599,False,orange,1
57945.007,17.801,0.0299,False,r,1
57945.007,17.8246,0.0399,False,i,1
57945.007,17.9191,0.0299,False,g,1
57945.263,17.8563,0.0399,False,orange,1
57946.033,17.841,0.05,False,r,1
57946.033,17.8446,0.05,False,i,1
57946.033,17.9091,0.0299,False,g,1
57946.033,17.9228,0.0399,False,z,1
57946.033,18.3546,0.1,False,J,1
57946.033,18.6005,0.15,False,H,1
57946.033,18.844,0.2099,False,K,1
57948.027,18.6505,0.18,False,H,1
57948.027,17.9991,0.09,False,g,1
57948.027,17.9128,0.07,False,z,1
57948.027,17.891,0.0299,False,r,1
57948.027,17.9146,0.0399,False,i,1
57948.027,18.844,inf,True,K,0
57948.027,18.1746,0.1199,False,J,1
57948.984,17.8646,0.0599,False,i,1
57948.984,18.0891,0.07,False,g,1
57948.984,17.851,0.0599,False,r,1
57949.261,17.9163,0.05,False,orange,1
57950.995,17.9728,0.05,False,z,1
57950.995,17.9346,0.0599,False,i,1
57950.995,17.981,0.0299,False,r,1
57950.995,18.1291,0.0099,False,g,1
57950.995,18.4646,0.15,False,J,1
57950.995,18.924,inf,True,K,0
57950.995,18.8205,0.2599,False,H,1
57951.26,18.0463,0.05,False,orange,1
57953.983,18.1146,0.1,False,i,1
57953.983,18.161,0.0599,False,r,1
57953.983,18.1628,0.0399,False,z,1
57953.983,18.3691,0.07,False,g,1
57953.983,18.4046,0.1199,False,J,1
57953.983,18.8805,0.14,False,H,1
57953.983,19.094,0.2399,False,K,1
57954.967,18.0846,0.1,False,i,1
57954.967,18.161,0.0799,False,r,1
57955.258,18.2163,0.0799,False,orange,1
57955.993,18.1546,0.0599,False,i,1
57955.993,18.2028,0.0299,False,z,1
57955.993,18.231,0.05,False,r,1
57955.993,18.4291,0.05,False,g,1
57955.993,18.5046,0.1,False,J,1
57955.993,18.7305,0.14,False,H,1
57955.993,19.094,0.18,False,K,1
57958.984,18.2146,0.05,False,i,1
57958.984,18.2428,0.0399,False,z,1
57958.984,18.341,0.05,False,r,1
57958.984,18.5391,0.05,False,g,1
57958.984,18.6146,0.1,False,J,1
57958.984,19.0905,0.1899,False,H,1
57958.984,19.414,inf,True,K,0
57959.0,18.7943,0.37,False,g,1
57959.0,18.7766,0.18,False,u,1
57959.0,19.0428,0.1299,False,u,1
57959.0,19.9839,0.1299,False,UVW1,1
57959.0,20.3567,0.1099,False,UVW2,1
57959.0,20.1592,0.1,False,UVM2,1
57961.979,18.3846,0.0599,False,i,1
57961.979,18.3928,0.05,False,z,1
57961.979,18.491,0.05,False,r,1
57961.979,18.6846,0.1099,False,J,1
57961.979,18.7091,0.0399,False,g,1
57961.979,19.0505,0.1599,False,H,1
57961.979,19.474,inf,True,K,0
57965.983,18.4746,0.07,False,i,1
57965.983,18.4828,0.0599,False,z,1
57965.983,18.571,0.0599,False,r,1
57965.983,18.7746,0.1599,False,J,1
57965.983,18.8891,0.0599,False,g,1
57965.983,19.284,inf,True,K,0
57965.983,19.5005,inf,True,H,0
57966.979,18.4628,0.05,False,z,1
57966.979,18.4846,0.0599,False,i,1
57966.979,18.611,0.05,False,r,1
57966.979,18.8546,0.18,False,J,1
57966.979,18.8691,0.0399,False,g,1
57966.979,19.254,inf,True,K,0
57966.979,19.4605,inf,True,H,0
57974.968,18.6946,0.07,False,i,1
57974.968,18.7628,0.07,False,z,1
57974.968,18.911,0.23,False,r,1
57974.968,19.0046,0.2599,False,J,1
57974.968,19.1291,0.05,False,g,1
57974.968,19.1705,inf,True,H,0
58096.649166,19.0938,inf,True,orange,0
58100.63427,19.7059,inf,True,orange,0
58103.3,19.584,inf,True,K,0
58103.3,19.6305,0.2099,False,H,1
58103.3,20.0946,0.07,False,i,1
58103.3,20.1228,0.1,False,z,1
58103.3,20.5291,0.05,False,g,1
58103.3,20.571,0.05,False,r,1
58103.3,20.8946,inf,True,J,0
58104.652754,19.6413,inf,True,orange,0
58109.303,20.0146,0.18,False,J,1
58109.303,20.0746,0.07,False,i,1
58109.303,20.2828,0.09,False,z,1
58109.303,20.3605,inf,True,H,0
58109.303,20.5091,0.05,False,g,1
58109.303,20.601,0.0599,False,r,1
58111.1,15.9982,inf,True,W2,0
58111.1,17.4773,0.35,False,W1,1
58112.578866,19.818,inf,True,orange,0
58114.304,20.4046,0.15,False,J,1
58114.304,20.2146,0.0599,False,i,1
58114.304,20.7091,0.0599,False,g,1
58114.304,19.854,0.23,False,K,1
58114.304,20.4828,0.0599,False,z,1
58114.304,20.941,0.05,False,r,1
58114.304,20.4605,0.2,False,H,1
58116.59002,19.7737,inf,True,orange,0
58122.318,19.814,inf,True,K,0
58122.318,20.2246,0.0799,False,i,1
58122.318,20.2905,0.2599,False,H,1
58122.318,20.4046,0.2099,False,J,1
58122.318,20.6128,0.07,False,z,1
58122.318,20.8391,0.0799,False,g,1
58122.318,20.971,0.0599,False,r,1
58124.304,20.3346,0.15,False,J,1
58124.304,19.754,0.2599,False,K,1
58124.304,20.1546,0.05,False,i,1
58124.304,20.5028,0.07,False,z,1
58124.304,20.7891,0.0599,False,g,1
58124.304,20.841,0.07,False,r,1
58124.304,20.7105,0.28,False,H,1
58128.584888,19.7322,inf,True,orange,0
58130.266,19.9205,0.18,False,H,1
58130.266,20.3346,0.1,False,i,1
58130.266,20.4728,0.0599,False,z,1
58130.266,20.7546,0.2199,False,J,1
58130.266,20.921,0.0599,False,r,1
58130.266,20.9391,0.0599,False,g,1
58130.578671,19.8542,inf,True,orange,0
58133.263,20.3346,0.17,False,J,1
58133.263,19.724,0.2199,False,K,1
58133.263,20.2246,0.0599,False,i,1
58133.263,20.7291,0.05,False,g,1
58133.263,20.3828,0.0599,False,z,1
58133.263,20.781,0.05,False,r,1
58133.263,20.1705,0.2099,False,H,1
58134.661599,20.1365,inf,True,cyan,0
58136.303,20.1905,0.2099,False,H,1
58136.303,20.2746,0.0799,False,i,1
58136.303,20.3246,0.1599,False,J,1
58136.303,20.5528,0.05,False,z,1
58136.303,20.8391,0.0799,False,g,1
58136.303,20.911,0.05,False,r,1
58136.644973,19.9562,inf,True,orange,0
58140.0,21.7339,inf,True,UVW1,0
58140.0,22.1867,0.2599,False,UVW2,1
58140.0,22.4392,inf,True,UVM2,0
58140.283,19.944,0.3,False,K,1
58140.283,20.2946,0.09,False,i,1
58140.283,20.3146,0.17,False,J,1
58140.283,20.3405,0.25,False,H,1
58140.283,20.5828,0.0599,False,z,1
58140.283,20.7691,0.07,False,g,1
58140.283,20.931,0.0399,False,r,1
58140.612996,19.639,inf,True,orange,0
58142.282,20.2305,0.25,False,H,1
58142.282,19.594,0.2399,False,K,1
58142.282,20.7491,0.0599,False,g,1
58142.282,20.2346,0.0799,False,i,1
58142.282,20.871,0.05,False,r,1
58142.282,20.5028,0.0599,False,z,1
58142.282,20.6146,0.23,False,J,1
58145.319,19.594,inf,True,K,0
58145.319,20.1705,0.18,False,H,1
58145.319,20.3246,0.09,False,i,1
58145.319,20.4746,0.18,False,J,1
58145.319,20.7028,0.0599,False,z,1
58145.319,20.9091,0.0599,False,g,1
58145.319,21.051,0.05,False,r,1
58150.0,21.0928,0.1299,False,u,1
58150.0,22.2467,0.2099,False,UVW2,1
58150.333,18.964,inf,True,K,0
58150.333,20.2505,inf,True,H,0
58150.333,20.5146,inf,True,J,0
58150.333,20.5946,0.1299,False,i,1
58150.333,20.6028,0.1599,False,z,1
58150.333,20.8491,0.17,False,g,1
58150.333,21.211,0.14,False,r,1
58160.591121,20.2783,inf,True,orange,0
58161.258,20.2305,0.17,False,H,1
58161.258,19.844,inf,True,K,0
58161.258,20.9691,0.05,False,g,1
58161.258,20.2446,0.09,False,i,1
58161.258,20.891,0.0399,False,r,1
58161.258,20.5828,0.0799,False,z,1
58161.258,20.4146,0.14,False,J,1
58162.616086,19.824,inf,True,cyan,0
58164.592524,20.1292,inf,True,orange,0
58167.31,19.814,inf,True,K,0
58167.31,20.3746,0.17,False,J,1
58167.31,20.4705,0.2399,False,H,1
58169.268,19.924,inf,True,K,0
58169.268,20.3046,0.0799,False,i,1
58169.268,20.961,0.05,False,r,1
58169.268,20.5546,0.2399,False,J,1
58169.268,20.6905,inf,True,H,0
58169.268,20.8591,0.05,False,g,1
58169.268,20.6028,0.07,False,z,1
58176.338,20.3046,0.15,False,J,1
58176.338,20.2646,0.05,False,i,1
58176.338,20.8891,0.0799,False,g,1
58176.338,19.514,0.2599,False,K,1
58176.338,20.8028,0.05,False,z,1
58176.338,20.951,0.0399,False,r,1
58176.338,20.5705,0.2199,False,H,1
58184.248,19.975,inf,True,K,0
58184.248,20.3805,0.2399,False,H,1
58184.248,20.4146,0.1899,False,J,1
58184.550732,19.5585,inf,True,orange,0
58196.179,20.2405,0.17,False,H,1
58196.179,20.4346,0.09,False,i,1
58196.179,21.1591,0.0799,False,g,1
58196.179,19.624,0.2399,False,K,1
58196.179,21.321,0.05,False,r,1
58196.179,20.9828,0.0599,False,z,1
58196.179,20.4446,0.1599,False,J,1
58196.526765,19.8425,inf,True,orange,0
58202.285,19.914,inf,True,K,0
58202.285,20.3246,0.09,False,i,1
58202.285,20.4205,0.23,False,H,1
58202.285,20.5146,0.18,False,J,1
58202.285,20.7628,0.07,False,z,1
58202.285,20.9791,0.07,False,g,1
58202.285,21.181,0.0599,False,r,1
58214.119,20.6328,0.0799,False,z,1
58214.119,19.984,inf,True,K,0
58214.119,20.3746,0.09,False,i,1
58214.119,20.6446,0.2399,False,J,1
58214.119,20.9791,0.05,False,g,1
58214.119,21.061,0.0599,False,r,1
58214.119,20.5205,0.3199,False,H,1
58220.479778,19.6152,inf,True,orange,0
58226.095,19.434,inf,True,K,0
58226.095,20.2246,0.05,False,i,1
58226.095,20.6005,inf,True,H,0
58226.095,20.6928,0.09,False,z,1
58226.095,20.971,0.0399,False,r,1
58226.095,20.9991,0.07,False,g,1
58226.095,21.0546,inf,True,J,0
58226.466445,19.9227,inf,True,cyan,0
58248.408899,19.691,inf,True,orange,0
58252.407904,20.1184,inf,True,orange,0
58252.463371,20.3582,inf,True,cyan,0
58253.256486,20.0901,inf,True,cyan,0
58254.400597,20.3961,inf,True,cyan,0
58260.373331,19.7545,inf,True,orange,0
58270.5,16.0982,inf,True,W2,0
58270.5,16.4973,0.13,False,W1,1
58274.307498,19.887,inf,True,orange,0
58280.336608,19.0532,inf,True,orange,0
58282.344978,19.9648,inf,True,orange,0
58284.337509,19.9823,inf,True,orange,0
58286.339928,20.2996,inf,True,cyan,0
58288.309875,19.8679,inf,True,orange,0
58292.323813,19.6007,inf,True,orange,0
58294.318999,19.7,inf,True,orange,0
58300.288047,20.2095,inf,True,orange,0
58302.290315,19.6559,inf,True,orange,0
58310.2909,20.2342,inf,True,cyan,0
58312.278981,19.7467,inf,True,orange,0
58316.255343,19.3422,inf,True,orange,0
58324.254981,19.0554,inf,True,orange,0
58475.3,15.6682,0.24,False,W2,1
58475.3,16.5573,0.15,False,W1,1
58634.7,15.7582,0.24,False,W2,1
58634.7,16.5973,0.13,False,W1,1
58842.3,15.8982,inf,True,W2,0
58842.3,16.8173,0.21,False,W1,1
59000.4,16.0982,inf,True,W2,0
59000.4,17.1873,0.22,False,W1,1
