mjd,mag,mag_err,UL,filter,System,detected
57931.0,20.6854,0.2,True,g,AB,0
57977.819279,16.8873,0.0169,False,G,AB,1
57977.995449,16.8373,0.0167,False,G,AB,1
57983.44,16.6371,0.02,False,g,AB,1
57983.44,16.9413,0.01,False,r,AB,1
57983.44,17.1143,0.02,False,i,AB,1
57983.44,17.4639,0.02,False,z,AB,1
57983.44,17.6561,0.02,False,J,AB,1
57983.44,18.1322,0.03,False,H,AB,1
57983.44,18.6432,0.08,False,Ks,AB,1
57984.12,16.9119,0.05,False,B,Vega,1
57984.12,16.9603,0.05,False,V,Vega,1
57984.14,16.9337,0.06,False,r,AB,1
57984.14,16.9777,0.05,False,i,AB,1
57986.0,18.5222,0.08,False,UVW2,AB,1
57986.77,18.4178,0.05,False,UVM2,AB,1
57986.79,16.7819,0.01,False,B,Vega,1
57986.79,17.1103,0.01,False,V,Vega,1
57986.8,17.0077,0.01,False,i,AB,1
57986.8,17.0137,0.01,False,r,AB,1
57986.8,17.1037,0.01,False,z,AB,1
57987.78,16.8819,0.01,False,B,Vega,1
57987.78,17.0803,0.0,False,V,Vega,1
57989.82,16.9479,0.05,False,U,Vega,1
57989.82,16.7619,0.06,False,B,Vega,1
57989.82,18.1314,0.07,False,UVW1,AB,1
57989.82,18.9822,0.1,False,UVW2,AB,1
57989.82,16.8703,0.12,False,V,Vega,1
57990.82,18.7978,0.08,False,UVM2,AB,1
57991.14,16.6219,0.03,False,B,Vega,1
57991.14,16.8554,0.01,False,g,AB,1
57991.14,16.9737,0.02,False,r,AB,1
57991.14,17.0377,0.01,False,i,AB,1
57991.14,17.0903,0.01,False,V,Vega,1
57991.15,17.6337,0.05,False,z,AB,1
57992.79,18.6114,0.52,False,UVW1,AB,1
57992.79,19.0678,0.32,False,UVM2,AB,1
57994.24911,16.9573,0.0172,False,G,AB,1
57994.32311,16.9573,0.0172,False,G,AB,1
57994.78,16.9119,0.01,False,B,Vega,1
57994.78,16.9137,0.01,False,r,AB,1
57994.78,16.9554,0.01,False,g,AB,1
57994.78,16.9903,0.0,False,V,Vega,1
57994.78,17.0977,0.01,False,i,AB,1
57996.4,17.6273,0.05,False,J,AB,1
57996.4,18.6038,0.12,False,Ks,AB,1
57998.29,16.8919,0.1,False,B,Vega,1
57998.29,16.8303,0.16,False,V,Vega,1
57998.29,17.2279,0.09,False,U,Vega,1
57998.29,18.5114,0.13,False,UVW1,AB,1
57998.29,19.3722,0.19,False,UVW2,AB,1
57998.29,19.2478,0.2,False,UVM2,AB,1
57999.34,16.9819,0.02,False,B,Vega,1
57999.34,17.0403,0.01,False,V,Vega,1
57999.39,17.3137,0.03,False,z,AB,1
58001.47,16.9419,0.06,False,B,Vega,1
58001.47,17.3879,0.06,False,U,Vega,1
58001.47,18.8514,0.1,False,UVW1,AB,1
58001.47,19.4822,0.13,False,UVW2,AB,1
58001.48,16.9403,0.11,False,V,Vega,1
58001.48,19.7278,0.15,False,UVM2,AB,1
58003.12,16.9103,0.01,False,V,Vega,1
58003.12,17.0619,0.01,False,B,Vega,1
58003.38,17.3137,0.03,False,z,AB,1
58007.1,16.9803,0.01,False,V,Vega,1
58007.1,17.2919,0.0,False,B,Vega,1
58007.76,17.0303,0.01,False,V,Vega,1
58007.76,17.3519,0.01,False,B,Vega,1
58007.78,17.0154,0.06,False,g,AB,1
58007.78,17.1437,0.03,False,r,AB,1
58007.78,17.1677,0.07,False,i,AB,1
58008.38,17.2439,0.01,False,z,AB,1
58008.38,16.9971,0.01,False,g,AB,1
58008.38,17.0913,0.01,False,r,AB,1
58008.38,17.7261,0.02,False,J,AB,1
58008.38,18.0722,0.04,False,H,AB,1
58008.38,18.3532,0.05,False,Ks,AB,1
58008.38,17.1743,0.01,False,i,AB,1
58011.73,17.2203,0.01,False,V,Vega,1
58011.73,17.4019,0.01,False,B,Vega,1
58015.68,17.3403,0.01,False,V,Vega,1
58015.68,17.8219,0.01,False,B,Vega,1
58017.37,17.8961,0.04,False,J,AB,1
58017.37,17.3513,0.01,False,r,AB,1
58017.37,17.5543,0.01,False,i,AB,1
58017.37,17.5571,0.01,False,g,AB,1
58017.37,18.3422,0.05,False,H,AB,1
58017.37,18.6932,0.09,False,Ks,AB,1
58017.37,17.5839,0.01,False,z,AB,1
58017.38,17.8273,0.02,False,J,AB,1
58017.38,18.1724,0.03,False,H,AB,1
58017.38,18.5938,0.05,False,Ks,AB,1
58019.68,17.6137,0.04,False,r,AB,1
58019.68,17.8554,0.04,False,g,AB,1
58020.36,17.5643,0.01,False,i,AB,1
58020.36,17.3613,0.01,False,r,AB,1
58020.36,17.7471,0.01,False,g,AB,1
58020.36,18.0661,0.02,False,J,AB,1
58020.36,17.5739,0.03,False,z,AB,1
58020.36,18.6232,0.05,False,Ks,AB,1
58020.36,18.2422,0.04,False,H,AB,1
58024.08,17.5977,0.03,False,i,AB,1
58024.08,17.6837,0.02,False,r,AB,1
58024.08,17.7854,0.05,False,g,AB,1
58025.3,17.7613,0.04,False,r,AB,1
58025.3,17.7571,0.13,False,g,AB,1
58025.3,17.6039,0.06,False,z,AB,1
58025.3,17.7943,0.03,False,i,AB,1
58025.3,18.3622,0.09,False,H,AB,1
58025.3,17.8561,0.07,False,J,AB,1
58027.12,17.6377,0.03,False,i,AB,1
58027.12,17.7437,0.02,False,r,AB,1
58027.12,17.8403,0.01,False,V,Vega,1
58027.12,17.9554,0.05,False,g,AB,1
58027.12,18.2919,0.01,False,B,Vega,1
58029.31,18.4422,0.03,False,H,AB,1
58029.31,18.7632,0.07,False,Ks,AB,1
58029.31,17.8961,0.03,False,J,AB,1
58029.32,17.5343,0.03,False,i,AB,1
58029.32,17.6339,0.04,False,z,AB,1
58029.32,17.6713,0.01,False,r,AB,1
58029.32,17.9571,0.02,False,g,AB,1
58031.0,17.7477,0.04,False,i,AB,1
58031.0,17.7937,0.06,False,r,AB,1
58031.0,17.8503,0.04,False,V,Vega,1
58031.0,18.1154,0.08,False,g,AB,1
58031.0,18.3119,0.04,False,B,Vega,1
58032.06,17.8503,0.01,False,V,Vega,1
58032.06,18.2519,0.01,False,B,Vega,1
58032.08,17.9737,0.03,False,r,AB,1
58032.08,18.2854,0.02,False,g,AB,1
58032.21566,17.9073,0.023,False,G,AB,1
58032.289659,17.8873,0.0229,False,G,AB,1
58033.3,17.7713,0.01,False,r,AB,1
58033.3,17.7839,0.01,False,z,AB,1
58033.3,17.8243,0.02,False,i,AB,1
58033.3,18.0661,0.02,False,J,AB,1
58033.3,18.4471,0.02,False,g,AB,1
58033.3,18.5122,0.04,False,H,AB,1
58033.3,18.9032,0.08,False,Ks,AB,1
58035.5,16.1394,0.33,False,W2,Vega,1
58035.5,17.1535,0.25,False,W1,Vega,1
58036.26,18.0503,0.01,False,V,Vega,1
58036.26,18.4619,0.02,False,B,Vega,1
58036.28,17.9077,0.02,False,i,AB,1
58036.28,18.4454,0.03,False,g,AB,1
58040.0,18.2203,0.01,False,V,Vega,1
58040.0,18.8619,0.01,False,B,Vega,1
58040.02,18.0577,0.02,False,i,AB,1
58040.02,18.0937,0.02,False,r,AB,1
58040.02,18.4754,0.02,False,g,AB,1
58040.24,18.0139,0.02,False,z,AB,1
58040.24,18.1113,0.01,False,r,AB,1
58040.24,18.1543,0.01,False,i,AB,1
58040.24,18.5071,0.01,False,g,AB,1
58044.0,18.4803,0.05,False,V,Vega,1
58044.0,19.2319,0.04,False,B,Vega,1
58044.01,18.4237,0.03,False,r,AB,1
58044.01,18.4677,0.04,False,i,AB,1
58044.01,18.9454,0.04,False,g,AB,1
58044.34,18.2313,0.04,False,r,AB,1
58044.34,18.4239,0.04,False,z,AB,1
58044.34,18.4743,0.02,False,i,AB,1
58044.34,18.9271,0.01,False,g,AB,1
58047.74,19.1603,0.02,False,V,Vega,1
58047.74,19.8019,0.02,False,B,Vega,1
58047.75,19.2054,0.06,False,g,AB,1
58047.75,18.7177,0.2,False,i,AB,1
58047.75,18.7337,0.12,False,r,AB,1
58049.35,18.6039,0.05,False,z,AB,1
58049.35,19.0213,0.04,False,r,AB,1
58049.35,19.0743,0.04,False,i,AB,1
58049.35,19.7071,0.04,False,g,AB,1
58054.29,19.1039,0.03,False,z,AB,1
58054.29,19.3243,0.03,False,i,AB,1
58054.29,19.4413,0.02,False,r,AB,1
58054.29,20.0671,0.04,False,g,AB,1
58056.29,19.4024,0.04,False,H,AB,1
58056.29,19.6638,0.06,False,Ks,AB,1
58056.29,17.5473,,True,J,AB,0
58057.7,19.6037,0.06,False,r,AB,1
58057.7,19.8603,0.06,False,V,Vega,1
