mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
57995.442997,21.303,,True,G,AB,0,G,5850.88
58029.84455,18.303,0.0255,False,G,AB,1,G,5850.88
58029.91855,18.353,0.026,False,G,AB,1,G,5850.88
58068.82492,19.373,0.04,False,G,AB,1,G,5850.88
58088.08112,19.783,0.0483,False,G,AB,1,G,5850.88
58088.33128,19.903,0.051,False,G,AB,1,G,5850.88
58140.39373,20.473,0.0668,False,G,AB,1,G,5850.88
58164.821909,20.503,0.0678,False,G,AB,1,G,5850.88
58179.607967,19.2623,,True,orange,AB,0,orange,6629.82
58207.592423,19.3992,,True,orange,AB,0,orange,6629.82
58227.634009,18.8332,,True,cyan,AB,0,cyan,5182.42
58231.611358,19.9105,,True,orange,AB,0,orange,6629.82
58247.595445,20.0302,,True,orange,AB,0,orange,6629.82
58249.586997,19.6497,,True,orange,AB,0,orange,6629.82
58253.573639,19.7618,,True,orange,AB,0,orange,6629.82
58259.554427,20.2402,,True,cyan,AB,0,cyan,5182.42
58261.55369,19.7244,,True,orange,AB,0,orange,6629.82
58263.570508,19.8308,,True,orange,AB,0,orange,6629.82
58273.547044,19.8777,,True,orange,AB,0,orange,6629.82
58275.547145,20.0639,,True,orange,AB,0,orange,6629.82
58279.527901,20.0168,,True,cyan,AB,0,cyan,5182.42
58281.514127,20.0473,,True,orange,AB,0,orange,6629.82
58282.546765,19.9546,,True,orange,AB,0,orange,6629.82
58285.514678,20.0141,,True,orange,AB,0,orange,6629.82
58287.518553,20.4357,,True,cyan,AB,0,cyan,5182.42
58289.498009,20.3075,,True,orange,AB,0,orange,6629.82
58291.513695,19.7589,,True,orange,AB,0,orange,6629.82
58293.501687,19.8523,,True,orange,AB,0,orange,6629.82
58303.48902,19.9314,,True,orange,AB,0,orange,6629.82
58307.497627,20.2221,,True,cyan,AB,0,cyan,5182.42
58311.493875,20.011,,True,cyan,AB,0,cyan,5182.42
