mjd,mag,mag_err,UL,filter,detected
57948.42429,21.9477,inf,True,i,0
57955.442,21.9477,inf,True,i,0
57959.35495,21.9477,inf,True,i,0
57964.38449,21.9477,inf,True,i,0
57974.43611,21.9477,inf,True,i,0
57982.39073,21.4547,0.275,False,i,1
57987.36005,20.9737,0.169,False,i,1
57992.36187,21.2087,0.266,False,i,1
57999.42025,21.9327,0.579,False,i,1
58002.39152,21.3497,0.398,False,i,1
58007.34847,21.4037,0.308,False,i,1
58011.33951,20.8757,0.229,False,i,1
58018.29617,20.4447,0.125,False,i,1
58027.28737,20.3187,0.161,False,i,1
58032.22251,20.0197,0.124,False,i,1
58039.20716,19.6797,0.076,False,i,1
58045.25994,19.6587,0.061,False,i,1
58048.26081,19.4617,0.05,False,i,1
58055.14826,19.3887,0.051,False,i,1
58066.12065,19.1947,0.047,False,i,1
58070.07142,19.1477,0.054,False,i,1
58074.11572,19.2237,0.048,False,i,1
58079.16059,19.2537,0.041,False,i,1
58083.13003,19.1987,0.048,False,i,1
58088.13179,19.2667,0.06,False,i,1
58095.14469,19.2117,0.036,False,i,1
58110.16114,19.4057,0.049,False,i,1
58115.18641,19.3377,0.048,False,i,1
58120.23849,19.4917,0.095,False,i,1
58126.12748,19.3437,0.056,False,i,1
58136.11484,19.5807,0.065,False,i,1
58143.13376,19.6047,0.061,False,i,1
58147.10872,19.6507,0.08,False,i,1
58151.0657,19.9207,0.104,False,i,1
58175.026,20.8057,0.217,False,i,1
58308.43559,21.3417,0.256,False,i,1
58328.37209,21.9477,inf,True,i,0
58333.3841,21.6757,0.382,False,i,1
58338.41808,21.5117,0.316,False,i,1
58342.40834,21.1827,0.215,False,i,1
58347.37315,21.7257,0.291,False,i,1
58356.30035,21.0517,0.274,False,i,1
58360.26416,21.6497,0.533,False,i,1
58367.27405,21.9197,0.315,False,i,1
58372.27163,21.4777,0.323,False,i,1
58376.35732,20.8067,0.288,False,i,1
58383.32654,21.9477,inf,True,i,0
58386.30179,21.8197,0.449,False,i,1
58401.22689,21.9477,inf,True,i,0
58408.26905,21.4867,0.348,False,i,1
58412.16387,21.9477,inf,True,i,0
58415.19653,21.9477,inf,True,i,0
58418.1837,21.2397,0.302,False,i,1
58426.18881,21.9477,inf,True,i,0
58430.14462,21.6937,0.292,False,i,1
58435.14368,21.9477,inf,True,i,0
58439.08323,21.9477,inf,True,i,0
58443.07994,21.9477,inf,True,i,0
58447.1101,21.9047,0.563,False,i,1
58450.12995,21.5927,0.289,False,i,1
58453.13548,21.6077,0.343,False,i,1
58456.20009,21.3977,0.289,False,i,1
58461.14781,21.7007,0.322,False,i,1
58464.13854,21.6747,0.351,False,i,1
58467.12375,21.3327,0.231,False,i,1
58473.12214,21.3147,0.272,False,i,1
58478.10057,21.9477,inf,True,i,0
58486.07202,21.9477,inf,True,i,0
58498.09423,21.9477,inf,True,i,0
58504.17197,21.7917,0.328,False,i,1
58508.18319,21.9477,inf,True,i,0
58513.17445,21.8797,0.443,False,i,1
58519.10638,21.9477,inf,True,i,0
58526.13267,21.9477,inf,True,i,0
58535.02488,21.9477,inf,True,i,0
58541.05758,21.8417,0.491,False,i,1
58549.03027,21.9477,inf,True,i,0
58556.00359,21.9477,inf,True,i,0
58675.38939,21.9477,inf,True,i,0
58684.38071,21.9477,inf,True,i,0
58692.38888,21.7017,0.419,False,i,1
58699.37397,21.9477,inf,True,i,0
58704.39458,21.9477,inf,True,i,0
58709.39565,21.9477,inf,True,i,0
58713.38107,21.3867,0.397,False,i,1
58717.38978,21.5317,0.35,False,i,1
58721.31729,21.7507,0.289,False,i,1
58726.29114,21.9477,inf,True,i,0
58734.26729,21.9477,inf,True,i,0
58738.26661,21.7577,0.467,False,i,1
58744.33635,21.9477,inf,True,i,0
58750.27064,21.9477,inf,True,i,0
58754.2759,21.9477,inf,True,i,0
58757.23112,21.8787,0.327,False,i,1
58761.26636,21.9477,inf,True,i,0
58764.2168,21.9477,inf,True,i,0
58774.1698,21.6877,0.407,False,i,1
58777.24158,21.9337,0.625,False,i,1
58783.18156,21.9477,inf,True,i,0
58791.26163,21.8467,0.504,False,i,1
58795.15365,21.6167,0.422,False,i,1
58798.17152,21.4737,0.396,False,i,1
58801.11366,21.9477,inf,True,i,0
58804.1163,21.9477,inf,True,i,0
58812.07113,21.7827,0.456,False,i,1
58821.13997,21.9477,inf,True,i,0
58822.10454,21.7037,0.375,False,i,1
58826.14979,21.9477,inf,True,i,0
58830.13664,21.9477,inf,True,i,0
58835.13735,21.9477,inf,True,i,0
58839.1214,21.9477,0.43,False,i,1
58843.11539,21.9477,inf,True,i,0
58848.1465,21.9477,inf,True,i,0
58856.13205,21.6917,0.756,False,i,1
58862.20205,21.9477,inf,True,i,0
58869.13432,21.7027,0.418,False,i,1
58881.03777,21.9477,inf,True,i,0
58893.03264,21.9477,inf,True,i,0
58906.02367,21.9477,inf,True,i,0
58911.0165,21.9477,inf,True,i,0
58916.00829,21.9477,inf,True,i,0
