mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
58135.582427,20.4989,,True,cyan,AB,0,cyan,5182.42
58139.564154,20.6209,,True,orange,AB,0,orange,6629.82
58157.597394,20.0685,,True,orange,AB,0,orange,6629.82
58161.570995,20.0136,,True,orange,AB,0,orange,6629.82
58167.515544,19.8891,,True,cyan,AB,0,cyan,5182.42
58171.485386,20.4,,True,cyan,AB,0,cyan,5182.42
58183.443048,19.5731,,True,orange,AB,0,orange,6629.82
58185.439753,19.6577,,True,orange,AB,0,orange,6629.82
58195.243667,19.6725,0.0784,False,w,AB,1,w,
58195.255629,19.6463,0.0593,False,w,AB,1,w,
58195.267441,19.626,0.0641,False,w,AB,1,w,
58195.279235,19.6299,0.0766,False,w,AB,1,w,
58202.273437,19.5364,0.0866,False,g,AB,1,g,4639.27
58207.257812,19.6737,0.155,False,g,AB,1,g,4639.27
58207.416409,18.5129,,True,orange,AB,0,orange,6629.82
58210.230468,19.7557,0.213,False,g,AB,1,g,4639.27
58210.257812,19.6094,,True,g,AB,0,g,4639.27
58214.194097,17.82,,True,r,AB,0,r,6141.12
58217.199218,19.8207,0.188,False,r,AB,1,r,6141.12
58217.21875,19.803,0.0835,False,r,AB,1,r,6141.12
58221.207031,19.2012,0.2052,False,r,AB,1,r,6141.12
58221.383993,19.2201,0.178,False,orange,AB,1,orange,6629.82
58221.388292,19.3679,0.2118,False,orange,AB,1,orange,6629.82
58227.164062,18.1599,0.0783,False,r,AB,1,r,6141.12
58227.382586,17.4488,0.3598,False,cyan,AB,1,cyan,5182.42
58234.207031,17.4915,0.0395,False,g,AB,1,g,4639.27
58234.230468,17.5664,0.042,False,g,AB,1,g,4639.27
58237.207031,17.3538,0.0389,False,g,AB,1,g,4639.27
58241.07,17.3803,,True,g,AB,0,g,4639.27
58243.293671,17.4385,0.0369,False,orange,AB,1,orange,6629.82
58245.15625,17.395,0.064,False,r,AB,1,r,6141.12
58245.210937,17.2102,0.0345,False,g,AB,1,g,4639.27
58246.414062,17.2329,0.0239,False,g,AB,1,g,4639.27
58246.417968,17.2302,0.0306,False,g,AB,1,g,4639.27
58246.417968,17.4345,0.0758,False,r,AB,1,r,6141.12
58246.421875,17.4076,,True,i,AB,0,i,7457.89
58246.421875,17.6725,0.1851,False,r,AB,1,r,6141.12
58246.425781,16.8804,,True,i,AB,0,i,7457.89
58248.164062,17.4665,0.0825,False,r,AB,1,r,6141.12
58248.171875,17.2699,0.0378,False,g,AB,1,g,4639.27
58249.71875,17.2485,0.0373,False,g,AB,1,g,4639.27
58249.722656,17.2352,0.0453,False,g,AB,1,g,4639.27
58249.726562,17.4244,0.0796,False,r,AB,1,r,6141.12
58249.726562,17.4378,0.0721,False,r,AB,1,r,6141.12
58249.730468,17.4963,0.0738,False,i,AB,1,i,7457.89
58249.730468,17.5497,0.0649,False,i,AB,1,i,7457.89
58250.429687,17.2479,0.0445,False,g,AB,1,g,4639.27
58250.429687,17.3598,0.0587,False,g,AB,1,g,4639.27
58250.433593,17.4828,0.0841,False,r,AB,1,r,6141.12
58250.433593,17.4924,0.1724,False,r,AB,1,r,6141.12
58250.4375,17.4544,0.1293,False,i,AB,1,i,7457.89
58250.4375,17.5583,0.3179,False,i,AB,1,i,7457.89
58251.331067,17.3848,0.0219,False,cyan,AB,1,cyan,5182.42
58251.730468,17.2678,0.0432,False,g,AB,1,g,4639.27
58251.734375,17.2739,0.0448,False,g,AB,1,g,4639.27
58251.734375,17.4587,0.0527,False,r,AB,1,r,6141.12
58251.738281,17.4651,0.0541,False,r,AB,1,r,6141.12
58251.738281,17.513,0.0543,False,i,AB,1,i,7457.89
58251.742187,17.4921,0.0635,False,i,AB,1,i,7457.89
58252.297516,17.378,0.0167,False,cyan,AB,1,cyan,5182.42
58253.039062,17.4069,0.0311,False,g,AB,1,g,4639.27
58253.042968,17.4109,0.0306,False,g,AB,1,g,4639.27
58253.042968,17.4754,0.0641,False,r,AB,1,r,6141.12
58253.046875,17.4787,0.0752,False,r,AB,1,r,6141.12
58253.046875,17.5453,0.0614,False,i,AB,1,i,7457.89
58253.050781,17.505,0.06,False,i,AB,1,i,7457.89
58253.254851,17.4721,0.029,False,orange,AB,1,orange,6629.82
58255.007812,17.4098,0.0352,False,g,AB,1,g,4639.27
58255.011718,17.4081,0.0322,False,g,AB,1,g,4639.27
58255.011718,17.5073,0.0661,False,r,AB,1,r,6141.12
58255.015625,17.4824,0.081,False,r,AB,1,r,6141.12
