mjd,mag,mag_err,UL,filter,System,detected
58132.635849,20.1543,,True,orange,AB,0
58134.604738,20.0113,,True,orange,AB,0
58138.595105,19.9037,,True,orange,AB,0
58142.592847,19.2742,,True,orange,AB,0
58144.601445,20.007,,True,orange,AB,0
58148.557345,19.506,,True,orange,AB,0
58150.539908,19.2628,,True,orange,AB,0
58152.581275,20.0265,,True,orange,AB,0
58154.557083,19.1577,,True,orange,AB,0
58156.580852,20.1017,,True,orange,AB,0
58162.553291,20.456,,True,orange,AB,0
58182.3328,19.8869,,True,r,AB,0
58182.3701,19.3869,,True,r,AB,0
58183.3881,16.8669,,True,r,AB,0
58183.4162,17.5669,,True,r,AB,0
58184.3957,20.1669,,True,r,AB,0
58184.4331,16.0769,,True,r,AB,0
58186.4147,20.4569,,True,r,AB,0
58194.427942,20.6269,,True,cyan,AB,0
58205.2699,19.9269,,True,g,AB,0
58206.2653,19.6469,,True,g,AB,0
58206.2869,19.6969,,True,g,AB,0
58206.440668,19.3146,,True,orange,AB,0
58208.2875,18.5769,,True,g,AB,0
58208.367616,18.7325,,True,orange,AB,0
58214.2058,19.1369,,True,r,AB,0
58214.440205,19.7538,,True,orange,AB,0
58215.2331,19.3269,,True,r,AB,0
58215.2532,18.7269,,True,g,AB,0
58216.2323,20.7669,,True,r,AB,0
58216.2571,21.0369,,True,g,AB,0
58217.2485,20.9369,,True,r,AB,0
58217.2522,20.3869,,True,r,AB,0
58218.2099,20.7769,,True,r,AB,0
58218.2318,20.5369,,True,r,AB,0
58218.2685,20.5169,,True,r,AB,0
58219.2288,20.0069,,True,r,AB,0
58219.249,20.0369,,True,r,AB,0
58219.2546,20.2369,,True,r,AB,0
58220.425464,20.1982,,True,orange,AB,0
58221.2122,19.6569,,True,r,AB,0
58221.2317,19.9369,,True,r,AB,0
58221.2727,19.6869,,True,r,AB,0
58222.487985,19.9233,,True,orange,AB,0
58224.2031,19.5869,,True,r,AB,0
58224.212,19.2369,,True,r,AB,0
58226.2622,20.4269,,True,r,AB,0
58228.0,16.4992,,True,W2,Vega,0
58228.0,17.9988,,True,W1,Vega,0
58229.1949,20.6669,,True,r,AB,0
58230.3293,19.5769,,True,g,AB,0
58231.1801,20.2069,,True,r,AB,0
58231.2673,20.1169,,True,r,AB,0
58232.1621,19.6069,,True,g,AB,0
58232.2014,18.2569,,True,r,AB,0
58232.405909,19.7753,,True,orange,AB,0
58233.2173,19.9169,,True,g,AB,0
58234.1823,19.8069,,True,g,AB,0
58234.2389,18.7969,,True,g,AB,0
58234.378645,18.6349,,True,orange,AB,0
58235.1842,19.8769,,True,g,AB,0
58235.2158,19.8769,,True,g,AB,0
58236.1646,19.7469,,True,g,AB,0
58236.2262,19.4669,,True,g,AB,0
58237.2184,19.6469,,True,g,AB,0
58238.1569,19.5669,,True,g,AB,0
58242.2876,20.3669,,True,r,AB,0
58243.185,19.4969,0.06,False,r,AB,1
58243.1993,19.1969,0.05,False,g,AB,1
58244.1841,18.7669,0.03,False,r,AB,1
58244.1987,18.3469,0.02,False,g,AB,1
