mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
58158.65064,18.6118,,True,orange,AB,0,orange,6629.82
58167.659268,17.8167,,True,orange,AB,0,orange,6629.82
58183.572787,18.4085,,True,orange,AB,0,orange,6629.82
58193.576387,19.1076,,True,cyan,AB,0,cyan,5182.42
58197.559685,18.694,,True,cyan,AB,0,cyan,5182.42
58207.463572,18.3125,0.2706,False,orange,AB,1,orange,6629.82
58219.527621,17.8528,0.1114,False,orange,AB,1,orange,6629.82
58223.507568,17.7811,0.1896,False,orange,AB,1,orange,6629.82
58228.0,17.4846,0.05,False,v,AB,1,v,3878.68
58228.0,18.0537,0.13,False,u,AB,1,u,3500.22
58228.0,16.7541,0.14,False,r,AB,1,r,6141.12
58229.0,17.3938,0.32,False,g,AB,1,g,4671.78
58229.510342,17.4873,0.1473,False,orange,AB,1,orange,6629.82
58233.497717,17.348,0.0734,False,orange,AB,1,orange,6629.82
58245.471385,17.1358,0.0773,False,orange,AB,1,orange,6629.82
58247.466352,16.7802,0.1283,False,orange,AB,1,orange,6629.82
58251.456816,16.8151,0.0696,False,orange,AB,1,orange,6629.82
58255.451832,16.1049,0.0452,False,orange,AB,1,orange,6629.82
58257.0,15.2046,0.03,False,v,AB,1,v,3878.68
58257.0,15.3637,0.03,False,u,AB,1,u,3500.22
58257.0,15.4438,0.05,False,g,AB,1,g,4671.78
58257.0,15.5041,0.05,False,r,AB,1,r,6141.12
58257.0,15.5545,0.05,False,i,AB,1,i,7457.89
58257.0,15.6785,0.06,False,z,AB,1,z,9120.25
58257.456024,16.4895,0.0362,False,cyan,AB,1,cyan,5182.42
58259.452636,15.5762,0.0189,False,orange,AB,1,orange,6629.82
58261.431023,15.2922,0.0204,False,orange,AB,1,orange,6629.82
58261.8,14.6528,0.01,False,U,Vega,1,U,3535.965
58261.8,15.0831,0.05,False,g,AB,1,g,4671.78
58261.8,15.1002,0.01,False,B,Vega,1,B,4357.405
58261.8,15.1534,0.01,False,i,AB,1,i,7457.89
58261.8,15.1634,0.02,False,V,Vega,1,V,5439.51
58261.8,15.2147,0.01,False,r,AB,1,r,6141.12
58263.438353,15.176,0.0211,False,orange,AB,1,orange,6629.82
58263.8,14.3228,0.03,False,U,Vega,1,U,3535.965
58263.8,14.8702,0.02,False,B,Vega,1,B,4357.405
58263.8,14.8931,0.04,False,g,AB,1,g,4671.78
58263.8,15.0734,0.03,False,V,Vega,1,V,5439.51
58264.0,14.9834,0.02,False,i,AB,1,i,7457.89
58264.0,15.0347,0.02,False,r,AB,1,r,6141.12
58264.6,14.3628,0.01,False,U,Vega,1,U,3535.965
58264.6,14.9302,0.01,False,B,Vega,1,B,4357.405
58264.6,14.9434,0.02,False,V,Vega,1,V,5439.51
58266.8,14.9131,0.05,False,g,AB,1,g,4671.78
58266.9,15.1047,0.04,False,r,AB,1,r,6141.12
58269.8,15.1302,0.04,False,B,AB,1,B,4357.405
58269.8,14.9734,0.06,False,V,AB,1,V,5439.51
58269.8,14.9728,0.04,False,U,AB,1,U,3535.965
58269.8,15.7474,0.05,False,UVW2,AB,1,UVW2,2083.95
58269.8,15.2367,0.05,False,UVM2,AB,1,UVM2,2245.03
58269.8,15.1721,0.05,False,UVW1,AB,1,UVW1,2681.67
58270.1,14.0923,0.15,False,K,AB,1,K,21550.23
58270.1,14.1517,0.12,False,H,AB,1,H,16329.48
58270.1,14.4641,0.11,False,J,AB,1,J,12245.68
58270.5,15.0231,0.02,False,g,AB,1,g,4671.78
58270.5,15.0747,0.01,False,r,AB,1,r,6141.12
58270.6,14.7728,0.05,False,U,Vega,1,U,3535.965
58270.6,14.9934,0.01,False,i,AB,1,i,7457.89
58270.6,15.1502,0.01,False,B,Vega,1,B,4357.405
58270.6,15.2534,0.03,False,V,Vega,1,V,5439.51
58271.2,14.0123,0.14,False,K,AB,1,K,21550.23
58271.2,14.1417,0.11,False,H,AB,1,H,16329.48
58271.2,14.4141,0.11,False,J,AB,1,J,12245.68
58271.497537,15.2021,0.0167,False,orange,AB,1,orange,6629.82
58272.3,13.9823,0.14,False,K,AB,1,K,21550.23
58272.3,14.1517,0.11,False,H,AB,1,H,16329.48
58272.3,14.4141,0.11,False,J,AB,1,J,12245.68
58273.2,14.0223,0.14,False,K,AB,1,K,21550.23
58273.2,14.1617,0.11,False,H,AB,1,H,16329.48
58273.2,14.4441,0.11,False,J,AB,1,J,12245.68
58273.421523,15.2477,0.0109,False,orange,AB,1,orange,6629.82
58273.5,14.8328,0.01,False,U,Vega,1,U,3535.965
58273.5,15.2402,0.01,False,B,Vega,1,B,4357.405
58273.5,14.9934,0.01,False,i,AB,1,i,7457.89
58273.5,15.2031,0.01,False,g,AB,1,g,4671.78
58273.5,15.2434,0.01,False,V,Vega,1,V,5439.51
58273.8,15.1547,0.01,False,r,AB,1,r,6141.12
58274.2,13.9223,0.14,False,K,AB,1,K,21550.23
58274.2,14.1017,0.11,False,H,AB,1,H,16329.48
58274.2,14.4141,0.11,False,J,AB,1,J,12245.68
58274.5,15.3402,0.01,False,B,Vega,1,B,4357.405
58274.5,14.8428,0.02,False,U,Vega,1,U,3535.965
58274.5,15.3234,0.01,False,V,Vega,1,V,5439.51
58275.2,13.9723,0.15,False,K,AB,1,K,21550.23
58275.2,14.1617,0.12,False,H,AB,1,H,16329.48
58275.2,14.4641,0.11,False,J,AB,1,J,12245.68
58275.3,15.3231,0.01,False,g,AB,1,g,4671.78
58275.3,15.3402,0.01,False,B,Vega,1,B,4357.405
58275.3,15.0028,0.03,False,U,Vega,1,U,3535.965
58275.3,15.0934,0.01,False,i,AB,1,i,7457.89
58275.3,15.2447,0.01,False,r,AB,1,r,6141.12
58275.3,15.3934,0.01,False,V,Vega,1,V,5439.51
58275.412773,15.363,0.0134,False,orange,AB,1,orange,6629.82
58276.2,14.0223,0.15,False,K,AB,1,K,21550.23
58276.2,14.1817,0.12,False,H,AB,1,H,16329.48
58276.2,14.4941,0.11,False,J,AB,1,J,12245.68
58276.2,15.1234,0.06,False,V,AB,1,V,5439.51
58276.2,15.1402,0.04,False,B,AB,1,B,4357.405
58276.2,15.1728,0.04,False,U,AB,1,U,3535.965
58276.2,15.2821,0.05,False,UVW1,AB,1,UVW1,2681.67
58276.2,15.3767,0.05,False,UVM2,AB,1,UVM2,2245.03
58276.2,15.7674,0.05,False,UVW2,AB,1,UVW2,2083.95
58279.413175,15.5532,0.0181,False,orange,AB,1,orange,6629.82
58280.281883,15.6467,0.0421,False,orange,AB,1,orange,6629.82
58281.412552,16.5698,0.0281,False,cyan,AB,1,cyan,5182.42
58283.438675,15.6715,0.01,False,orange,AB,1,orange,6629.82
58285.405083,16.7809,0.0279,False,cyan,AB,1,cyan,5182.42
58287.392046,15.8148,0.0245,False,orange,AB,1,orange,6629.82
58291.392064,15.8615,0.0167,False,orange,AB,1,orange,6629.82
58299.439679,15.9698,0.034,False,orange,AB,1,orange,6629.82
58309.361197,18.2087,0.1208,False,cyan,AB,1,cyan,5182.42
58311.358359,16.2431,0.0216,False,orange,AB,1,orange,6629.82
58315.348573,16.3112,0.0238,False,orange,AB,1,orange,6629.82
58319.332256,16.2631,0.1281,False,orange,AB,1,orange,6629.82
58321.31963,16.2877,0.0405,False,orange,AB,1,orange,6629.82
58329.36142,16.1719,0.1019,False,orange,AB,1,orange,6629.82
58333.348816,18.3708,,True,cyan,AB,0,cyan,5182.42
58336.6,14.0502,0.08,False,W2,Vega,1,W2,46028.0
58336.6,14.3391,0.05,False,W1,Vega,1,W1,33526.0
58337.313158,19.2641,,True,cyan,AB,0,cyan,5182.42
58341.301606,19.4203,,True,cyan,AB,0,cyan,5182.42
58347.281,16.4593,0.1298,False,orange,AB,1,orange,6629.82
58351.308315,16.5447,0.0599,False,orange,AB,1,orange,6629.82
58361.246003,16.6007,0.0578,False,orange,AB,1,orange,6629.82
58363.246374,16.5057,0.0665,False,orange,AB,1,orange,6629.82
58367.244628,16.6912,0.0628,False,orange,AB,1,orange,6629.82
58369.251821,16.698,0.0451,False,orange,AB,1,orange,6629.82
58371.24208,16.8867,0.0483,False,orange,AB,1,orange,6629.82
58377.243755,17.212,0.071,False,orange,AB,1,orange,6629.82
58539.3,14.1002,0.08,False,W2,Vega,1,W2,46028.0
58539.3,15.3991,0.11,False,W1,Vega,1,W1,33526.0
58559.604482,19.1538,,True,orange,AB,0,orange,6629.82
58569.574936,19.3895,,True,orange,AB,0,orange,6629.82
58571.622068,19.1169,,True,orange,AB,0,orange,6629.82
58575.602867,19.3293,,True,orange,AB,0,orange,6629.82
58577.579409,19.3855,,True,cyan,AB,0,cyan,5182.42
58579.559596,19.1259,,True,orange,AB,0,orange,6629.82
58581.592475,19.4878,,True,cyan,AB,0,cyan,5182.42
58583.58919,19.1167,,True,orange,AB,0,orange,6629.82
58589.516483,18.9752,,True,orange,AB,0,orange,6629.82
58599.525272,19.0797,,True,orange,AB,0,orange,6629.82
58605.541448,18.9883,,True,cyan,AB,0,cyan,5182.42
58609.478268,19.3544,,True,cyan,AB,0,cyan,5182.42
58702.1,15.6802,,True,W2,Vega,0,W2,46028.0
58702.1,16.6691,,True,W1,Vega,0,W1,33526.0
58904.9,15.7802,,True,W2,Vega,0,W2,46028.0
58904.9,16.5691,,True,W1,Vega,0,W1,33526.0
59067.9,15.6802,,True,W2,Vega,0,W2,46028.0
59067.9,16.6691,,True,W1,Vega,0,W1,33526.0
