mjd,mag,mag_err,UL,filter,System,detected
58255.421875,18.8976,,True,g,AB,0
58259.429687,19.2393,,True,g,AB,0
58259.464843,20.9659,0.202,False,r,AB,1
58259.464843,21.0496,0.1913,False,r,AB,1
58262.46875,19.2116,0.073,False,g,AB,1
58266.378906,19.1574,0.3393,False,r,AB,1
58266.575979,19.1114,0.2193,False,orange,AB,1
58267.464843,18.743,0.0557,False,g,AB,1
58269.433593,18.8999,0.0653,False,r,AB,1
58269.464843,18.4643,0.0442,False,g,AB,1
58270.421875,18.6479,0.0793,False,r,AB,1
58270.476562,18.4601,0.0845,False,g,AB,1
58272.421875,18.4804,0.0589,False,g,AB,1
58273.480468,18.296,0.0442,False,g,AB,1
58273.480468,18.3619,0.0547,False,g,AB,1
58275.421875,18.5546,0.0856,False,r,AB,1
58275.464843,18.1399,0.0344,False,g,AB,1
58275.46875,18.2128,0.0389,False,g,AB,1
58276.402343,18.2829,0.043,False,g,AB,1
58276.445312,18.4442,0.0429,False,r,AB,1
58277.421875,18.5323,0.1352,False,r,AB,1
58277.445312,18.2114,0.0521,False,g,AB,1
58278.421875,18.2479,0.0565,False,g,AB,1
58278.425781,18.224,0.0492,False,g,AB,1
58279.421875,18.3461,0.0663,False,r,AB,1
58279.421875,18.3768,0.05,False,r,AB,1
58279.460937,18.1607,0.0405,False,g,AB,1
58281.421875,18.2098,0.107,False,g,AB,1
58282.433593,18.2589,0.0311,False,g,AB,1
58282.4375,18.1877,0.0388,False,g,AB,1
58282.464843,18.3386,0.06,False,r,AB,1
58283.480468,18.4251,0.058,False,r,AB,1
58285.402343,18.3117,0.0568,False,r,AB,1
58285.441406,18.1796,0.112,False,g,AB,1
58287.421875,18.1883,0.048,False,g,AB,1
58287.464843,18.4183,0.0522,False,r,AB,1
58288.421875,18.273,0.0447,False,g,AB,1
58290.441406,18.3115,0.0376,False,g,AB,1
58291.441406,18.2658,0.0512,False,g,AB,1
58291.464843,18.5224,0.0893,False,r,AB,1
58293.441406,18.4217,0.148,False,g,AB,1
58294.608257,18.6136,0.1462,False,orange,AB,1
58295.445312,18.3395,0.0555,False,g,AB,1
58296.355468,18.532,0.0496,False,r,AB,1
58297.601295,18.5468,0.1917,False,orange,AB,1
58298.505,18.4652,0.131,False,orange,AB,1
58298.517229,18.458,0.1064,False,orange,AB,1
58300.441406,18.7433,0.1533,False,g,AB,1
58300.484375,18.5886,0.0631,False,g,AB,1
58300.609737,18.4374,0.1759,False,orange,AB,1
58301.460937,18.9538,0.0723,False,g,AB,1
58304.441406,18.9695,0.0382,False,g,AB,1
58305.480468,19.2246,0.155,False,g,AB,1
58310.417968,19.2235,0.0968,False,r,AB,1
58310.4375,19.2697,0.1911,False,r,AB,1
58311.62135,19.266,0.2231,False,cyan,AB,1
58312.612564,19.3593,0.2827,False,orange,AB,1
58316.457031,19.7216,0.1726,False,r,AB,1
58316.598679,19.8727,0.34,False,orange,AB,1
58319.6003,19.9746,0.3575,False,orange,AB,1
58321.592693,19.3344,,True,orange,AB,0
58322.596029,19.619,,True,orange,AB,0
58324.54134,19.3513,,True,orange,AB,0
58325.578175,19.1337,,True,orange,AB,0
58331.476562,20.2104,0.1183,False,r,AB,1
58331.480468,20.5002,0.1394,False,i,AB,1
58333.564101,19.7146,,True,orange,AB,0
58335.394531,20.6456,0.2555,False,r,AB,1
58335.394531,20.7835,0.1639,False,r,AB,1
58335.585679,19.8013,,True,cyan,AB,0
58336.332031,21.4111,0.2422,False,g,AB,1
58336.332031,21.6253,0.3217,False,g,AB,1
58336.332031,21.7423,0.4023,False,g,AB,1
58336.390625,20.8254,0.1226,False,r,AB,1
58336.394531,20.6138,,True,r,AB,0
58337.378906,22.4044,0.3585,False,g,AB,1
58337.573248,19.7096,,True,orange,AB,0
58338.570445,19.8414,,True,cyan,AB,0
58341.54196,19.62,,True,orange,AB,0
58342.561116,20.2036,,True,cyan,AB,0
58343.564715,20.2795,,True,cyan,AB,0
58348.520642,19.6816,,True,orange,AB,0
58351.52472,19.8817,,True,orange,AB,0
58361.501329,19.8401,,True,orange,AB,0
58364.505134,19.8954,,True,orange,AB,0
58365.487363,19.7031,,True,orange,AB,0
58367.493672,20.0108,,True,orange,AB,0
58369.429687,21.5032,,True,g,AB,0
58369.433593,21.6629,,True,r,AB,0
58369.437,21.0141,,True,i,AB,0
58369.484968,19.7661,,True,orange,AB,0
58371.324218,22.5686,,True,g,AB,0
58371.32812,22.282,,True,r,AB,0
58371.332031,21.5332,,True,i,AB,0
58371.476843,19.9813,,True,orange,AB,0
58373.425781,22.1397,,True,g,AB,0
58373.433593,21.3921,,True,i,AB,0
58374.37,22.3134,,True,r,AB,0
58374.371093,22.0597,,True,g,AB,0
58374.378906,21.2575,,True,i,AB,0
58375.496163,19.4374,,True,cyan,AB,0
58376.456264,19.8573,,True,orange,AB,0
58378.417968,21.6532,,True,g,AB,0
58378.42187,21.9148,,True,r,AB,0
58378.425781,20.9733,,True,i,AB,0
58378.459079,19.9428,,True,orange,AB,0
58379.46125,19.9813,,True,orange,AB,0
58389.427875,19.7263,,True,orange,AB,0
58390.367187,21.4577,,True,r,AB,0
58390.371093,21.0562,,True,i,AB,0
58390.432196,19.8969,,True,orange,AB,0
58391.415418,19.9664,,True,orange,AB,0
58392.43697,19.8558,,True,orange,AB,0
58394.4218,19.9886,,True,orange,AB,0
58395.44983,19.8273,,True,cyan,AB,0
