mjd,mag,mag_err,UL,filter,System,detected
58305.4,19.84,,True,r,AB,0
58305.44,21.12,,True,g,AB,0
58315.581485,20.3596,,True,cyan,AB,0
58316.32199,21.094,,True,G,AB,0
58319.560698,19.8726,,True,orange,AB,0
58321.567693,19.5584,,True,orange,AB,0
58323.42,21.15,,True,g,AB,0
58326.45,20.14,,True,g,AB,0
58329.4,20.39,,True,g,AB,0
58332.45,20.69,,True,g,AB,0
58335.539908,20.1324,,True,cyan,AB,0
58337.37,20.17,0.18,False,g,AB,1
58337.530611,19.4321,,True,orange,AB,0
58338.38,19.62,0.06,False,g,AB,1
58338.38,19.75,0.07,False,g,AB,1
58340.35,18.99,0.08,False,g,AB,1
58340.35,19.01,0.15,False,g,AB,1
58341.501473,19.1615,0.207,False,orange,AB,1
58342.4,18.71,0.04,False,g,AB,1
58343.39,18.51,0.04,False,g,AB,1
58343.39,18.62,0.05,False,g,AB,1
58343.504845,19.1724,0.1459,False,cyan,AB,1
58344.36,18.4,0.04,False,g,AB,1
58344.36,18.44,0.03,False,g,AB,1
58346.32,18.23,0.04,False,g,AB,1
58347.35,18.09,0.03,False,g,AB,1
58349.37,18.02,0.03,False,g,AB,1
58350.34,17.93,0.03,False,g,AB,1
58351.492465,18.2392,0.0896,False,orange,AB,1
58352.36,17.87,0.03,False,g,AB,1
58355.398437,17.7856,0.0885,False,g,AB,1
58355.402343,17.894,0.0768,False,g,AB,1
58355.40625,18.1153,0.1002,False,r,AB,1
58355.40625,18.1316,0.1037,False,r,AB,1
58355.410156,18.2321,0.0958,False,i,AB,1
58355.410156,18.4301,0.1222,False,i,AB,1
58357.24,17.85,0.05,False,g,AB,1
58357.24,18.01,0.04,False,r,AB,1
58357.24,18.18,0.03,False,i,AB,1
58358.07,20.02,,True,UVM2,AB,0
58358.53,17.74,0.13,False,B,AB,1
58358.53,18.03,0.12,False,U,AB,1
58358.53,19.01,0.15,False,UVW1,AB,1
58358.53,19.81,0.23,False,UVW2,AB,1
58361.01,17.91,0.05,False,g,AB,1
58361.01,18.06,0.07,False,r,AB,1
58361.01,18.26,0.05,False,i,AB,1
58361.22,17.94,0.09,False,g,AB,1
58361.453672,18.106,0.0672,False,orange,AB,1
58362.25,17.94,0.03,False,g,AB,1
58362.355468,17.9716,0.0589,False,g,AB,1
58362.359375,17.945,0.0528,False,g,AB,1
58362.359375,18.1401,0.0794,False,r,AB,1
58362.363281,18.0837,0.0687,False,r,AB,1
58362.363281,18.1892,0.0643,False,i,AB,1
58362.367187,18.2084,0.0602,False,i,AB,1
58362.74,18.25,0.32,False,V,AB,1
58362.74,18.16,0.12,False,U,AB,1
58362.74,20.06,0.26,False,UVW2,AB,1
58362.74,19.75,0.23,False,UVW1,AB,1
58362.74,17.82,0.13,False,B,AB,1
58362.75,20.72,,True,UVM2,AB,0
58363.685279,18.134,0.0259,False,G,AB,1
58363.759279,18.094,0.0255,False,G,AB,1
58364.00944,18.154,0.0261,False,G,AB,1
58364.25,18.03,0.04,False,g,AB,1
58365.448938,18.3592,0.1031,False,orange,AB,1
58366.03,18.2,0.06,False,r,AB,1
58366.03,18.35,0.05,False,i,AB,1
58366.03,18.16,0.04,False,g,AB,1
58366.335937,18.1698,0.0825,False,g,AB,1
58366.335937,18.177,0.0861,False,g,AB,1
58366.339843,18.259,0.0998,False,r,AB,1
58366.339843,18.3171,0.103,False,r,AB,1
58366.34375,18.2872,0.1168,False,i,AB,1
58366.34375,18.3506,0.1078,False,i,AB,1
58367.242187,18.1952,0.0567,False,g,AB,1
58367.246093,18.2545,0.0792,False,r,AB,1
58367.28,18.25,0.04,False,g,AB,1
58367.434807,18.2373,0.0849,False,orange,AB,1
58368.26,18.23,0.03,False,g,AB,1
58368.28125,18.2847,0.0531,False,g,AB,1
58368.285156,18.2841,0.064,False,r,AB,1
58368.292968,18.3117,0.0586,False,g,AB,1
58368.296875,18.3046,0.071,False,r,AB,1
58369.428587,18.3202,0.109,False,orange,AB,1
58370.01279,18.394,0.0287,False,G,AB,1
58370.188949,18.444,0.0293,False,G,AB,1
58370.25,18.4,0.04,False,g,AB,1
58370.262949,18.414,0.0289,False,G,AB,1
58370.91,18.42,0.06,False,r,AB,1
58370.91,18.49,0.05,False,i,AB,1
58370.91,18.51,0.04,False,g,AB,1
58371.257812,18.4901,0.0456,False,g,AB,1
58371.261718,18.407,0.0756,False,r,AB,1
58371.269531,18.5636,0.0533,False,g,AB,1
58371.27,18.52,0.03,False,g,AB,1
58371.273437,18.4361,0.0659,False,r,AB,1
58371.437536,18.3875,0.0969,False,orange,AB,1
58373.26,18.72,0.05,False,g,AB,1
58373.390625,18.7324,0.0513,False,g,AB,1
58373.394531,18.5344,0.0652,False,r,AB,1
58373.412696,18.7349,0.2626,False,orange,AB,1
58374.25,18.8,0.03,False,g,AB,1
58374.3125,18.8263,0.0478,False,g,AB,1
58374.316406,18.5937,0.0711,False,r,AB,1
58374.320312,18.5887,0.0447,False,i,AB,1
58374.347656,18.8279,0.0473,False,g,AB,1
58374.351562,18.5646,0.0641,False,r,AB,1
58374.355468,18.5649,0.035,False,i,AB,1
58375.351562,18.9116,0.0486,False,g,AB,1
58375.355468,18.6255,0.0526,False,r,AB,1
58375.359375,18.6062,0.066,False,i,AB,1
58376.29,19.02,0.06,False,g,AB,1
58377.26,19.02,0.04,False,g,AB,1
58377.417397,18.6862,0.1384,False,orange,AB,1
58378.27,18.83,0.06,False,r,AB,1
58379.29,20.52,,True,r,AB,0
58379.33,19.31,0.1,False,g,AB,1
58379.419066,18.6539,0.1361,False,orange,AB,1
58380.19,19.06,0.11,False,g,AB,1
58380.19,19.16,0.14,False,g,AB,1
58380.19,19.39,0.14,False,g,AB,1
58380.19,19.47,0.17,False,g,AB,1
58380.19,19.48,0.14,False,g,AB,1
58380.19,19.56,0.18,False,g,AB,1
58380.19,19.59,0.13,False,g,AB,1
58380.19,19.61,0.17,False,g,AB,1
58380.2,19.12,0.1,False,g,AB,1
58380.2,19.27,0.06,False,g,AB,1
58380.2,19.32,0.07,False,g,AB,1
58380.22,19.05,0.11,False,r,AB,1
58380.22,19.07,0.12,False,r,AB,1
58380.34,19.43,0.08,False,g,AB,1
58381.93,18.85,0.06,False,i,AB,1
58381.93,18.9,0.08,False,r,AB,1
58381.93,19.39,0.09,False,g,AB,1
58382.24,19.42,0.13,False,g,AB,1
58383.23,19.55,0.17,False,g,AB,1
58383.265625,19.5755,0.052,False,g,AB,1
58383.269531,19.0666,0.0461,False,r,AB,1
58383.31,19.69,,True,r,AB,0
58383.417615,18.6587,0.1932,False,orange,AB,1
58384.300781,19.8,0.0516,False,g,AB,1
58384.304687,19.1117,0.058,False,r,AB,1
58385.15,19.64,0.23,False,g,AB,1
58385.222656,20.1222,0.268,False,g,AB,1
58385.406332,18.9601,0.2749,False,orange,AB,1
58385.88,18.88,0.11,False,i,AB,1
58385.88,19.08,0.14,False,r,AB,1
58385.88,19.56,0.19,False,g,AB,1
58386.18,20.47,,True,g,AB,0
58386.27,19.94,,True,r,AB,0
58386.28,19.4,,True,r,AB,0
58386.300781,19.4876,0.2097,False,g,AB,1
58386.300781,19.5091,0.2033,False,g,AB,1
58386.304687,19.0983,0.1573,False,r,AB,1
58386.304687,19.2671,0.1885,False,r,AB,1
58386.308593,18.9274,0.1089,False,i,AB,1
58386.308593,18.9622,0.1155,False,i,AB,1
58387.355468,19.251,0.0555,False,r,AB,1
58388.13,20.24,0.18,False,g,AB,1
58388.339843,19.3827,0.0491,False,r,AB,1
58388.34375,19.1307,0.0468,False,i,AB,1
58389.15,20.26,0.12,False,g,AB,1
58389.23,20.47,,True,r,AB,0
58389.29,20.24,,True,r,AB,0
58389.393789,19.1107,0.2548,False,orange,AB,1
58389.91,20.15,0.09,False,g,AB,1
58389.92,19.23,0.07,False,i,AB,1
58389.92,19.37,0.08,False,r,AB,1
58390.34375,19.45,0.0607,False,r,AB,1
58390.347656,19.2289,0.0398,False,i,AB,1
58391.277343,19.4598,0.0699,False,r,AB,1
58391.28125,19.3649,0.0445,False,i,AB,1
