mjd,mag,mag_err,UL,filter,detected
58069.5,19.5082,0.1005,False,C,1
58069.5,19.735,0.1058,False,C,1
58069.5,19.8969,0.1044,False,C,1
58069.5,19.9228,0.1072,False,C,1
58099.5,19.5468,0.0931,False,C,1
58099.5,19.576,0.0931,False,C,1
58099.5,19.6126,0.0946,False,C,1
58099.5,19.6548,0.0959,False,C,1
58116.5,19.614,0.0943,False,C,1
58116.5,19.5892,0.093,False,C,1
58116.5,19.6914,0.096,False,C,1
58116.5,19.6863,0.0964,False,C,1
58127.504411,19.7488,0.1119,False,i,1
58127.515144,19.7015,0.1047,False,i,1
58127.525872,19.7349,0.0839,False,i,1
58127.536622,19.727,0.0863,False,i,1
58138.5,19.6592,0.0968,False,C,1
58138.5,19.7014,0.0981,False,C,1
58138.5,19.7612,0.0998,False,C,1
58138.5,19.7759,0.1004,False,C,1
58140.460937,20.0432,0.0911,False,g,1
58140.464843,19.7927,0.1228,False,r,1
58140.46875,19.7602,0.1308,False,r,1
58140.472656,19.8138,0.0792,False,i,1
58143.214843,20.0887,0.0672,False,g,1
58143.21875,19.77,0.0409,False,r,1
58143.21875,19.7765,0.0612,False,r,1
58143.222656,19.8265,0.0537,False,i,1
58144.289062,20.0691,0.1023,False,g,1
58144.292968,19.7572,0.0737,False,r,1
58144.300781,20.439,0.417,False,i,1
58145.5,19.6251,0.0984,False,C,1
58145.5,19.6724,0.1,False,C,1
58145.5,19.675,0.0986,False,C,1
58145.5,19.8801,0.1062,False,C,1
58146.351562,19.7478,0.0403,False,r,1
58146.355468,19.8539,0.0462,False,r,1
58146.359375,19.8483,0.0691,False,i,1
58148.351562,20.1283,0.0873,False,g,1
58151.414062,20.1392,0.1616,False,g,1
58151.421875,19.7838,0.0835,False,r,1
58151.425781,20.1446,0.1352,False,i,1
58152.398437,20.284,0.092,False,g,1
58152.402343,19.8127,0.0481,False,r,1
58152.40625,20.0055,0.076,False,i,1
58153.435288,20.0227,0.168,False,i,1
58153.459288,19.9375,0.1495,False,i,1
58153.471309,19.9326,0.1589,False,i,1
58157.433593,20.1424,0.0551,False,g,1
58157.4375,19.8518,0.0492,False,r,1
58157.441406,19.9341,0.0371,False,i,1
58158.398437,20.1431,0.0502,False,g,1
58158.40625,19.7964,0.0424,False,r,1
58158.410156,19.8338,0.0606,False,i,1
58158.5,19.7764,0.1019,False,C,1
58158.5,19.8124,0.1031,False,C,1
58158.5,19.9129,0.1068,False,C,1
58158.5,19.9439,0.1077,False,C,1
58159.433593,20.1468,0.0404,False,g,1
58159.4375,19.7676,0.0491,False,r,1
58159.445312,19.9466,0.0613,False,i,1
58161.4375,20.1501,0.1033,False,g,1
58161.441406,19.8429,0.0521,False,r,1
58161.449218,19.8714,0.1064,False,i,1
58171.414062,20.1938,0.0705,False,g,1
58171.417968,19.8193,0.056,False,r,1
58171.425781,20.1438,0.1046,False,i,1
58216.5,19.9945,0.1096,False,C,1
58216.5,19.9937,0.1097,False,C,1
58216.5,20.0457,0.1116,False,C,1
58216.5,19.9971,0.1098,False,C,1
58221.296875,20.4707,0.164,False,g,1
58223.304687,20.3854,0.0422,False,g,1
58223.3125,20.2414,0.0519,False,r,1
58223.320312,20.4211,0.0781,False,i,1
58228.269531,20.4484,0.0607,False,g,1
58228.277343,20.2047,0.0468,False,r,1
58228.28125,20.3569,0.0623,False,i,1
58241.175781,20.4773,0.0527,False,g,1
58241.179687,20.4936,0.0608,False,g,1
58241.183593,20.2988,0.0665,False,r,1
58241.1875,20.3166,0.071,False,r,1
58241.191406,20.4824,0.0974,False,i,1
58241.195312,20.587,0.1238,False,i,1
58244.5,20.1252,0.1191,False,C,1
58244.5,20.1282,0.1194,False,C,1
58244.5,20.2376,0.1246,False,C,1
58244.5,20.5108,0.1391,False,C,1
58248.171875,20.5126,0.0648,False,g,1
58248.175781,20.5374,0.0576,False,g,1
58248.179687,20.3738,0.0518,False,r,1
58248.183593,20.3346,0.0577,False,r,1
58248.1875,20.582,0.0512,False,i,1
58248.191406,20.5259,0.0725,False,i,1
58255.183593,20.584,0.0496,False,g,1
58255.1875,20.6252,0.0581,False,g,1
58255.191406,20.4631,0.0575,False,r,1
58255.195312,20.5245,0.0582,False,r,1
58255.199218,20.7155,0.1016,False,i,1
58255.199218,20.9182,0.2355,False,i,1
58256.179687,20.6378,0.0592,False,g,1
58256.183593,20.7079,0.0612,False,g,1
58256.1875,20.6548,0.062,False,g,1
58256.191406,20.4474,0.0527,False,r,1
58256.195312,20.5346,0.0462,False,r,1
58256.199218,20.5081,0.0629,False,r,1
58256.203125,20.7981,0.0976,False,i,1
58256.207031,20.6857,0.1145,False,i,1
58256.210937,20.5823,0.0913,False,i,1
58262.152343,20.676,0.0888,False,g,1
58262.15625,20.5767,0.0453,False,g,1
58262.160156,20.6704,0.0546,False,r,1
58262.164062,20.4801,0.0542,False,r,1
58262.167968,20.6362,0.1097,False,i,1
58262.167968,20.7165,0.0685,False,i,1
58263.15625,20.6262,0.0674,False,g,1
58263.160156,20.7422,0.0587,False,g,1
58263.164062,20.4917,0.0837,False,r,1
58263.167968,20.5124,0.0617,False,r,1
58263.171875,20.7346,0.0995,False,i,1
58263.175781,20.7887,0.1582,False,i,1
58265.160156,20.7537,0.1829,False,g,1
58265.164062,21.1322,0.1933,False,g,1
58265.167968,20.6563,0.1234,False,r,1
58265.171875,21.1424,0.1483,False,i,1
58265.175781,20.5653,0.102,False,i,1
58269.15625,20.8153,0.0899,False,g,1
58269.160156,21.1183,0.2029,False,g,1
58269.164062,20.4525,0.0926,False,r,1
58269.171875,20.4197,0.1196,False,i,1
58269.171875,20.7213,0.1787,False,i,1
58273.15625,20.8453,0.083,False,g,1
58273.160156,20.7735,0.0698,False,g,1
58273.164062,20.6599,0.0671,False,r,1
58273.167968,20.7937,0.0607,False,r,1
58273.171875,20.9043,0.1063,False,i,1
58273.175781,20.8477,0.1296,False,i,1
58279.148437,21.0148,0.1723,False,g,1
58279.152343,21.3197,0.1356,False,g,1
58279.15625,20.671,0.0663,False,r,1
58279.160156,20.6482,0.1271,False,r,1
58279.164062,21.0803,0.15,False,i,1
58279.167968,20.7038,0.1912,False,i,1
58389.5,21.77,0.3218,False,g,1
58389.507812,21.1527,0.1243,False,r,1
58389.515625,20.8694,0.2471,False,i,1
58390.496093,22.2252,0.3352,False,g,1
58390.503906,21.5339,0.2312,False,r,1
58390.511718,21.0807,0.2455,False,i,1
58419.5,21.7955,0.25,False,C,1
58419.5,20.7255,0.15,False,C,1
58419.5,20.883,0.1601,False,C,1
58443.503906,21.9693,0.1429,False,g,1
58443.507812,21.7459,0.1794,False,r,1
58443.515625,21.9243,0.2212,False,i,1
58468.5,21.4327,0.2245,False,C,1
58513.5,21.4118,0.2117,False,C,1
58522.246093,22.504,0.0699,False,g,1
58522.257812,22.1637,0.0525,False,r,1
58546.5,22.1084,0.3098,False,C,1
58570.5,21.9534,0.2916,False,C,1
58570.5,22.2259,0.3574,False,C,1
