mjd,mag,mag_err,UL,filter,detected
58299.581806,19.5318,,True,orange,0
58303.591065,19.5397,,True,orange,0
58307.594224,20.2032,,True,cyan,0
58310.33728,20.4223,,True,g,0
58311.588294,20.3113,,True,cyan,0
58313.373182,20.4774,,True,g,0
58313.540709,18.8488,,True,orange,0
58315.581975,20.2757,,True,cyan,0
58316.376886,20.4263,,True,g,0
58317.550348,19.1097,,True,orange,0
58319.379305,20.1145,,True,g,0
58319.552324,20.1143,,True,orange,0
58321.552144,20.0643,,True,orange,0
58322.425405,20.2734,,True,g,0
58323.548905,19.1183,,True,orange,0
58325.413541,19.0107,,True,g,0
58325.525928,18.9294,,True,orange,0
58327.505134,19.4497,,True,orange,0
58328.445196,17.6282,,True,g,0
58329.513224,18.5112,,True,orange,0
58331.450613,19.535,,True,g,0
58331.614212,18.4008,,True,cyan,0
58337.373981,19.4761,0.1519,False,g,1
58337.52407,19.376,0.2264,False,orange,1
58340.312256,19.4281,0.1683,False,r,1
58341.492898,19.2216,0.1355,False,orange,1
58343.33978,19.1915,0.1135,False,r,1
58346.310127,19.064,0.1325,False,r,1
58346.31721,18.9961,0.126,False,g,1
58347.46975,19.0455,0.1688,False,orange,1
58349.317824,18.8402,0.1121,False,r,1
58349.366724,18.6961,0.0851,False,g,1
58351.476059,18.7298,0.1248,False,orange,1
58352.272685,18.6883,0.132,False,r,1
58352.35934,18.489,0.1028,False,g,1
58355.275601,18.5092,0.1207,False,r,1
58361.22824,18.1731,0.1037,False,g,1
58361.251898,18.3071,0.0946,False,r,1
58361.4441,18.3382,0.0683,False,orange,1
58364.253379,18.1901,0.0779,False,g,1
58364.29625,18.2647,0.0559,False,r,1
58365.432153,18.372,0.0926,False,orange,1
58367.275046,18.084,0.0691,False,g,1
58367.322569,18.1979,0.0712,False,r,1
58367.437017,18.171,0.0675,False,orange,1
58369.431765,18.1829,0.0846,False,orange,1
58370.24912,18.1131,0.0675,False,g,1
58370.252361,18.1638,0.078,False,r,1
58371.422826,18.1902,0.0495,False,orange,1
58373.255011,18.1318,0.0674,False,g,1
58373.275706,18.1299,0.0586,False,r,1
58373.408927,18.1291,0.0791,False,orange,1
58376.189027,18.1159,0.0648,False,r,1
58376.230219,18.1807,0.072,False,g,1
58377.39925,18.2059,0.086,False,orange,1
58379.25074,18.1948,0.0679,False,r,1
58379.315648,18.2234,0.084,False,g,1
58379.403246,18.0797,0.0498,False,orange,1
58382.262407,18.3702,0.1473,False,g,1
58383.407528,18.3643,0.1775,False,orange,1
58385.147615,18.4602,0.125,False,g,1
58385.234733,18.2566,0.0948,False,r,1
58385.391911,18.4303,0.1395,False,orange,1
58387.339843,18.5148,0.0892,False,g,1
58387.34375,18.2947,0.0641,False,r,1
58387.347656,18.3086,0.0549,False,i,1
58388.12662,18.5287,0.0985,False,g,1
58388.227372,18.303,0.0794,False,r,1
58388.328125,18.5616,0.073,False,g,1
58388.332031,18.3243,0.0482,False,r,1
58388.335937,18.298,0.0422,False,i,1
58389.371847,18.2759,0.0944,False,orange,1
58391.265625,18.6686,0.0511,False,g,1
58391.269531,18.3765,0.0426,False,r,1
58391.273437,18.3499,0.0556,False,i,1
58391.378762,18.3656,0.1013,False,orange,1
58393.367525,18.243,0.0622,False,orange,1
58395.402001,19.2629,,True,cyan,0
58397.364386,18.5925,0.1084,False,orange,1
58400.144606,19.0723,0.1154,False,g,1
58400.185405,18.5851,0.09,False,r,1
58401.230468,19.1281,0.0543,False,g,1
58401.234375,18.6106,0.0462,False,r,1
58401.238281,18.4997,0.0463,False,i,1
58401.273437,19.1712,0.0538,False,g,1
58401.277343,18.6264,0.0508,False,r,1
58401.28125,18.4811,0.042,False,i,1
58402.203125,19.198,0.054,False,g,1
58402.207031,18.6699,0.0902,False,r,1
58402.210937,18.5856,0.1114,False,r,1
58403.380811,20.0237,,True,cyan,0
58406.257812,19.4018,0.0529,False,g,1
58406.261718,18.7845,0.0575,False,r,1
58406.265625,18.6098,0.0553,False,i,1
58407.33721,18.6553,0.14,False,orange,1
58409.334149,18.8768,0.1654,False,orange,1
58411.257812,19.609,0.0722,False,g,1
58411.261718,18.9631,0.0712,False,r,1
58411.265625,18.6696,0.0599,False,i,1
58413.317784,18.8014,0.1411,False,orange,1
58415.253906,19.8692,0.0946,False,g,1
58415.257812,19.1658,0.0811,False,r,1
58415.261718,18.8984,0.0544,False,i,1
58417.234375,20.283,0.2463,False,g,1
58417.238281,19.1999,0.0993,False,r,1
58417.242187,18.8912,0.0768,False,i,1
58417.26538,18.8683,0.1534,False,orange,1
58418.234375,19.522,,True,g,0
58418.238281,19.2045,0.0838,False,r,1
58418.242187,18.7519,0.0665,False,i,1
58423.122731,19.3849,0.1672,False,r,1
58423.298486,19.3113,0.2033,False,orange,1
58427.318609,20.1547,0.3496,False,cyan,1
58431.315207,20.12,0.3198,False,cyan,1
58433.225177,18.8111,,True,orange,0
58435.302761,19.5512,,True,cyan,0
58443.125,20.8548,0.2455,False,g,1
58443.128906,19.9222,0.0911,False,r,1
58443.132812,19.61,0.0953,False,i,1
58444.109375,19.9806,,True,g,0
58444.113281,20.0254,0.0535,False,r,1
58444.117187,19.5587,0.1203,False,i,1
58447.109375,21.3726,0.1808,False,g,1
58447.113281,20.0389,0.0698,False,r,1
58447.117187,19.8954,0.0778,False,i,1
58448.152343,20.6865,0.1814,False,g,1
58448.15625,20.0577,0.0745,False,r,1
58448.160156,19.9024,0.054,False,i,1
58449.121093,20.82,,True,g,0
58449.125,20.296,0.1056,False,r,1
58449.128906,19.8886,0.1009,False,i,1
58449.199808,19.0215,,True,orange,0
58450.109375,21.104,0.1092,False,g,1
58450.113281,20.3501,0.0573,False,r,1
58450.117187,19.9494,0.0641,False,i,1
58451.201432,19.9712,0.3133,False,orange,1
58455.250461,19.8818,,True,cyan,0
58457.058593,20.8773,0.1987,False,g,1
58457.0625,20.2955,0.1115,False,r,1
58457.066406,19.6663,0.1025,False,i,1
58457.066406,19.7589,0.1177,False,i,1
58459.250213,19.9754,,True,cyan,0
58460.058593,20.5599,,True,g,0
58460.0625,19.8854,0.096,False,i,1
58460.0625,20.7889,0.1925,False,r,1
58460.216388,19.412,,True,cyan,0
58461.0625,21.0257,,True,g,0
58461.066406,20.3871,0.1095,False,r,1
58461.070312,20.1126,0.0985,False,i,1
58461.225735,19.3925,,True,orange,0
58462.058593,21.2486,0.2985,False,g,1
58462.0625,20.2783,,True,r,0
58462.066406,19.61,0.1033,False,i,1
58465.058593,20.1969,,True,g,0
58465.0625,20.5557,0.1743,False,r,1
58465.066406,20.0847,0.1187,False,i,1
58465.247706,19.1406,,True,orange,0
58466.0625,20.4327,,True,g,0
58466.066406,20.4587,0.1306,False,r,1
58466.070312,20.3913,,True,i,0
58467.239376,19.1756,,True,orange,0
58471.058593,20.1478,,True,g,0
58471.0625,20.8941,0.2529,False,r,1
58471.066406,20.2718,0.1282,False,i,1
58476.0625,19.7355,,True,g,0
58476.066406,20.3989,,True,r,0
58476.070312,19.5993,,True,r,0
58477.0625,20.7436,,True,g,0
58477.066406,21.1904,0.1336,False,r,1
58477.070312,20.332,0.1588,False,i,1
58481.0625,19.5841,,True,g,0
58481.066406,20.8332,0.3401,False,r,1
58481.070312,20.3825,0.2246,False,i,1
58485.222503,18.947,,True,orange,0
58565.507812,19.3179,,True,g,0
58565.511718,20.3073,,True,r,0
58565.515625,19.6052,,True,i,0
58569.507812,20.1581,,True,g,0
58569.511718,20.0185,,True,r,0
58569.515625,19.8066,,True,i,0
58613.609875,19.7672,,True,orange,0
58615.615423,19.4935,,True,orange,0
58617.604884,19.9,,True,orange,0
58619.611145,19.8854,,True,orange,0
58627.5978,19.4546,,True,orange,0
58629.531765,19.5684,,True,orange,0
58631.566376,19.6155,,True,orange,0
58633.539803,19.8096,,True,orange,0
58635.569311,20.2997,,True,cyan,0
58637.569005,19.4708,,True,orange,0
58639.576984,19.6408,,True,cyan,0
58641.527382,19.9187,,True,orange,0
58643.545531,19.9019,,True,orange,0
58645.534662,19.9685,,True,orange,0
58647.542397,19.3723,,True,orange,0
58649.561369,19.3519,,True,orange,0
58653.525901,19.0712,,True,orange,0
58659.537642,19.4995,,True,orange,0
58663.537725,20.1426,,True,cyan,0
58667.528246,20.3119,,True,cyan,0
