mjd,mag,mag_err,UL,filter,detected
58344.408116,20.1287,inf,True,cyan,0
58348.38606,19.9099,inf,True,orange,0
58350.3,21.05,inf,True,g,0
58350.32,21.3,inf,True,g,0
58350.35,21.52,inf,True,g,0
58350.37,21.69,inf,True,r,0
58350.38,21.69,inf,True,r,0
58350.4,21.51,inf,True,r,0
58351.16,21.42,inf,True,r,0
58351.2,21.35,inf,True,r,0
58351.22,21.19,inf,True,r,0
58351.28,21.1,inf,True,g,0
58351.31,21.07,inf,True,g,0
58352.27,21.2,inf,True,r,0
58352.28,21.18,inf,True,r,0
58352.28,21.26,inf,True,r,0
58352.31,21.15,inf,True,r,0
58352.35,20.76,inf,True,g,0
58352.35,20.76,inf,True,g,0
58352.37,20.74,inf,True,g,0
58352.39,20.97,inf,True,g,0
58353.18,21.07,inf,True,r,0
58353.21,21.14,inf,True,r,0
58353.22,21.06,inf,True,r,0
58353.36,20.87,inf,True,r,0
58353.38,20.88,inf,True,r,0
58353.41,20.7,inf,True,r,0
58354.22,19.95,inf,True,r,0
58354.24,20.88,inf,True,r,0
58354.26,21.03,inf,True,r,0
58354.36,21.01,inf,True,r,0
58354.39,20.75,inf,True,r,0
58355.26,21.02,inf,True,r,0
58355.29,20.97,inf,True,r,0
58355.29,20.98,inf,True,r,0
58355.3,20.86,inf,True,r,0
58356.2,20.72,inf,True,r,0
58356.26,20.94,inf,True,r,0
58356.28,20.65,inf,True,r,0
58356.3,20.74,inf,True,r,0
58357.2,20.72,inf,True,r,0
58357.22,20.74,inf,True,r,0
58357.28,20.81,inf,True,r,0
58357.3,20.82,inf,True,r,0
58357.32,20.62,inf,True,r,0
58358.22,20.65,inf,True,r,0
58358.22,20.72,inf,True,r,0
58358.24,20.6,inf,True,r,0
58358.27,20.87,inf,True,r,0
58359.26,20.48,inf,True,r,0
58359.28,20.74,inf,True,r,0
58359.3,20.47,inf,True,r,0
58359.34,20.0,inf,True,r,0
58359.36,20.23,inf,True,r,0
58360.26,21.25,inf,True,r,0
58360.28,21.19,inf,True,r,0
58360.3,21.21,inf,True,r,0
58360.37,20.13,inf,True,g,0
58360.38,20.26,inf,True,g,0
58361.21,21.54,inf,True,g,0
58361.22,21.24,inf,True,g,0
58361.28,21.23,inf,True,r,0
58361.28,21.29,inf,True,r,0
58361.3,21.07,inf,True,r,0
58361.32,21.1,inf,True,r,0
58361.38,20.51,inf,True,g,0
58361.38,20.52,inf,True,g,0
58364.2,21.62,inf,True,g,0
58364.32,21.34,inf,True,r,0
58365.16,21.42,inf,True,r,0
58365.18,21.47,inf,True,r,0
