mjd,mag,mag_err,UL,filter,detected
58380.414062,20.1413,inf,True,g,0
58380.4375,19.7642,inf,True,r,0
58382.375,20.0991,inf,True,r,0
58382.382812,20.0648,inf,True,g,0
58383.378906,19.6661,inf,True,r,0
58383.433593,19.996,inf,True,g,0
58384.4375,19.069,inf,True,g,0
58386.398437,19.2742,inf,True,r,0
58388.410156,19.5453,inf,True,g,0
58388.480468,19.6569,inf,True,r,0
58391.486048,19.8222,inf,True,orange,0
58393.47984,19.995,inf,True,orange,0
58401.469236,20.4428,inf,True,cyan,0
58405.545648,20.1125,inf,True,cyan,0
58409.520607,19.1513,inf,True,orange,0
58413.439344,19.8188,inf,True,orange,0
58422.334386,19.3478,0.2197,False,r,1
58422.335937,19.5413,0.1962,False,r,1
58423.512224,19.0402,0.1623,False,orange,1
58425.34375,19.3703,0.0536,False,g,1
58427.49509,19.0105,0.1589,False,orange,1
58429.48936,19.175,0.1052,False,cyan,1
58431.236574,18.9898,0.2733,False,g,1
58431.289363,18.8107,0.1475,False,r,1
58431.481091,19.1519,0.1809,False,orange,1
58434.283078,19.0594,0.1831,False,g,1
58434.312627,18.965,0.2136,False,r,1
58435.451579,18.9855,0.2418,False,orange,1
58437.292968,19.1391,0.0706,False,r,1
58437.293101,18.896,0.1118,False,r,1
58439.328125,19.1944,0.133,False,r,1
58441.309039,19.008,0.1994,False,r,1
58447.445246,19.1323,0.2536,False,orange,1
58449.440067,19.7108,0.3525,False,orange,1
58451.433751,19.2223,0.1942,False,orange,1
58453.445997,19.8427,0.3476,False,orange,1
58455.387054,19.6605,0.1988,False,orange,1
58459.368062,19.0429,inf,True,orange,0
58463.357324,19.3485,inf,True,orange,0
58464.238281,19.3866,inf,True,g,0
58464.273437,19.3648,inf,True,r,0
58465.3461,19.4315,inf,True,orange,0
58467.350423,19.2294,inf,True,orange,0
58468.25,19.7994,inf,True,r,0
58469.368808,19.7005,0.3097,False,orange,1
58482.1875,18.9591,inf,True,r,0
58485.343141,20.5407,inf,True,cyan,0
58486.105468,19.5284,inf,True,r,0
58487.175781,20.0675,inf,True,g,0
58487.326761,19.7485,inf,True,orange,0
58491.175781,19.4734,inf,True,g,0
58491.21875,19.8313,inf,True,r,0
58491.301984,19.4985,inf,True,orange,0
58493.109375,19.959,inf,True,r,0
58493.167968,19.2063,inf,True,g,0
58493.303372,20.3069,inf,True,cyan,0
58494.105468,20.1179,inf,True,r,0
