mjd,mag,mag_err,UL,filter,System,detected
58417.63183,18.3754,,True,orange,AB,0
58423.496093,22.7578,,True,g,AB,0
58423.496099,19.2825,,True,g,AB,0
58426.492187,19.9508,,True,g,AB,0
58426.493113,19.9461,,True,g,AB,0
58426.542719,19.848,,True,r,AB,0
58426.542968,21.2235,,True,r,AB,0
58429.488281,20.227,0.1631,False,g,AB,1
58432.491053,18.5946,0.0865,False,g,AB,1
58432.492187,18.5077,0.0707,False,g,AB,1
58432.553402,19.1016,0.1713,False,r,AB,1
58432.554687,19.0484,0.1214,False,r,AB,1
58435.496967,19.4594,,True,g,AB,0
58437.511718,18.5157,0.047,False,g,AB,1
58438.484375,18.5038,0.0832,False,g,AB,1
58438.486863,18.5835,0.0701,False,g,AB,1
58438.488281,18.4138,0.128,False,g,AB,1
58438.557071,18.7127,0.0849,False,r,AB,1
58441.487627,18.6844,0.0765,False,g,AB,1
58447.489131,18.9893,0.1273,False,r,AB,1
58450.518275,18.9228,0.1047,False,g,AB,1
58459.646412,19.1424,0.118,False,cyan,AB,1
58461.483356,19.4635,0.1671,False,g,AB,1
58461.538854,19.4441,0.1392,False,r,AB,1
58461.64232,19.0963,0.1428,False,orange,AB,1
58464.51765,19.7044,0.135,False,g,AB,1
58464.540219,19.5262,0.0944,False,r,AB,1
58465.6382,19.2958,0.1717,False,orange,AB,1
58467.495243,19.0268,,True,g,AB,0
58467.538703,18.9313,,True,r,AB,0
58469.634827,19.7818,0.3008,False,orange,AB,1
58472.5,19.4688,0.0944,False,C,Vega,1
58472.5,19.6184,0.0987,False,C,Vega,1
58472.5,19.8057,0.1052,False,C,Vega,1
58472.5,19.8942,0.1085,False,C,Vega,1
58472.524386,19.9286,0.1904,False,g,AB,1
58474.621931,19.241,,True,orange,AB,0
58476.504097,19.8675,0.2023,False,r,AB,1
58476.547499,19.7241,,True,g,AB,0
58479.580553,18.8679,,True,orange,AB,0
58480.497291,19.7149,,True,g,AB,0
58481.608638,19.0372,,True,orange,AB,0
58483.595777,19.9591,0.3017,False,orange,AB,1
58485.588045,19.9822,0.3102,False,orange,AB,1
58486.483981,20.6522,,True,r,AB,0
58487.604329,20.1969,0.282,False,cyan,AB,1
58489.586691,19.8206,0.2691,False,orange,AB,1
58491.59259,20.3249,0.3524,False,cyan,AB,1
58493.576238,20.0303,0.2859,False,orange,AB,1
58494.453136,20.5347,0.1655,False,r,AB,1
58507.543966,19.7283,,True,orange,AB,0
58512.5,20.1435,0.1242,False,C,Vega,1
58512.5,20.4038,0.1397,False,C,Vega,1
58512.5,20.7732,0.1612,False,C,Vega,1
58512.5,21.0951,0.199,False,C,Vega,1
58519.540571,19.8828,,True,cyan,AB,0
58545.477642,19.7339,,True,orange,AB,0
58549.488603,19.8321,,True,orange,AB,0
58557.430744,19.7797,,True,orange,AB,0
58565.433376,19.8898,,True,orange,AB,0
58573.419467,19.6105,,True,orange,AB,0
58575.433583,20.374,,True,cyan,AB,0
58575.5,21.2126,0.1946,False,C,Vega,1
58575.5,21.3099,0.2043,False,C,Vega,1
58575.5,21.4326,0.2242,False,C,Vega,1
58575.5,21.7528,0.2544,False,C,Vega,1
58577.414863,20.3243,,True,orange,AB,0
58581.424476,19.7887,,True,orange,AB,0
58583.398133,20.2329,,True,cyan,AB,0
