mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
58344.257687,19.8925,,True,cyan,AB,0,cyan,5182.42
58348.263082,20.2452,,True,orange,AB,0,orange,6629.82
58362.238984,19.3929,,True,orange,AB,0,orange,6629.82
58423.55,20.59,,True,r,AB,0,r,6141.12
58426.55,21.05,,True,r,AB,0,r,6141.12
58429.49,21.84,,True,g,AB,0,g,4671.78
58429.55,20.86,,True,r,AB,0,r,6141.12
58431.54,24.54,,True,r,AB,0,r,6141.12
58432.49,21.59,,True,g,AB,0,g,4671.78
58432.55,21.16,,True,r,AB,0,r,6141.12
58434.49,20.58,,True,r,AB,0,r,6141.12
58434.52,20.97,,True,g,AB,0,g,4671.78
58434.53,21.11,,True,g,AB,0,g,4671.78
58434.55,20.51,,True,g,AB,0,g,4671.78
58435.51,20.46,,True,r,AB,0,r,6141.12
58440.47,21.1,,True,g,AB,0,g,4671.78
58440.55,21.78,,True,r,AB,0,r,6141.12
58442.649779,18.8434,,True,orange,AB,0,orange,6629.82
58443.47,21.0,,True,r,AB,0,r,6141.12
58446.622091,19.2923,,True,orange,AB,0,orange,6629.82
58447.47,20.71,,True,r,AB,0,r,6141.12
58450.51,21.19,,True,g,AB,0,g,4671.78
58450.655739,18.683,,True,orange,AB,0,orange,6629.82
58461.49,20.84,,True,g,AB,0,g,4671.78
58464.51,21.51,0.24,False,g,AB,1,g,4671.78
58471.51,19.8,0.07,False,g,AB,1,g,4671.78
58474.49,19.6,0.12,False,r,AB,1,r,6141.12
58474.655109,18.8834,,True,orange,AB,0,orange,6629.82
58480.54,18.98,0.06,False,g,AB,1,g,4671.78
58480.675687,18.6621,0.2873,False,orange,AB,1,orange,6629.82
58486.51,18.71,0.08,False,r,AB,1,r,6141.12
58486.55,18.61,0.08,False,g,AB,1,g,4671.78
58486.652756,18.8552,0.1014,False,orange,AB,1,orange,6629.82
58487.137819,18.6542,0.0274,False,G,AB,1,G,5850.88
58488.648859,18.6947,0.0848,False,cyan,AB,1,cyan,5182.42
58490.666175,18.7051,0.2271,False,orange,AB,1,orange,6629.82
58491.49,18.51,0.08,False,g,AB,1,g,4671.78
58494.52,18.44,0.07,False,g,AB,1,g,4671.78
58494.626378,18.5505,0.069,False,orange,AB,1,orange,6629.82
58496.670866,18.6169,0.1962,False,orange,AB,1,orange,6629.82
58498.628729,18.5251,0.0641,False,orange,AB,1,orange,6629.82
58500.62564,18.5058,0.086,False,orange,AB,1,orange,6629.82
58502.48,18.42,0.1,False,g,AB,1,g,4671.78
58502.55,18.38,0.06,False,r,AB,1,r,6141.12
58502.631489,18.3385,0.0745,False,orange,AB,1,orange,6629.82
58503.3903,18.3442,0.0243,False,G,AB,1,G,5850.88
58503.46431,18.3242,0.0241,False,G,AB,1,G,5850.88
58505.48,18.29,0.12,False,g,AB,1,g,4671.78
58506.615013,18.3786,0.1204,False,orange,AB,1,orange,6629.82
58508.49,18.24,0.07,False,r,AB,1,r,6141.12
58508.55,18.21,0.1,False,g,AB,1,g,4671.78
58508.60919,18.2901,0.073,False,orange,AB,1,orange,6629.82
58510.005,18.19,0.12,False,g,AB,1,g,4671.78
58510.05,18.37,0.06,False,i,AB,1,i,7457.89
