mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
58396.431592,19.7483,,True,cyan,AB,0,cyan,5182.42
58400.28,21.65,,True,g,AB,0,g,4793.46
58400.430294,19.976,,True,cyan,AB,0,cyan,5182.42
58402.418524,19.5728,,True,orange,AB,0,orange,6629.82
58408.402832,19.7496,,True,orange,AB,0,orange,6629.82
58412.39309,19.552,,True,orange,AB,0,orange,6629.82
58414.378101,18.7879,,True,orange,AB,0,orange,6629.82
58416.35718,18.7935,,True,orange,AB,0,orange,6629.82
58424.394686,19.9692,,True,cyan,AB,0,cyan,5182.42
58425.18,21.07,,True,g,AB,0,g,4793.46
58426.367898,19.5592,,True,orange,AB,0,orange,6629.82
58428.18,21.34,,True,g,AB,0,g,4793.46
58428.369144,19.67,,True,cyan,AB,0,cyan,5182.42
58430.349842,19.6393,,True,orange,AB,0,orange,6629.82
58431.22,20.75,,True,g,AB,0,g,4793.46
58432.361195,19.6534,,True,cyan,AB,0,cyan,5182.42
58433.893993,21.0739,,True,G,AB,0,G,5850.88
58434.15,20.81,,True,g,AB,0,g,4793.46
58434.349184,19.8305,,True,orange,AB,0,orange,6629.82
58436.359268,18.591,,True,cyan,AB,0,cyan,5182.42
58437.22,20.56,,True,g,AB,0,g,4793.46
58438.331309,18.3606,,True,orange,AB,0,orange,6629.82
58439.27,19.82,,True,r,AB,0,r,6198.96
58440.22,18.98,,True,g,AB,0,g,4793.46
58442.329879,19.3644,,True,orange,AB,0,orange,6629.82
58446.242887,17.9513,,True,orange,AB,0,orange,6629.82
58450.320452,19.2991,,True,orange,AB,0,orange,6629.82
58452.324801,19.7155,0.2869,False,orange,AB,1,orange,6629.82
58456.15,19.38,0.12,False,r,AB,1,r,6198.96
58456.343922,19.3059,0.1957,False,cyan,AB,1,cyan,5182.42
58457.15,19.26,0.11,False,g,AB,1,g,4793.46
58458.315066,19.5699,0.274,False,orange,AB,1,orange,6629.82
58460.331355,19.0194,0.131,False,cyan,AB,1,cyan,5182.42
58462.300435,19.3388,0.232,False,orange,AB,1,orange,6629.82
58466.290477,19.1933,0.2128,False,orange,AB,1,orange,6629.82
58469.1,18.82,0.04,False,r,AB,1,r,6198.96
58469.14,18.55,0.05,False,g,AB,1,g,4793.46
58471.22,18.74,0.2,False,r,AB,1,r,6198.96
58471.22,19.29,,True,r,AB,0,r,6198.96
58472.11,18.81,0.07,False,r,AB,1,r,6198.96
58472.18,18.59,0.09,False,g,AB,1,g,4793.46
58472.282428,18.8098,0.1861,False,orange,AB,1,orange,6629.82
58473.09638,18.7039,0.0329,False,G,AB,1,G,5850.88
58473.17038,18.7039,0.0329,False,G,AB,1,G,5850.88
58475.13,18.63,0.06,False,r,AB,1,r,6198.96
58480.262651,18.7734,0.1315,False,orange,AB,1,orange,6629.82
58482.12,18.32,0.04,False,g,AB,1,g,4793.46
58486.1,18.57,0.09,False,r,AB,1,r,6198.96
58486.257929,18.6966,0.1295,False,orange,AB,1,orange,6629.82
58488.269268,18.3533,0.058,False,cyan,AB,1,cyan,5182.42
58488.86,18.39,0.14,False,g,AB,1,g,4793.46
58488.87,18.47,0.13,False,r,AB,1,r,6198.96
58488.87,18.79,0.1,False,i,AB,1,i,7457.89
58488.87,19.41,,True,z,AB,0,z,8970.57
58490.14,18.53,0.1,False,r,AB,1,r,6198.96
58490.26134,18.7044,0.1072,False,orange,AB,1,orange,6629.82
58492.273359,18.4427,0.0676,False,cyan,AB,1,cyan,5182.42
58493.12,18.56,0.09,False,r,AB,1,r,6198.96
58493.16,18.38,0.1,False,g,AB,1,g,4793.46
58494.136718,18.2966,0.0359,False,g,AB,1,g,4793.46
58494.140625,18.4529,0.0463,False,r,AB,1,r,6198.96
58494.144531,18.7258,0.0571,False,i,AB,1,i,7457.89
58494.248226,18.6759,0.1269,False,orange,AB,1,orange,6629.82
58496.066406,18.3134,0.0722,False,g,AB,1,g,4793.46
58496.070312,18.4449,0.0569,False,r,AB,1,r,6198.96
58496.074218,18.7595,0.059,False,i,AB,1,i,7457.89
58496.25003,18.6665,0.1463,False,orange,AB,1,orange,6629.82
58496.9,18.3,0.15,False,r,AB,1,r,6198.96
58496.9,18.32,0.13,False,g,AB,1,g,4793.46
58496.91,18.59,0.22,False,i,AB,1,i,7457.89
58498.250293,18.7893,0.1707,False,orange,AB,1,orange,6629.82
58499.90809,18.5139,0.0304,False,G,AB,1,G,5850.88
58500.08424,18.4939,0.0302,False,G,AB,1,G,5850.88
58500.242965,18.6659,0.1135,False,orange,AB,1,orange,6629.82
58502.248006,18.7357,0.1694,False,orange,AB,1,orange,6629.82
58505.074218,18.8229,0.0866,False,i,AB,1,i,7457.89
58506.078125,18.4238,0.0675,False,g,AB,1,g,4793.46
58506.082031,18.5582,0.0467,False,r,AB,1,r,6198.96
58506.085937,18.7978,0.0584,False,i,AB,1,i,7457.89
58506.243745,18.6407,0.0983,False,orange,AB,1,orange,6629.82
58507.16,18.51,0.15,False,g,AB,1,g,4793.46
58508.074218,18.5375,0.082,False,g,AB,1,g,4793.46
58508.078125,18.5725,0.0433,False,r,AB,1,r,6198.96
58508.082031,18.7784,0.0557,False,i,AB,1,i,7457.89
58508.237583,18.5774,0.115,False,orange,AB,1,orange,6629.82
58510.074218,18.7352,0.1005,False,g,AB,1,g,4793.46
58510.078125,18.6312,0.0549,False,r,AB,1,r,6198.96
58510.082031,18.7924,0.0751,False,i,AB,1,i,7457.89
58510.232519,18.7378,0.1517,False,orange,AB,1,orange,6629.82
58511.078125,18.5766,0.0535,False,g,AB,1,g,4793.46
58511.082031,18.7403,0.0847,False,r,AB,1,r,6198.96
58511.085937,18.8933,0.0532,False,i,AB,1,i,7457.89
58514.226492,19.2443,0.3183,False,orange,AB,1,orange,6629.82
58526.225628,18.9262,0.3142,False,orange,AB,1,orange,6629.82
58527.82542,19.2039,0.0411,False,G,AB,1,G,5850.88
58527.89942,19.2039,0.0411,False,G,AB,1,G,5850.88
58582.51,20.69,,True,r,AB,0,r,6198.96
58582.51,20.71,,True,r,AB,0,r,6198.96
58582.51,20.74,,True,r,AB,0,r,6198.96
58582.52,20.33,,True,r,AB,0,r,6198.96
58588.5,20.65,,True,r,AB,0,r,6198.96
58588.5,20.97,,True,r,AB,0,r,6198.96
58588.51,20.17,,True,r,AB,0,r,6198.96
58588.51,20.45,,True,r,AB,0,r,6198.96
58591.5,19.77,,True,r,AB,0,r,6198.96
58591.5,19.84,,True,r,AB,0,r,6198.96
58591.5,20.03,,True,r,AB,0,r,6198.96
58591.51,20.01,,True,r,AB,0,r,6198.96
58597.49,20.86,,True,r,AB,0,r,6198.96
58597.49,20.96,,True,r,AB,0,r,6198.96
58597.5,20.73,,True,r,AB,0,r,6198.96
58597.5,20.74,,True,r,AB,0,r,6198.96
58634.606026,19.6342,,True,orange,AB,0,orange,6629.82
58636.587674,19.3783,,True,cyan,AB,0,cyan,5182.42
58642.5895,19.8128,,True,orange,AB,0,orange,6629.82
58644.574119,19.5877,,True,orange,AB,0,orange,6629.82
58648.549092,19.3684,,True,orange,AB,0,orange,6629.82
58656.568524,19.8132,,True,orange,AB,0,orange,6629.82
58662.592908,19.8551,,True,orange,AB,0,orange,6629.82
58664.595447,19.7256,,True,cyan,AB,0,cyan,5182.42
58667.41,21.81,0.13,False,r,AB,1,r,6198.96
58667.41,22.34,0.22,False,g,AB,1,g,4793.46
58668.546013,19.7238,,True,cyan,AB,0,cyan,5182.42
58675.550952,19.8385,,True,orange,AB,0,orange,6629.82
