mjd,mag,mag_err,UL,filter,detected
58434.503906,21.0438,0.3453,False,g,1
58437.5,20.7081,0.1801,False,g,1
58440.542968,20.3325,0.211,False,r,1
58441.484375,20.0932,0.1258,False,g,1
58443.521776,19.8669,0.12,False,g,1
58448.309724,19.84,0.1848,False,r,1
58450.4632,19.4011,0.1472,False,g,1
58454.654571,19.5239,0.2397,False,cyan,1
58455.519531,19.3978,0.2436,False,r,1
58456.598927,19.5944,0.2378,False,orange,1
58458.606083,19.4666,0.1537,False,cyan,1
58460.573272,19.6942,0.3036,False,orange,1
58462.600592,19.1833,0.1197,False,cyan,1
58464.564735,19.4983,0.2338,False,orange,1
58465.480468,19.2533,0.1067,False,r,1
58465.527343,19.1688,0.0966,False,g,1
58468.441406,19.1991,0.0956,False,g,1
58468.547213,19.3956,0.2335,False,orange,1
58470.547203,19.4832,0.2068,False,orange,1
58472.548036,19.5149,0.2937,False,orange,1
58474.551927,19.1545,0.2806,False,orange,1
58476.535619,19.3487,0.3548,False,orange,1
58478.550418,19.8021,0.3127,False,orange,1
58480.480468,19.4922,0.2132,False,g,1
58480.544722,19.9042,0.3519,False,orange,1
58481.126929,19.4865,0.1024,False,r,1
58482.550781,19.7099,0.1701,False,g,1
58483.489679,19.5506,0.2159,False,w,1
58486.556734,19.7362,0.1991,False,cyan,1
58487.421875,19.6586,0.1215,False,r,1
58487.445312,19.584,0.1371,False,g,1
58488.525628,19.8079,0.3371,False,orange,1
58491.433593,20.0133,0.1426,False,g,1
58494.464843,20.0494,0.2045,False,g,1
58494.5,20.0934,0.0719,False,g,1
58494.51215,20.1665,0.3046,False,cyan,1
58496.50639,19.9341,0.3271,False,orange,1
58496.511019,19.9405,0.0535,False,w,1
58500.497279,19.6783,0.2956,False,orange,1
58502.378906,20.4644,0.17,False,g,1
58502.382812,20.0825,0.1056,False,r,1
58508.494105,19.6036,,True,orange,0
58508.509151,20.638,0.1783,False,g,1
58508.512951,20.2755,0.1599,False,r,1
58508.546692,20.1135,0.1835,False,i,1
58510.441704,20.2075,0.3413,False,i,1
58518.493521,20.1774,,True,cyan,0
58525.453125,21.0862,0.1906,False,r,1
58526.191406,20.9094,0.1108,False,r,1
58528.458752,19.654,,True,orange,0
58540.442541,19.9206,,True,orange,0
58542.296875,21.4427,0.112,False,r,1
58544.43885,19.6502,,True,orange,0
58547.296875,21.5971,0.1378,False,r,1
58556.409595,19.882,,True,orange,0
58566.332031,21.7167,0.497,False,r,1
58568.390507,19.8249,,True,orange,0
58570.39001,19.6144,,True,orange,0
58574.38877,19.7731,,True,cyan,0
58576.379344,19.6117,,True,orange,0
58577.242187,22.0148,0.2488,False,r,1
58578.380455,20.433,,True,cyan,0
58582.372708,20.3547,,True,cyan,0
58584.136718,21.7296,0.2737,False,r,1
58594.215798,22.3584,0.5351,False,r,1
58596.222656,22.1677,0.4546,False,r,1
58596.338694,19.7744,,True,orange,0
58598.349311,19.7608,,True,orange,0
58600.202862,22.5935,0.4353,False,i,1
58601.593821,22.5391,0.2342,False,r,1
58603.69541,22.0485,0.4404,False,i,1
