mjd,mag,mag_err,UL,filter,System,detected
58242.22,21.86,,True,g,AB,0
58242.26,21.65,,True,r,AB,0
58242.27,21.74,,True,r,AB,0
58243.18,21.56,,True,r,AB,0
58243.18,21.59,,True,r,AB,0
58243.22,22.01,,True,g,AB,0
58244.18,21.69,,True,r,AB,0
58244.22,22.01,,True,g,AB,0
58246.22,21.56,,True,r,AB,0
58246.3,21.87,,True,g,AB,0
58247.18,22.09,,True,g,AB,0
58247.23,21.75,,True,r,AB,0
58248.19,22.12,,True,g,AB,0
58248.25,21.48,,True,r,AB,0
58254.18,21.75,,True,r,AB,0
58254.18,21.78,,True,r,AB,0
58254.18,21.87,,True,r,AB,0
58254.2,21.68,,True,r,AB,0
58255.18,21.87,,True,g,AB,0
58255.2,21.74,,True,g,AB,0
58255.2,21.79,,True,g,AB,0
58255.23,22.01,,True,g,AB,0
58255.29,21.31,,True,r,AB,0
58256.25,21.75,,True,r,AB,0
58256.27,21.67,,True,r,AB,0
58257.26,21.59,,True,r,AB,0
58257.26,21.59,,True,r,AB,0
58257.28,21.64,,True,r,AB,0
58257.28,21.67,,True,r,AB,0
58258.18,21.75,,True,g,AB,0
58258.22,21.57,,True,r,AB,0
58260.21,21.2,,True,r,AB,0
58260.21,21.21,,True,r,AB,0
58262.21,21.61,,True,r,AB,0
58262.22,21.37,,True,g,AB,0
58262.26,21.28,,True,r,AB,0
58263.24,21.65,,True,r,AB,0
58266.24,20.96,,True,r,AB,0
58266.25,20.98,,True,r,AB,0
58266.26,20.7,,True,r,AB,0
58266.28,20.66,,True,r,AB,0
58267.17,20.36,,True,g,AB,0
58267.2,20.67,,True,g,AB,0
58267.23,20.64,,True,g,AB,0
58267.3,20.64,,True,r,AB,0
58267.32,20.71,,True,r,AB,0
58269.17,21.17,,True,r,AB,0
58269.17,21.32,,True,r,AB,0
58269.2,21.19,,True,r,AB,0
58269.25,20.66,,True,g,AB,0
58269.29,20.61,,True,g,AB,0
58270.24,20.85,,True,g,AB,0
58270.31,20.89,,True,r,AB,0
58270.33,20.76,,True,r,AB,0
58271.18,21.64,,True,r,AB,0
58272.18,21.77,,True,r,AB,0
58273.25,21.38,0.22,False,g,AB,1
58273.26,21.43,0.25,False,g,AB,1
58273.37,21.23,,True,r,AB,0
58276.24,21.36,0.21,False,g,AB,1
58279.18,20.44,0.11,False,r,AB,1
58279.2,20.83,0.13,False,g,AB,1
58282.21,20.26,0.09,False,r,AB,1
58288.2,19.9,0.09,False,g,AB,1
58288.24,20.1,0.1,False,r,AB,1
58291.24,19.65,0.09,False,r,AB,1
58294.21,19.48,0.09,False,g,AB,1
58294.24,19.98,0.11,False,r,AB,1
58297.26,19.54,0.12,False,r,AB,1
58300.19,19.53,0.06,False,r,AB,1
58300.2,19.5,0.05,False,g,AB,1
58303.2,19.36,0.04,False,g,AB,1
58306.18,19.47,0.09,False,r,AB,1
58306.22,19.24,0.05,False,g,AB,1
58319.21,19.3,0.08,False,r,AB,1
58322.19,19.15,0.08,False,g,AB,1
58322.21,19.15,0.1,False,g,AB,1
58322.24,19.35,0.09,False,r,AB,1
58322.25,19.36,0.07,False,r,AB,1
58332.18,19.1,0.06,False,g,AB,1
58336.18,19.3,0.06,False,g,AB,1
58336.2,19.21,0.06,False,r,AB,1
58348.16,19.18,0.09,False,g,AB,1
58351.14,19.27,0.09,False,r,AB,1
58365.14,19.35,0.08,False,r,AB,1
58423.55,20.15,0.22,False,r,AB,1
58426.55,20.24,0.14,False,r,AB,1
58429.49,20.79,0.13,False,g,AB,1
58429.55,19.97,0.14,False,r,AB,1
58432.49,20.74,0.2,False,g,AB,1
58432.55,20.3,0.15,False,r,AB,1
58440.47,21.03,0.22,False,g,AB,1
58440.55,20.34,0.1,False,r,AB,1
58443.47,20.51,0.22,False,r,AB,1
58456.17,20.58,0.14,False,i,AB,1
58456.17,21.44,0.15,False,g,AB,1
58474.49,20.78,,True,r,AB,0
58476.45,20.83,,True,r,AB,0
58481.47,21.06,,True,r,AB,0
58493.5,21.41,,True,r,AB,0
58566.0,22.39,0.24,False,r,AB,1
58600.36,22.75,0.2,False,i,AB,1
58600.37,22.88,0.14,False,r,AB,1
58600.37,23.56,0.27,False,g,AB,1
