mjd,mag,mag_err,UL,filter,detected
58472.49,20.19,,True,g,0
58475.49,20.43,,True,r,0
58476.52,20.8,,True,r,0
58480.55,20.42,,True,r,0
58481.52,20.89,,True,r,0
58513.649968,20.0303,,True,orange,0
58517.626429,20.1754,,True,orange,0
58519.636715,20.4323,,True,cyan,0
58529.570561,20.0047,,True,orange,0
58538.55,20.02,,True,i,0
58541.59236,19.625,,True,orange,0
58545.566391,19.7948,,True,orange,0
58547.3569,20.461,,True,g,0
58547.36,20.65,,True,g,0
58549.585347,19.511,,True,orange,0
58556.44,20.02,0.26,False,g,1
58557.34,20.41,,True,i,0
58557.51631,19.3281,,True,orange,0
58561.44,20.62,,True,i,0
58561.559589,19.6997,0.3461,False,orange,1
58567.38,19.69,0.24,False,r,1
58569.522736,19.3603,0.1751,False,orange,1
58571.514487,19.6013,0.2411,False,orange,1
58572.36,19.61,0.27,False,r,1
58572.38,19.35,0.18,False,g,1
58573.35,19.6,0.11,False,i,1
58573.522644,19.7241,0.2579,False,orange,1
58575.35,19.35,0.19,False,g,1
58575.42,19.55,0.14,False,r,1
58575.529341,19.5336,0.15,False,cyan,1
58577.515222,19.5908,0.2456,False,orange,1
58579.524582,19.5546,0.1376,False,cyan,1
58580.39,19.43,0.15,False,r,1
58580.4,19.33,0.13,False,g,1
58581.29,19.4,0.05,False,r,1
58581.39,19.47,0.11,False,i,1
58581.515714,19.3183,0.1889,False,orange,1
58583.483753,19.4371,0.1501,False,cyan,1
58584.29,19.3,0.12,False,g,1
58584.33,19.39,0.16,False,r,1
58585.05,19.37,0.05,False,g,1
58585.05,19.43,0.06,False,r,1
58585.05,19.58,0.09,False,i,1
58585.05,20.58,0.22,False,u,1
58586.3,19.57,0.12,False,i,1
58587.38,19.33,0.17,False,g,1
58587.39,19.49,0.24,False,r,1
58587.480439,19.0003,0.2852,False,orange,1
58588.08,19.24,0.11,False,r,1
58588.08,19.32,,True,z,0
58588.08,19.35,0.15,False,i,1
58588.08,19.39,0.09,False,g,1
58589.461181,19.2398,0.2236,False,orange,1
58591.31,19.39,,True,i,0
58591.37,19.19,0.2,False,r,1
58593.08,19.38,0.2,False,i,1
58593.08,19.62,,True,z,0
58593.541917,19.2254,0.3136,False,orange,1
58594.29,19.62,,True,g,0
58594.3,20.01,,True,i,0
58595.04,19.31,0.11,False,r,1
58595.04,19.37,0.11,False,g,1
58595.04,19.42,0.13,False,i,1
58595.04,19.44,0.19,False,z,1
58595.471832,19.4869,0.3017,False,orange,1
58596.02,19.33,0.07,False,g,1
58596.02,19.45,0.07,False,r,1
58596.02,20.81,,True,u,0
58596.03,19.59,0.11,False,i,1
58596.36,19.44,0.1,False,i,1
58597.29,19.51,0.13,False,g,1
58597.36,19.43,0.14,False,r,1
58597.478281,19.4784,0.2322,False,orange,1
58599.32,19.54,0.03,False,g,1
58599.475217,19.683,0.2658,False,orange,1
58600.19,19.47,0.12,False,i,1
58602.31,19.59,0.16,False,r,1
58603.482503,19.4802,0.1476,False,cyan,1
58605.462894,19.357,0.1969,False,orange,1
58606.3,19.61,0.16,False,r,1
58606.4,19.81,0.13,False,g,1
58607.28,19.53,0.09,False,i,1
58607.485883,19.3776,0.1644,False,cyan,1
58609.449421,19.7619,0.2305,False,orange,1
58611.434558,19.7748,0.1772,False,cyan,1
58612.23,19.66,0.19,False,r,1
58612.28,20.1,0.18,False,g,1
58612.32,19.51,0.08,False,i,1
58613.368213,19.8453,0.3217,False,orange,1
58615.377465,19.7285,0.271,False,orange,1
58616.23,20.35,,True,g,0
58616.3,19.63,0.18,False,r,1
58617.419733,19.672,0.2878,False,orange,1
58621.01,20.18,,True,g,0
58621.01,19.62,,True,z,0
58621.01,19.67,0.27,False,r,1
58623.0,19.85,0.23,False,z,1
58623.0,20.31,0.22,False,g,1
58627.42,19.72,0.12,False,i,1
58627.530177,19.6552,0.2351,False,orange,1
58628.29,19.96,0.22,False,r,1
58629.429943,19.7656,0.2968,False,orange,1
58631.301433,19.9701,0.2793,False,orange,1
58632.29,20.1,0.23,False,r,1
58633.3,19.96,0.2,False,r,1
58633.408595,20.2484,0.3431,False,orange,1
58635.18,19.7,0.11,False,i,1
58635.481943,19.6121,,True,cyan,0
58637.0,19.68,0.15,False,z,1
58637.0,19.94,0.09,False,i,1
58637.0,20.11,0.07,False,r,1
58637.0,20.65,0.07,False,g,1
58639.21,19.96,0.14,False,i,1
58639.28,20.11,0.17,False,r,1
58639.335159,19.7695,,True,cyan,0
58642.25,20.25,0.17,False,r,1
58643.21,19.82,0.15,False,i,1
58648.29,19.91,0.2,False,i,1
58652.23,20.03,0.19,False,i,1
58659.17,20.29,0.2,False,i,1
58663.18,20.62,,True,i,0
58663.294848,20.06,,True,cyan,0
58665.338887,19.6241,,True,orange,0
58667.17,20.79,,True,i,0
58671.17,20.78,,True,i,0
58671.329352,19.6106,,True,orange,0
58671.96,20.73,0.11,False,i,1
58671.96,21.55,0.22,False,r,1
58671.96,22.07,0.23,False,g,1
58675.17,19.9,,True,i,0
58679.31822,19.7655,,True,orange,0
58685.312242,19.6251,,True,orange,0
58689.380469,19.5356,,True,orange,0
58691.37243,20.5454,,True,cyan,0
58693.273986,19.6248,,True,orange,0
58699.363128,20.0611,,True,cyan,0
58703.254879,19.672,,True,cyan,0
58713.277657,19.4645,,True,orange,0
58721.286593,20.1165,,True,orange,0
58723.290047,20.2936,,True,cyan,0
