mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
58608.46,20.98,,True,g,AB,0,g,4671.78
58608.48,21.0,0.26,False,r,AB,1,r,6141.12
58612.537525,19.657,,True,orange,AB,0,orange,6629.82
58614.568212,19.6603,,True,orange,AB,0,orange,6629.82
58618.563398,19.6449,,True,orange,AB,0,orange,6629.82
58623.605746,19.2073,,True,orange,AB,0,orange,6629.82
58624.531792,19.0039,,True,orange,AB,0,orange,6629.82
58630.53596,19.0705,,True,orange,AB,0,orange,6629.82
58632.45,20.21,0.16,False,g,AB,1,g,4671.78
58632.46,20.36,0.2,False,r,AB,1,r,6141.12
58632.542579,19.326,,True,orange,AB,0,orange,6629.82
58634.45,20.42,0.12,False,g,AB,1,g,4671.78
58634.537294,19.8712,0.2294,False,cyan,AB,1,cyan,5182.42
58635.4,20.11,0.11,False,r,AB,1,r,6141.12
58635.48,20.35,,True,g,AB,0,g,4671.78
58636.517603,19.4413,,True,orange,AB,0,orange,6629.82
58638.44,20.07,0.12,False,g,AB,1,g,4671.78
58641.44,19.85,0.08,False,g,AB,1,g,4671.78
58642.520727,20.0381,0.3214,False,cyan,AB,1,cyan,5182.42
58644.44,19.65,0.09,False,g,AB,1,g,4671.78
58644.476833,19.0623,,True,orange,AB,0,orange,6629.82
58646.47915,19.0362,,True,orange,AB,0,orange,6629.82
58647.38,19.54,0.16,False,g,AB,1,g,4671.78
58648.507399,18.8974,,True,orange,AB,0,orange,6629.82
58650.35,19.7,0.25,False,r,AB,1,r,6141.12
58651.505412,19.1276,,True,orange,AB,0,orange,6629.82
58653.42,19.67,0.26,False,r,AB,1,r,6141.12
58660.509716,19.6887,0.3251,False,orange,AB,1,orange,6629.82
58664.555493,19.6459,0.3035,False,orange,AB,1,orange,6629.82
58665.48,19.44,0.24,False,g,AB,1,g,4671.78
58666.489976,19.4418,0.1511,False,cyan,AB,1,cyan,5182.42
58668.44,19.51,0.14,False,g,AB,1,g,4671.78
58668.529525,19.5726,0.2447,False,orange,AB,1,orange,6629.82
58670.486098,19.6842,0.2574,False,orange,AB,1,orange,6629.82
58673.545734,19.6558,0.2904,False,orange,AB,1,orange,6629.82
58674.42,19.54,0.12,False,g,AB,1,g,4671.78
58676.441052,19.4735,0.2952,False,orange,AB,1,orange,6629.82
58677.27,19.4,0.13,False,r,AB,1,r,6141.12
58677.29,19.64,0.24,False,r,AB,1,r,6141.12
58677.33,19.51,0.13,False,g,AB,1,g,4671.78
58678.48,19.55,0.09,False,r,AB,1,r,6141.12
58684.39,19.91,,True,g,AB,0,g,4671.78
58684.44,19.44,0.27,False,r,AB,1,r,6141.12
58685.06,19.18,,True,r,AB,0,r,6141.12
58685.06,19.2,,True,i,AB,0,i,7589.41
58685.06,19.36,0.19,False,g,AB,1,g,4671.78
58685.39,19.32,0.1,False,r,AB,1,r,6141.12
58686.36,19.44,0.11,False,r,AB,1,r,6141.12
58688.487076,19.3538,0.2425,False,orange,AB,1,orange,6629.82
58690.3,19.5,0.07,False,g,AB,1,g,4671.78
58690.3,19.57,0.16,False,g,AB,1,g,4671.78
58690.37,19.39,0.06,False,r,AB,1,r,6141.12
58690.37,19.55,0.13,False,r,AB,1,r,6141.12
58690.468844,19.4831,0.2511,False,orange,AB,1,orange,6629.82
58691.39,19.52,0.08,False,r,AB,1,r,6141.12
58692.36,19.72,0.23,False,g,AB,1,g,4671.78
58692.46518,19.6373,0.304,False,orange,AB,1,orange,6629.82
58693.31,19.6,0.17,False,g,AB,1,g,4671.78
58693.31,19.62,0.08,False,g,AB,1,g,4671.78
58693.34,19.48,0.07,False,r,AB,1,r,6141.12
58694.451374,19.5532,0.171,False,cyan,AB,1,cyan,5182.42
58695.34,19.45,0.07,False,r,AB,1,r,6141.12
58695.39,19.51,0.07,False,g,AB,1,g,4671.78
58696.36,19.45,0.11,False,r,AB,1,r,6141.12
58696.37,19.51,0.07,False,r,AB,1,r,6141.12
58696.45402,19.592,0.3083,False,orange,AB,1,orange,6629.82
58697.38,19.47,0.08,False,r,AB,1,r,6141.12
58698.33,19.26,0.15,False,g,AB,1,g,4671.78
