mjd,mag,mag_err,UL,filter,detected
58636.369867,20.6363,inf,True,cyan,0
58641.410115,20.0167,inf,True,orange,0
58642.400589,20.5313,inf,True,orange,0
58646.38017,20.3389,inf,True,orange,0
58650.2,20.76,inf,True,g,0
58650.2,20.77,inf,True,g,0
58650.24,20.83,inf,True,r,0
58650.24,20.93,inf,True,r,0
58651.19,20.4,inf,True,g,0
58651.21,20.53,inf,True,g,0
58651.22,20.67,inf,True,g,0
58651.24,20.56,inf,True,r,0
58651.28,20.59,inf,True,r,0
58651.29,20.73,inf,True,r,0
58652.18,20.98,inf,True,g,0
58652.2,20.95,inf,True,g,0
58652.22,20.77,inf,True,g,0
58652.29,20.83,inf,True,r,0
58652.3,20.8,inf,True,r,0
58652.32,20.8,inf,True,r,0
58653.2,21.13,inf,True,r,0
58653.22,21.0,inf,True,r,0
58653.25,20.64,inf,True,i,0
58653.27,20.94,inf,True,g,0
58653.29,20.8,inf,True,g,0
58653.29,20.91,inf,True,g,0
58653.3,20.83,inf,True,g,0
58654.21,21.7,inf,True,r,0
58654.22,21.2,inf,True,r,0
58654.25,21.33,inf,True,g,0
58654.26,21.15,inf,True,g,0
58654.29,21.13,inf,True,g,0
58655.19,21.18,inf,True,r,0
58655.2,21.28,inf,True,r,0
58655.22,21.33,inf,True,r,0
58655.24,21.66,inf,True,g,0
58655.26,21.08,inf,True,g,0
58655.28,21.08,inf,True,g,0
58656.367046,20.0448,inf,True,orange,0
58657.21,21.84,inf,True,g,0
58657.23,21.95,inf,True,g,0
58657.23,22.0,inf,True,g,0
58657.26,21.58,inf,True,r,0
58657.35,21.21,inf,True,r,0
58657.37,21.1,inf,True,r,0
58658.22,22.15,inf,True,g,0
58658.24,21.84,inf,True,r,0
58660.18,21.17,inf,True,g,0
58660.2,21.61,0.24,False,g,1
58660.242187,21.789,0.3178,False,r,1
58661.18,20.8,inf,True,i,0
58662.22,21.03,0.14,False,g,1
58662.238281,21.7645,0.28,False,r,1
58663.21,21.18,0.23,False,r,1
58663.22,21.23,0.19,False,g,1
58663.23,21.27,0.2,False,g,1
58663.242187,21.3268,0.2195,False,r,1
58663.270808,20.0734,inf,True,cyan,0
58664.40367,20.1235,inf,True,cyan,0
58665.18,21.3,inf,True,i,0
58665.2,20.86,0.14,False,g,1
58665.23,20.91,0.14,False,g,1
58665.26,21.03,0.21,False,r,1
58666.22,20.77,0.12,False,g,1
58666.25,20.8,0.13,False,g,1
58666.26,20.88,0.17,False,r,1
58666.384612,19.6933,inf,True,orange,0
58667.33,20.7,0.17,False,g,1
58667.35,20.64,0.15,False,g,1
58668.18,20.79,0.16,False,r,1
58668.2,20.69,0.12,False,g,1
58668.26134,19.6655,inf,True,cyan,0
58669.18,20.56,0.22,False,r,1
58669.21,20.48,0.11,False,g,1
58669.31,20.86,inf,True,i,0
58669.32,20.42,0.26,False,r,1
58670.29,20.44,0.1,False,g,1
58670.3,20.43,0.13,False,r,1
