mjd,mag,mag_err,UL,filter,System,detected
58636.42,21.12,,True,r,AB,0
58641.45,21.38,,True,g,AB,0
58644.45,21.21,,True,g,AB,0
58647.47,19.41,,True,g,AB,0
58652.46,20.54,,True,r,AB,0
58653.522933,19.4385,,True,orange,AB,0
58655.44,20.47,,True,r,AB,0
58655.48,20.04,,True,g,AB,0
58663.46,21.16,,True,g,AB,0
58663.567345,20.093,,True,cyan,AB,0
58665.549231,20.2591,,True,orange,AB,0
58666.45,20.94,,True,i,AB,0
58667.537226,20.1228,,True,cyan,AB,0
58668.48,20.85,,True,i,AB,0
58670.41,21.08,,True,i,AB,0
58676.45,20.83,,True,i,AB,0
58676.46,20.72,,True,i,AB,0
58677.500078,19.8834,,True,orange,AB,0
58679.487083,19.7491,,True,orange,AB,0
58682.45,20.61,,True,i,AB,0
58689.47619,19.9285,,True,orange,AB,0
58691.34,21.13,,True,i,AB,0
58691.49,20.66,,True,g,AB,0
58691.562365,20.1115,,True,cyan,AB,0
58693.556664,19.794,,True,orange,AB,0
58694.4,20.98,0.23,False,r,AB,1
58694.44,21.05,,True,g,AB,0
58695.41,21.06,,True,g,AB,0
58697.42,21.05,,True,r,AB,0
58697.48,20.65,0.26,False,g,AB,1
58698.38,20.58,,True,i,AB,0
58699.42,20.87,,True,i,AB,0
58700.42,20.76,0.19,False,r,AB,1
58700.48,21.08,,True,g,AB,0
58702.37,20.75,,True,i,AB,0
58703.39,21.0,,True,i,AB,0
58703.46,20.36,0.25,False,g,AB,1
58703.473317,20.447,0.3379,False,cyan,AB,1
58706.4,20.45,0.26,False,r,AB,1
58707.42235,19.8225,0.3462,False,cyan,AB,1
58709.42,20.43,,True,i,AB,0
58716.33,20.48,,True,i,AB,0
58716.38,20.28,0.24,False,r,AB,1
58717.41,20.22,,True,g,AB,0
58717.41,20.26,0.21,False,g,AB,1
58717.46,20.34,0.22,False,r,AB,1
58718.42,20.32,,True,g,AB,0
58721.32,20.23,,True,r,AB,0
58722.37,20.2,0.11,False,r,AB,1
58722.4,20.08,0.1,False,g,AB,1
58723.38,20.22,0.1,False,r,AB,1
58723.4,20.15,0.1,False,g,AB,1
58723.411901,19.9209,0.2124,False,cyan,AB,1
58724.38,20.09,0.18,False,r,AB,1
58724.42,20.08,0.17,False,g,AB,1
58727.33,20.1,0.11,False,r,AB,1
58727.37,20.17,0.16,False,i,AB,1
58727.38,20.14,0.1,False,g,AB,1
58727.38,20.2,0.22,False,g,AB,1
58727.478749,19.976,0.2308,False,cyan,AB,1
58730.33,20.35,0.17,False,g,AB,1
58730.38,20.09,0.1,False,r,AB,1
58730.38,20.11,0.16,False,r,AB,1
58732.33,20.41,0.22,False,i,AB,1
58732.38,20.16,0.1,False,g,AB,1
58733.37,20.11,0.1,False,g,AB,1
58733.37,20.3,0.2,False,g,AB,1
58733.39,20.34,0.2,False,r,AB,1
58733.4,20.16,0.11,False,r,AB,1
58735.39,20.21,0.13,False,r,AB,1
58735.4,20.49,0.16,False,g,AB,1
58736.33,19.92,0.21,False,i,AB,1
58736.4,20.0,0.13,False,r,AB,1
58736.44,20.17,0.13,False,g,AB,1
58737.33,20.43,,True,r,AB,0
58737.46,20.45,0.23,False,g,AB,1
58743.48,19.64,,True,i,AB,0
58743.508072,19.7248,0.3326,False,orange,AB,1
58747.34,20.45,0.26,False,i,AB,1
58751.34,20.18,0.23,False,i,AB,1
58751.359298,20.5382,0.3512,False,cyan,AB,1
58753.512062,19.5099,,True,orange,AB,0
58757.26,20.86,,True,i,AB,0
58757.402682,19.6404,,True,orange,AB,0
58761.297973,19.5585,,True,orange,AB,0
58761.3,20.67,,True,i,AB,0
58762.45726,20.1294,,True,cyan,AB,0
58763.315652,19.6686,,True,orange,AB,0
58765.3,20.4,,True,i,AB,0
58765.37989,19.7015,,True,orange,AB,0
58771.299545,19.7946,,True,orange,AB,0
58771.99,21.18,,True,i,AB,0
58773.396643,19.7733,,True,orange,AB,0
58775.380588,19.9513,,True,orange,AB,0
58775.91,21.57,0.12,False,r,AB,1
58775.91,22.44,0.24,False,g,AB,1
58779.453554,20.1889,,True,cyan,AB,0
58780.352577,19.8922,,True,orange,AB,0
58781.341388,19.7976,,True,orange,AB,0
58783.306359,19.8002,,True,cyan,AB,0
58785.331438,20.1153,,True,orange,AB,0
58787.369634,20.2383,,True,cyan,AB,0
58789.339515,19.9305,,True,orange,AB,0
58791.387161,19.8341,,True,orange,AB,0
58799.337894,19.4354,,True,orange,AB,0
58804.93,21.94,,True,r,AB,0
58804.93,22.42,,True,g,AB,0
58804.94,21.49,0.25,False,i,AB,1
58810.87,22.39,,True,i,AB,0
58810.87,22.62,,True,r,AB,0
58810.87,22.66,,True,g,AB,0
58817.94,23.0,,True,g,AB,0
58817.94,23.12,,True,r,AB,0
