mjd,mag,mag_err,UL,filter,detected
58685.431817,19.4697,inf,True,orange,0
58689.572921,19.6673,inf,True,orange,0
58691.50283,19.7169,inf,True,cyan,0
58693.476984,19.8021,inf,True,orange,0
58699.428266,19.6931,inf,True,cyan,0
58700.425781,20.639,inf,True,r,0
58701.481354,19.3222,inf,True,orange,0
58703.375,20.3684,inf,True,g,0
58703.40625,20.459,inf,True,r,0
58703.533081,20.2125,inf,True,cyan,0
58704.222656,20.6717,inf,True,r,0
58704.394531,19.804,inf,True,g,0
58705.320312,20.5206,inf,True,r,0
58706.296875,20.2348,inf,True,r,0
58706.429687,20.2344,inf,True,g,0
58707.332031,20.2889,inf,True,r,0
58707.563934,19.8088,inf,True,cyan,0
58708.292968,20.6173,inf,True,r,0
58708.351562,19.967,inf,True,g,0
58709.320312,20.1439,inf,True,r,0
58709.432119,18.7109,inf,True,orange,0
58710.277343,19.4533,inf,True,g,0
58710.292968,20.2085,inf,True,r,0
58711.273437,19.4187,inf,True,g,0
58711.375,20.1178,inf,True,r,0
58712.304687,20.4177,inf,True,r,0
58712.351562,19.2782,inf,True,g,0
58713.316406,20.4601,inf,True,r,0
58713.351562,19.5369,inf,True,g,0
58713.425365,19.5837,inf,True,orange,0
58714.199218,20.0865,inf,True,g,0
58714.285156,20.5441,inf,True,r,0
58715.320312,20.0985,inf,True,g,0
58715.347656,20.2736,inf,True,r,0
58716.3125,20.2973,inf,True,r,0
58716.332031,19.689,inf,True,g,0
58717.283252,20.2266,inf,True,g,0
58717.300781,19.9556,inf,True,r,0
58717.320312,20.3865,inf,True,g,0
58718.277986,19.9374,inf,True,r,0
58718.303784,20.0018,inf,True,g,0
58718.324218,20.4878,inf,True,r,0
58718.34375,19.7803,inf,True,g,0
58719.257013,19.5871,inf,True,r,0
58719.283854,20.2752,inf,True,g,0
58719.335937,19.6775,inf,True,g,0
58719.347656,20.3037,inf,True,r,0
58719.398841,19.7125,inf,True,orange,0
58720.277743,19.7885,inf,True,r,0
58720.302916,20.5384,inf,True,g,0
58720.324218,20.3632,inf,True,r,0
58720.34,21.43,inf,True,r,0
58720.35,21.39,inf,True,r,0
58720.36,21.42,inf,True,g,0
58720.37,21.35,inf,True,g,0
58721.256909,18.1444,inf,True,r,0
58721.283576,18.7933,inf,True,g,0
58721.505341,19.2848,inf,True,orange,0
58722.256794,19.8623,inf,True,r,0
58722.282766,20.3911,inf,True,g,0
58722.33,21.5,inf,True,r,0
58722.335937,20.5649,inf,True,g,0
58722.34,21.69,inf,True,r,0
58722.35,21.78,inf,True,r,0
58722.36,21.61,inf,True,g,0
58722.37,21.64,inf,True,g,0
58723.281238,19.8793,inf,True,r,0
58723.305798,20.6486,inf,True,g,0
58723.324218,20.4125,inf,True,r,0
58723.34,21.49,inf,True,r,0
58723.34375,20.3309,inf,True,g,0
58723.35,21.75,inf,True,r,0
58723.36,21.65,inf,True,g,0
58723.37,21.49,inf,True,g,0
58723.563587,19.8762,inf,True,cyan,0
58724.281307,19.6032,inf,True,r,0
58724.305821,20.5904,inf,True,g,0
58724.335937,20.461,inf,True,g,0
58724.34,21.55,inf,True,r,0
58724.347656,21.1185,inf,True,r,0
58724.35,21.54,inf,True,r,0
58724.36,21.5,inf,True,g,0
58724.439692,20.1792,inf,True,cyan,0
58725.255289,20.1999,inf,True,r,0
58725.281076,20.5849,inf,True,g,0
58725.316406,20.4931,inf,True,r,0
58725.335937,20.3121,inf,True,g,0
58725.34,21.43,inf,True,r,0
58725.35,21.57,inf,True,r,0
58725.36,21.48,inf,True,g,0
58725.37,21.49,inf,True,g,0
58726.256724,20.0319,inf,True,r,0
58726.2825,20.4465,inf,True,g,0
58726.316406,20.4302,inf,True,r,0
58726.335937,20.2694,inf,True,g,0
58726.34,21.49,inf,True,r,0
58726.35,21.45,inf,True,r,0
58726.36,21.45,inf,True,g,0
58726.37,21.39,inf,True,g,0
