mjd,mag,mag_err,UL,filter,detected
58750.15,20.9,inf,True,r,0
58750.17,20.72,inf,True,r,0
58750.18,20.78,inf,True,g,0
58750.2,20.92,inf,True,g,0
58750.39,21.08,inf,True,g,0
58750.39,21.19,inf,True,g,0
58751.15,20.92,inf,True,r,0
58751.17,21.03,inf,True,r,0
58751.18,21.18,inf,True,g,0
58751.2,21.39,inf,True,g,0
58751.29,21.33,inf,True,r,0
58751.29,21.36,inf,True,r,0
58751.31,21.08,inf,True,r,0
58751.31,21.18,inf,True,r,0
58751.329407,20.5321,inf,True,cyan,0
58751.34,20.52,inf,True,i,0
58751.34,20.56,inf,True,i,0
58753.516455,20.1599,inf,True,orange,0
58754.15,21.26,inf,True,r,0
58754.17,21.23,inf,True,r,0
58754.18,21.15,inf,True,g,0
58754.2,21.19,inf,True,g,0
58755.429455,20.5237,inf,True,cyan,0
58757.18,21.53,inf,True,g,0
58757.25,21.28,inf,True,r,0
58757.316155,20.1109,inf,True,orange,0
58757.34,20.62,inf,True,i,0
58757.34,20.72,inf,True,i,0
58758.16,21.04,inf,True,r,0
58758.18,21.17,inf,True,g,0
58758.18,21.2,inf,True,r,0
58758.4,21.2,inf,True,g,0
58758.4,21.39,inf,True,g,0
58759.33,21.28,inf,True,r,0
58759.33,21.43,inf,True,r,0
58760.15,21.24,inf,True,r,0
58760.17,21.47,inf,True,r,0
58760.18,21.27,inf,True,g,0
58760.2,21.24,inf,True,g,0
58761.15,21.05,inf,True,r,0
58761.17,20.93,inf,True,r,0
58761.18,21.04,inf,True,g,0
58761.2,21.23,inf,True,g,0
58761.3,20.61,inf,True,i,0
58761.3,20.72,inf,True,i,0
58761.334398,19.9627,inf,True,orange,0
58761.36,20.98,inf,True,r,0
58761.36,21.02,inf,True,r,0
58762.15,20.93,inf,True,r,0
58762.17,21.1,inf,True,r,0
58762.18,20.91,inf,True,g,0
58762.2,20.94,inf,True,g,0
58763.15,20.98,inf,True,r,0
58763.17,21.14,inf,True,r,0
58763.18,20.96,inf,True,g,0
58763.2,21.03,inf,True,g,0
58763.27,20.91,inf,True,r,0
58763.27,21.02,inf,True,r,0
58763.3,21.17,inf,True,r,0
58763.3,21.21,inf,True,r,0
58763.35996,19.9631,inf,True,orange,0
58764.28,20.98,inf,True,g,0
58764.28,20.98,inf,True,g,0
58764.29,20.87,inf,True,g,0
58764.29,20.88,inf,True,g,0
58764.36,21.34,inf,True,g,0
58764.36,21.39,inf,True,g,0
58764.4,21.4,inf,True,r,0
58764.41,21.25,inf,True,r,0
58765.2,20.74,inf,True,r,0
58765.2,20.81,inf,True,r,0
58765.2,20.87,inf,True,r,0
58765.2,20.92,inf,True,r,0
58765.29,20.93,inf,True,g,0
58765.29,20.98,inf,True,g,0
58765.3,20.52,inf,True,i,0
58765.3,20.57,inf,True,i,0
58765.386443,20.0428,inf,True,orange,0
58766.36,20.31,inf,True,g,0
58766.37,20.28,inf,True,g,0
