mjd,mag,mag_err,UL,filter,detected
58580.5,20.89,,True,r,0
58581.51,20.44,,True,i,0
58583.38,21.26,,True,g,0
58586.38,21.13,,True,r,0
58586.42,21.5,,True,g,0
58586.51,20.72,,True,i,0
58589.34,19.59,,True,r,0
58591.31,19.48,,True,i,0
58592.45,19.87,,True,g,0
58596.38,20.64,,True,i,0
58597.38,21.13,,True,r,0
58597.46,21.07,,True,g,0
58598.39,21.42,,True,g,0
58598.39,21.48,,True,r,0
58598.47,21.32,,True,r,0
58599.21,21.82,,True,g,0
58599.38,22.1,,True,r,0
58600.39,21.98,,True,g,0
58603.519909,20.5231,,True,cyan,0
58605.38,21.4,,True,r,0
58605.46,20.89,,True,i,0
58605.505902,19.9905,,True,orange,0
58607.521813,20.2244,,True,cyan,0
58608.3,21.44,,True,g,0
58608.34,21.17,,True,r,0
58609.491553,19.9532,,True,orange,0
58612.49,20.86,,True,i,0
58613.366027,19.9457,,True,orange,0
58616.34,20.94,,True,i,0
58616.36,21.26,,True,r,0
58619.27,20.07,,True,g,0
58627.43609,20.072,,True,orange,0
58627.44,20.78,,True,i,0
58631.458621,20.0581,,True,orange,0
58632.3,21.47,,True,r,0
58632.31,21.39,,True,r,0
58632.34,21.51,,True,g,0
58633.27,20.89,,True,i,0
58633.29,20.99,,True,i,0
58633.35,21.55,,True,r,0
58633.421709,19.9434,,True,orange,0
58635.22,21.79,,True,g,0
58635.29,21.82,,True,r,0
58635.46579,20.0967,,True,cyan,0
58637.28,21.14,,True,i,0
58638.27,21.53,,True,r,0
58638.35,21.53,,True,g,0
58639.419088,19.9699,,True,cyan,0
58641.23,21.1,,True,g,0
58641.27,19.69,,True,i,0
58641.410246,19.9898,,True,orange,0
58643.470982,19.7701,,True,orange,0
58644.21,21.2,,True,g,0
58644.27,21.2,,True,r,0
58645.22,20.88,,True,g,0
58645.26,20.72,,True,i,0
58645.323551,19.7286,,True,orange,0
58647.22,20.72,,True,g,0
58647.25,20.91,,True,r,0
58647.380921,19.7504,,True,orange,0
58650.21,20.32,,True,g,0
58650.25,20.72,,True,r,0
58652.25,20.39,,True,i,0
58653.21,20.96,,True,r,0
58653.27,20.64,,True,g,0
58657.19,20.99,,True,i,0
58657.21,20.35,0.12,False,g,1
58657.25,20.66,0.18,False,r,1
58660.2,20.5,0.11,False,g,1
58660.23,20.37,0.1,False,r,1
58661.19,20.55,0.24,False,i,1
58663.3,20.43,0.12,False,r,1
58663.355136,20.2169,0.2778,False,cyan,1
58665.423203,19.4485,,True,orange,0
58666.21,20.32,0.22,False,g,1
58666.26,20.28,0.18,False,r,1
58666.26,20.28,0.18,False,r,1
58669.18,20.34,,True,r,0
58669.29,20.42,0.27,False,i,1
58671.265727,19.3581,,True,orange,0
58672.21,20.31,0.24,False,r,1
58672.3,20.31,0.22,False,g,1
58674.472486,19.3941,,True,orange,0
58675.24,20.32,0.24,False,r,1
58677.388078,19.4745,,True,orange,0
58678.17,20.05,0.22,False,i,1
58678.19,20.36,,True,r,0
58679.317778,19.5963,,True,orange,0
58680.23,20.29,0.26,False,g,1
58681.25,19.96,0.27,False,r,1
58685.3,20.27,0.25,False,i,1
58685.318835,19.3655,,True,orange,0
58689.459007,19.3451,,True,orange,0
58690.19,20.14,0.21,False,g,1
58690.19,20.14,0.21,False,g,1
58691.433764,19.9788,0.258,False,cyan,1
58692.3,19.96,0.21,False,i,1
58693.24,20.22,0.25,False,g,1
58693.344248,19.2897,,True,orange,0
58696.34,19.99,0.23,False,r,1
58699.2,20.13,0.22,False,g,1
58699.2,20.13,0.22,False,g,1
58699.391277,19.8607,0.2382,False,cyan,1
58700.16,19.81,0.16,False,i,1
58703.324555,20.0147,0.3115,False,cyan,1
58705.16,19.76,0.22,False,r,1
58705.16,19.76,0.22,False,r,1
58706.16,19.93,0.18,False,i,1
58713.293954,19.1261,,True,orange,0
58718.94,19.87,0.09,False,i,1
58718.94,19.93,0.07,False,r,1
58718.94,20.18,0.09,False,g,1
58719.16,19.93,0.18,False,i,1
58719.282987,19.7995,0.2832,False,orange,1
58721.344302,19.9747,0.3348,False,orange,1
58723.355974,20.141,0.3023,False,cyan,1
58724.17,19.9,0.19,False,r,1
58724.17,19.9,0.19,False,r,1
58725.21,19.96,0.2,False,i,1
58727.249468,20.3277,0.3524,False,cyan,1
58728.14,20.45,0.21,False,g,1
58728.19,19.94,0.13,False,r,1
58733.14,20.03,0.2,False,i,1
58744.85,20.32,0.07,False,r,1
58744.85,20.8,0.11,False,g,1
58744.86,20.17,0.09,False,i,1
58745.260066,19.4134,,True,orange,0
