mjd,mag,mag_err,UL,filter,detected
58481.5,20.36,inf,True,r,0
58503.480705,18.5333,inf,True,r,0
58506.546435,18.444,inf,True,r,0
58509.459826,19.0232,inf,True,r,0
58512.472974,17.0161,inf,True,r,0
58524.45,20.09,0.2,False,r,1
58524.452951,20.0804,0.1952,False,r,1
58539.334919,18.85,inf,True,r,0
58543.33,19.6,inf,True,r,0
58557.26,19.29,0.19,False,r,1
58557.264317,19.2798,0.1948,False,r,1
58560.355532,19.2116,0.1451,False,r,1
58560.36,19.22,0.15,False,r,1
58563.201,19.5349,inf,True,K,0
58563.201,19.3751,0.02,False,r,1
58563.201,19.8807,0.11,False,J,1
58563.201,19.299,0.02,False,g,1
58563.201,19.7205,0.05,False,z,1
58563.201,20.3058,0.24,False,H,1
58563.201,19.6398,0.05,False,i,1
58565.1,19.35,0.26,False,g,1
58565.11,19.23,0.17,False,i,1
58565.11,19.23,0.18,False,r,1
58565.11,19.54,inf,True,z,0
58565.98,19.31,0.13,False,r,1
58565.98,19.15,0.09,False,g,1
58565.98,19.52,0.13,False,i,1
58565.98,19.42,0.18,False,z,1
58568.23,19.81,0.27,False,g,1
58568.29,19.51,0.14,False,r,1
58568.293738,19.4788,0.141,False,r,1
58570.53,19.58,0.31,False,u,1
58570.53,20.06,0.25,False,u,1
58570.53,21.49,inf,True,UVW1,0
58570.54,18.75,0.3,False,g,1
58570.54,21.72,0.29,False,UVW2,1
58570.54,22.06,inf,True,UVM2,0
58573.255509,19.4592,0.1613,False,r,1
58573.26,19.51,0.16,False,r,1
58573.3,19.78,inf,True,g,0
58575.71,20.84,0.36,False,UVW1,1
58575.72,19.23,inf,True,u,0
58575.72,20.0,inf,True,u,0
58575.72,21.63,inf,True,UVW2,0
58575.73,21.85,inf,True,UVM2,0
58581.25,19.62,0.13,False,r,1
58581.252916,19.5814,0.1327,False,r,1
58581.3,19.94,0.24,False,g,1
58583.99,19.65,0.12,False,r,1
58583.99,19.68,0.22,False,z,1
58583.99,19.72,0.12,False,i,1
58583.99,19.8,0.08,False,g,1
58584.229826,19.6202,inf,True,g,0
58584.296504,19.4633,0.2086,False,r,1
58584.3,19.49,0.21,False,r,1
58587.230682,18.8558,inf,True,g,0
58587.27221,19.2457,inf,True,r,0
58592.20493,18.2075,inf,True,g,0
58592.248923,18.7076,inf,True,r,0
58599.189594,20.0617,inf,True,g,0
58599.9,20.03,0.17,False,i,1
58599.9,20.05,0.09,False,r,1
58599.9,20.28,0.2,False,g,1
58600.28,20.05,0.05,False,r,1
58602.209004,17.3297,inf,True,g,0
58607.229363,20.0594,0.212,False,r,1
58607.23,20.09,0.21,False,r,1
58609.91,20.36,0.23,False,r,1
58609.91,20.36,0.25,False,i,1
58609.91,20.91,inf,True,g,0
58622.87,20.16,inf,True,g,0
58622.87,20.22,inf,True,r,0
58622.88,20.44,inf,True,i,0
58632.88,20.41,inf,True,r,0
58632.88,20.61,inf,True,i,0
58632.88,20.78,inf,True,g,0
