mjd,mag,mag_err,UL,filter,detected
58488.546902,20.6063,,True,cyan,0
58492.570868,20.7784,,True,cyan,0
58500.500632,20.2414,,True,orange,0
58503.55,19.66,,True,g,0
58504.26,20.58,,True,r,0
58505.13,20.25,,True,r,0
58506.43,20.14,,True,r,0
58507.2,20.84,,True,g,0
58507.25,20.92,,True,r,0
58508.2,21.38,,True,g,0
58508.24,21.19,,True,r,0
58509.28,20.77,,True,r,0
58510.2,20.09,,True,g,0
58510.471683,20.4602,,True,orange,0
58511.18,21.17,,True,g,0
58513.42,21.76,,True,r,0
58514.41,21.05,,True,r,0
58518.464371,19.9937,,True,orange,0
58520.538479,19.8052,,True,cyan,0
58522.21,21.48,,True,r,0
58522.43,21.36,,True,g,0
58523.22,21.48,,True,r,0
58526.19,20.68,,True,r,0
58526.43,20.41,,True,g,0
58526.473592,19.965,,True,orange,0
58538.26,20.33,,True,g,0
58539.23,21.01,,True,g,0
58540.17,21.67,,True,g,0
58540.21,21.48,,True,r,0
58541.25,21.19,,True,g,0
58541.28,20.42,,True,r,0
58542.44091,19.9218,,True,orange,0
58543.25,21.05,,True,r,0
58546.449044,19.9851,,True,orange,0
58547.2,21.53,,True,r,0
58550.413716,20.3852,,True,orange,0
58554.39912,20.2244,,True,orange,0
58556.17,20.75,,True,r,0
58557.24,20.51,,True,r,0
58557.557997,21.3752,,True,G,0
58558.28,19.91,0.2,False,r,1
58558.38,20.56,,True,g,0
58559.22,20.01,0.17,False,r,1
58559.3,19.8,0.21,False,g,1
58560.2,19.78,0.17,False,g,1
58560.33,19.67,0.15,False,r,1
58561.22,20.02,,True,g,0
58562.16,19.55,0.19,False,r,1
58562.2,20.01,,True,g,0
58567.2,19.09,0.17,False,g,1
58567.22,19.12,0.1,False,r,1
58567.22,19.16,0.05,False,r,1
58568.2,19.05,0.04,False,g,1
58568.390559,18.9936,0.1334,False,orange,1
58572.362591,18.8323,0.1182,False,orange,1
58573.24,18.56,0.09,False,r,1
58573.24,18.69,0.05,False,r,1
58574.17,18.51,0.07,False,g,1
58574.2,18.52,0.07,False,r,1
58575.22,18.64,0.1,False,r,1
58575.26,18.49,0.03,False,g,1
58576.394602,18.435,0.0404,False,cyan,1
58578.35992,18.6043,0.1,False,orange,1
58580.378495,18.4815,0.0335,False,cyan,1
58581.2,18.44,0.03,False,g,1
58581.2,18.45,0.07,False,g,1
58581.24,18.36,0.03,False,r,1
58581.24,18.41,0.07,False,r,1
58582.16,18.46,0.03,False,g,1
58582.25,18.37,0.03,False,r,1
58582.35133,18.4827,0.0958,False,orange,1
58584.17,18.31,0.04,False,r,1
58584.22,18.42,0.04,False,g,1
58584.22,18.44,0.08,False,g,1
58585.16,18.34,0.03,False,r,1
58585.21,18.43,0.03,False,g,1
58586.19,18.46,0.04,False,g,1
58586.2,18.33,0.03,False,r,1
58587.16,18.31,0.05,False,r,1
58587.16,18.36,0.08,False,r,1
58587.2,18.49,0.04,False,g,1
58587.2,18.49,0.08,False,g,1
58588.16,18.26,0.06,False,r,1
58588.2,18.49,0.16,False,g,1
58588.372026,18.5121,0.1851,False,orange,1
58590.359832,18.3613,0.1881,False,orange,1
58591.02,18.32,0.09,False,r,1
58591.02,18.35,0.11,False,i,1
58591.02,18.5,0.14,False,z,1
58591.02,18.77,0.12,False,g,1
58591.15,18.36,0.04,False,r,1
58591.17,18.63,0.13,False,g,1
58591.17,18.64,0.07,False,g,1
58592.16,18.66,0.06,False,g,1
58592.24,18.34,0.04,False,r,1
58592.279509,18.5752,0.0276,False,G,1
58592.353509,18.5652,0.0275,False,G,1
58594.17,18.49,0.03,False,r,1
58594.17,18.54,0.08,False,r,1
58594.2,18.91,0.09,False,g,1
58594.2,18.92,0.14,False,g,1
58594.332825,18.3613,0.1328,False,orange,1
58596.18,19.18,0.05,False,g,1
58596.347006,18.6055,0.1051,False,orange,1
58598.22,19.31,0.05,False,g,1
58598.22,19.34,0.12,False,g,1
58598.27,18.7,0.04,False,r,1
58598.32609,18.6626,0.1211,False,orange,1
58599.16,18.76,0.04,False,r,1
58600.21,19.58,0.06,False,g,1
58600.340085,18.6009,0.1391,False,orange,1
58600.88,18.65,0.06,False,i,1
58600.88,18.8,0.09,False,z,1
58600.88,18.83,0.06,False,r,1
58600.88,19.59,0.05,False,g,1
58600.88,20.57,,True,u,0
58601.27,18.9,0.1,False,r,1
58601.27,18.94,0.04,False,r,1
58602.19,19.72,0.07,False,g,1
58602.88,18.75,0.06,False,i,1
58602.88,18.88,0.05,False,r,1
58602.88,18.91,0.1,False,z,1
58602.88,19.86,0.06,False,g,1
58602.88,20.82,,True,u,0
58604.339363,19.4773,0.1078,False,cyan,1
58605.22,20.18,0.12,False,g,1
58606.16,20.23,0.27,False,g,1
58606.16,20.41,0.15,False,g,1
58606.18,19.04,0.11,False,r,1
58606.18,19.26,0.05,False,r,1
58608.2,20.48,0.14,False,g,1
58608.22,19.26,0.06,False,r,1
58610.332475,19.2861,0.1297,False,orange,1
58612.261323,19.542,0.1401,False,cyan,1
58614.252025,19.2887,0.1603,False,orange,1
58616.256912,19.6222,0.2919,False,orange,1
58617.18,20.75,,True,g,0
58617.22,19.92,0.13,False,r,1
58619.22,19.8,,True,g,0
58650.17,20.25,,True,r,0
58650.18,20.43,,True,r,0
58650.18,20.52,,True,r,0
58650.18,20.53,,True,r,0
58653.17,20.28,,True,r,0
58653.18,20.59,,True,r,0
58653.18,20.67,,True,r,0
