mjd,mag,mag_err,UL,filter,detected
58518.652173,19.9194,inf,True,orange,0
58538.629675,20.0546,inf,True,orange,0
58542.646995,19.8681,inf,True,orange,0
58546.63754,20.2268,inf,True,orange,0
58550.611506,20.0826,inf,True,orange,0
58554.574178,20.0963,inf,True,orange,0
58557.390625,20.6691,0.4727,False,r,1
58557.480468,20.4824,0.2802,False,g,1
58558.603807,20.0757,inf,True,orange,0
58561.308593,20.412,0.5335,False,g,1
58568.566602,20.0896,inf,True,orange,0
58570.590367,19.6861,inf,True,orange,0
58572.537564,19.8624,inf,True,orange,0
58574.600739,19.4766,inf,True,orange,0
58576.589432,19.9678,inf,True,cyan,0
58578.574376,19.4275,inf,True,orange,0
58580.355468,20.0884,0.1185,False,r,1
58580.421875,19.7003,0.076,False,g,1
58580.56719,20.0259,0.2132,False,cyan,1
58581.304687,19.7786,0.2593,False,g,1
58582.367187,19.8416,0.1121,False,g,1
58582.535131,20.0107,0.3451,False,orange,1
58583.304687,19.8862,0.1566,False,r,1
58583.332031,19.8263,0.1227,False,r,1
58583.339843,20.0797,0.1389,False,r,1
58583.347656,20.1953,0.1442,False,r,1
58583.367187,19.6848,0.083,False,g,1
58583.390625,19.4929,0.0926,False,g,1
58583.390625,19.6773,0.136,False,g,1
58583.414062,19.7299,0.0979,False,g,1
58584.285156,19.561,0.0947,False,g,1
58584.332031,19.7961,0.2382,False,r,1
58584.367187,19.9968,0.1053,False,r,1
58584.378906,19.9257,0.2495,False,r,1
58586.363281,20.0438,0.2949,False,r,1
58586.40625,19.6915,0.1038,False,g,1
58586.410156,19.7322,0.1055,False,g,1
58586.433593,19.5857,0.201,False,g,1
58587.316406,19.7345,0.1326,False,g,1
58587.445312,19.6896,0.1101,False,g,1
58588.546302,19.9518,0.3542,False,orange,1
58590.543729,19.3243,0.3418,False,orange,1
58591.242187,19.4062,0.2497,False,g,1
58591.265625,19.357,0.5061,False,g,1
58591.410156,19.7426,0.1846,False,r,1
58591.417968,19.7401,0.29,False,r,1
58594.238281,19.5226,0.2228,False,g,1
58594.265625,19.5135,0.2092,False,g,1
58594.289062,19.1992,0.1951,False,g,1
58594.351562,19.8534,0.2122,False,r,1
58596.238281,19.5356,0.1242,False,g,1
58596.246093,19.5031,0.0867,False,g,1
58596.28125,19.5818,0.2578,False,r,1
58596.300781,19.478,0.1031,False,r,1
58596.457031,19.3073,0.318,False,g,1
58596.464843,19.3689,0.1162,False,g,1
58596.528152,19.9947,0.2991,False,orange,1
58597.289062,19.4276,0.2108,False,g,1
58597.300781,19.346,0.0691,False,g,1
58597.394531,19.7482,0.2823,False,r,1
58598.484375,19.6904,0.2329,False,r,1
58598.49078,19.8856,0.2012,False,orange,1
58600.529263,19.6107,0.3056,False,orange,1
58602.03,19.86,0.11,False,u,1
58602.03,19.52,0.04,False,g,1
58602.03,19.56,0.07,False,r,1
58602.04,19.75,0.07,False,i,1
58602.289062,19.7112,0.1052,False,r,1
58604.504114,19.6503,0.1486,False,cyan,1
58606.265625,19.6633,0.0976,False,r,1
58606.300781,19.9314,0.2555,False,r,1
58606.386718,19.5606,0.0735,False,g,1
58606.414062,19.6435,0.1852,False,g,1
58606.52855,19.715,0.2056,False,orange,1
