mjd,mag,mag_err,UL,filter,detected
58502.43,20.21,inf,True,r,0
58503.36,19.84,inf,True,r,0
58503.37,20.08,inf,True,r,0
58503.41,20.27,inf,True,r,0
58503.43,20.48,inf,True,r,0
58503.44,20.4,inf,True,r,0
58503.46,19.98,inf,True,r,0
58507.28,20.74,inf,True,r,0
58507.47,19.87,inf,True,g,0
58510.27,20.61,inf,True,r,0
58510.496228,19.8897,inf,True,orange,0
58511.42,21.35,inf,True,r,0
58512.49113,19.8935,inf,True,orange,0
58513.38,19.43,inf,True,g,0
58513.42,21.02,inf,True,r,0
58516.49816,19.8457,inf,True,orange,0
58518.498992,21.17,inf,True,cyan,0
58520.487945,20.2143,inf,True,orange,0
58523.21,21.31,inf,True,r,0
58523.25,21.61,inf,True,r,0
58523.26,21.42,inf,True,r,0
58523.26,21.46,inf,True,r,0
58523.26,21.63,inf,True,r,0
58523.27,21.49,inf,True,r,0
58523.27,21.5,inf,True,r,0
58523.27,21.63,inf,True,r,0
58523.27,21.65,inf,True,r,0
58523.28,21.58,inf,True,r,0
58523.28,21.52,inf,True,r,0
58523.28,21.55,inf,True,r,0
58523.29,21.45,inf,True,r,0
58523.29,21.59,inf,True,r,0
58523.29,21.63,inf,True,r,0
58523.29,21.66,inf,True,r,0
58523.3,21.55,inf,True,r,0
58523.3,21.57,inf,True,r,0
58523.3,21.61,inf,True,r,0
58523.31,21.49,inf,True,r,0
58523.31,21.54,inf,True,r,0
58523.32,21.53,inf,True,r,0
58523.32,21.63,inf,True,r,0
58523.32,21.31,inf,True,r,0
58523.32,21.46,inf,True,r,0
58523.33,21.32,inf,True,r,0
58523.33,21.53,inf,True,r,0
58523.33,21.57,inf,True,r,0
58523.34,21.53,inf,True,r,0
58523.34,21.62,inf,True,r,0
58523.34,21.68,inf,True,r,0
58523.35,21.52,inf,True,r,0
58523.35,21.56,inf,True,r,0
58523.35,21.58,inf,True,r,0
58523.35,21.64,inf,True,r,0
58523.36,21.51,inf,True,r,0
58523.36,21.66,inf,True,r,0
58523.36,21.5,inf,True,r,0
58523.37,21.58,inf,True,r,0
58523.37,21.33,inf,True,r,0
58523.37,21.55,inf,True,r,0
58523.38,21.22,inf,True,r,0
58523.38,21.24,inf,True,r,0
58523.38,21.36,inf,True,r,0
58523.38,21.53,inf,True,r,0
58523.39,21.28,inf,True,r,0
58523.39,21.32,inf,True,r,0
58523.39,21.57,inf,True,r,0
58523.4,20.34,inf,True,r,0
58523.4,20.53,inf,True,r,0
58523.4,21.22,inf,True,r,0
58523.4,21.29,inf,True,r,0
58523.41,19.19,inf,True,r,0
58523.41,19.9,inf,True,r,0
58523.41,20.78,inf,True,r,0
58524.25,21.41,inf,True,r,0
58524.26,21.63,inf,True,r,0
58524.26,21.46,inf,True,r,0
58524.26,21.63,inf,True,r,0
58524.27,21.42,inf,True,r,0
58524.27,21.47,inf,True,r,0
58524.27,21.48,inf,True,r,0
58524.27,21.51,inf,True,r,0
58524.28,21.5,inf,True,r,0
58524.28,21.51,inf,True,r,0
58524.28,21.65,inf,True,r,0
58524.29,21.52,inf,True,r,0
58524.29,21.53,inf,True,r,0
58524.29,21.55,inf,True,r,0
58524.29,21.59,inf,True,r,0
58524.3,21.49,inf,True,r,0
58524.3,21.59,inf,True,r,0
58524.3,21.49,inf,True,r,0
58524.31,21.5,inf,True,r,0
58524.31,21.49,inf,True,r,0
58524.31,21.49,inf,True,r,0
58524.32,21.4,inf,True,r,0
58524.32,21.49,inf,True,r,0
58524.32,21.58,inf,True,r,0
58524.32,21.6,inf,True,r,0
58524.33,21.49,inf,True,r,0
58524.33,21.55,inf,True,r,0
58524.33,21.62,inf,True,r,0
58524.34,21.42,inf,True,r,0
58524.34,21.46,inf,True,r,0
58524.34,21.51,inf,True,r,0
58524.34,21.52,inf,True,r,0
58524.35,21.49,inf,True,r,0
58524.35,21.67,inf,True,r,0
58524.35,21.39,inf,True,r,0
58524.36,21.31,inf,True,r,0
58524.36,21.45,inf,True,r,0
58524.36,21.48,inf,True,r,0
58524.37,21.2,inf,True,r,0
58524.37,21.23,inf,True,r,0
58524.37,21.26,inf,True,r,0
58524.37,21.3,inf,True,r,0
58524.38,20.96,inf,True,r,0
58524.38,21.13,inf,True,r,0
58524.38,21.15,inf,True,r,0
58524.39,21.27,inf,True,r,0
58524.39,21.29,inf,True,r,0
58524.39,21.24,inf,True,r,0
58524.39,21.25,inf,True,r,0
58524.4,21.31,inf,True,r,0
58524.4,21.14,inf,True,r,0
58524.4,21.29,inf,True,r,0
58524.41,21.22,inf,True,r,0
58524.41,21.33,inf,True,r,0
58524.41,21.09,inf,True,r,0
58524.42,21.34,inf,True,r,0
58526.23,21.06,inf,True,r,0
58526.23,21.16,inf,True,r,0
58526.24,21.02,inf,True,r,0
58526.24,21.06,inf,True,r,0
58526.24,21.2,inf,True,r,0
58526.25,20.99,inf,True,r,0
58526.25,21.19,inf,True,r,0
58526.25,21.19,inf,True,r,0
58526.25,21.24,inf,True,r,0
58526.26,21.13,inf,True,r,0
58526.26,21.16,inf,True,r,0
58526.26,21.21,inf,True,r,0
58526.27,21.32,inf,True,r,0
58526.27,21.36,inf,True,r,0
58526.27,21.27,inf,True,r,0
58526.28,21.17,inf,True,r,0
58526.28,21.22,inf,True,r,0
58526.28,21.27,inf,True,r,0
58526.28,21.46,inf,True,r,0
58526.29,21.25,inf,True,r,0
58526.29,21.31,inf,True,r,0
58526.29,21.33,inf,True,r,0
58526.3,21.2,inf,True,r,0
58526.3,21.23,inf,True,r,0
58526.3,21.15,inf,True,r,0
58526.3,21.18,inf,True,r,0
58526.31,21.3,inf,True,r,0
58526.31,21.13,inf,True,r,0
58526.31,21.22,inf,True,r,0
58526.32,21.19,inf,True,r,0
58526.32,21.27,inf,True,r,0
58526.32,21.3,inf,True,r,0
58526.32,21.38,inf,True,r,0
58526.33,21.23,inf,True,r,0
58526.33,21.25,inf,True,r,0
58526.33,21.28,inf,True,r,0
58526.34,21.22,inf,True,r,0
58526.34,21.23,inf,True,r,0
58526.34,21.3,inf,True,r,0
58526.35,21.1,inf,True,r,0
58526.35,21.12,inf,True,r,0
58526.35,20.99,inf,True,r,0
58526.35,21.06,inf,True,r,0
58526.36,20.97,inf,True,r,0
58526.36,20.98,inf,True,r,0
58526.36,20.94,inf,True,r,0
58526.37,20.58,inf,True,r,0
58526.37,20.68,inf,True,r,0
58526.37,20.92,inf,True,r,0
58526.38,20.51,inf,True,r,0
58526.38,20.58,inf,True,r,0
58526.38,20.63,inf,True,r,0
58526.38,20.64,inf,True,r,0
58526.39,20.19,inf,True,r,0
58526.39,20.45,inf,True,r,0
58526.39,20.51,inf,True,r,0
58540.444807,19.4393,inf,True,orange,0
58541.25,20.8,inf,True,g,0
58544.441182,19.5188,inf,True,orange,0
58546.296493,20.4887,0.2897,False,r,1
58546.3,20.52,0.17,False,r,1
58556.21,19.84,0.14,False,r,1
58556.34,19.7,0.13,False,g,1
58556.34155,19.6074,0.193,False,g,1
58556.421187,19.3206,inf,True,orange,0
58559.21,19.66,0.18,False,r,1
58559.211851,19.7251,0.2812,False,r,1
58559.295092,19.4348,0.2194,False,g,1
58559.3,19.51,0.17,False,g,1
58568.21,19.24,0.05,False,g,1
58568.211828,19.2411,0.1114,False,g,1
58568.395621,19.4327,0.1677,False,orange,1
58570.396653,19.5113,0.1738,False,orange,1
58572.21,19.38,0.19,False,r,1
58572.21,19.67,inf,True,r,0
58572.210706,19.3909,0.284,False,r,1
58572.389078,19.5069,0.2494,False,orange,1
58574.392143,19.2063,0.144,False,cyan,1
58575.25,19.36,0.08,False,g,1
58575.25,19.38,0.14,False,g,1
58575.25471,19.3774,0.1358,False,g,1
58576.387236,19.3914,0.156,False,orange,1
58578.38848,19.2232,0.083,False,cyan,1
58580.363061,19.417,0.3337,False,orange,1
58581.21,19.18,0.06,False,g,1
58581.211817,19.1953,0.1213,False,g,1
58582.380844,19.2664,0.0626,False,cyan,1
58584.17,19.25,0.08,False,r,1
58584.170868,19.2681,0.1716,False,r,1
58584.226585,19.2267,0.1416,False,g,1
58584.23,19.25,0.08,False,g,1
58584.371285,19.3087,0.216,False,orange,1
58591.01,19.23,0.14,False,r,1
58591.01,19.25,0.14,False,i,1
58591.01,19.57,0.23,False,g,1
58591.02,19.36,0.19,False,z,1
58593.382337,19.5043,0.335,False,orange,1
58594.15,19.57,0.08,False,r,1
58594.154155,19.5163,0.1668,False,r,1
58594.16,19.37,0.07,False,r,1
58594.189675,19.4796,0.1532,False,g,1
58594.19,19.47,0.12,False,g,1
58595.257997,19.4539,0.04,False,w,1
58596.346903,19.1946,0.1999,False,orange,1
58598.147789,19.4825,0.1483,False,r,1
58598.15,19.47,0.07,False,r,1
58598.346987,19.4021,0.2393,False,orange,1
58600.335945,19.604,0.2771,False,orange,1
58601.258935,19.6934,0.1756,False,r,1
58601.26,19.72,0.09,False,r,1
58606.15,19.94,0.14,False,g,1
58606.150937,19.9698,0.186,False,g,1
58606.17,19.79,0.09,False,r,1
58606.170266,19.7509,0.172,False,r,1
58609.15,19.88,0.11,False,r,1
58610.338693,20.0643,0.149,False,cyan,1
58617.234375,20.1046,0.259,False,r,1
58618.338,19.6369,0.3231,False,orange,1
58628.250499,19.4762,inf,True,orange,0
58630.253395,19.4639,inf,True,orange,0
58632.264755,19.4211,inf,True,orange,0
58634.260743,20.2136,inf,True,cyan,0
58648.264757,19.259,inf,True,orange,0
