mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
58511.225,21.4657,,True,G,AB,0,G,5850.88
58575.509725,20.8659,,True,cyan,AB,0,cyan,5182.42
58577.49787,20.3182,,True,orange,AB,0,orange,6629.82
58579.509669,20.3964,,True,cyan,AB,0,cyan,5182.42
58581.494311,19.9447,,True,orange,AB,0,orange,6629.82
58583.463208,20.4699,,True,cyan,AB,0,cyan,5182.42
58585.35185,20.3471,,True,orange,AB,0,orange,6629.82
58595.454632,19.8724,,True,orange,AB,0,orange,6629.82
58598.475116,20.6272,,True,orange,AB,0,orange,6629.82
58599.459113,20.0461,,True,orange,AB,0,orange,6629.82
58603.464467,20.3079,0.3465,False,cyan,AB,1,cyan,5182.42
58607.467396,19.5348,0.1451,False,cyan,AB,1,cyan,5182.42
58609.028609,19.1257,0.0334,False,G,AB,1,G,5850.88
58609.10262,19.2557,0.0353,False,G,AB,1,G,5850.88
58609.42911,19.4938,0.2249,False,orange,AB,1,orange,6629.82
58611.462189,18.912,0.0945,False,cyan,AB,1,cyan,5182.42
58613.387891,19.0159,0.1518,False,orange,AB,1,orange,6629.82
58615.329214,19.0966,0.1495,False,orange,AB,1,orange,6629.82
58615.606039,18.8257,0.0294,False,G,AB,1,G,5850.88
58615.78219,18.8357,0.0295,False,G,AB,1,G,5850.88
58615.85619,18.8057,0.0292,False,G,AB,1,G,5850.88
58617.37771,18.9165,0.164,False,orange,AB,1,orange,6629.82
58619.360791,18.9039,0.2397,False,orange,AB,1,orange,6629.82
58623.372701,18.7679,0.1674,False,orange,AB,1,orange,6629.82
58627.499139,18.6971,0.1117,False,orange,AB,1,orange,6629.82
58629.349109,18.7757,0.1167,False,orange,AB,1,orange,6629.82
58631.392772,18.6779,0.099,False,orange,AB,1,orange,6629.82
58633.388395,18.6636,0.1041,False,orange,AB,1,orange,6629.82
58634.393993,18.7066,0.02,False,w,AB,1,w,5980.7
58634.394053,18.6129,0.016,False,w,AB,1,w,5980.7
58634.394053,18.7088,0.017,False,w,AB,1,w,5980.7
58634.406524,18.6011,0.021,False,w,AB,1,w,5980.7
58634.406524,18.6176,0.02,False,w,AB,1,w,5980.7
58634.419024,18.6058,0.023,False,w,AB,1,w,5980.7
58634.419024,18.7419,0.024,False,w,AB,1,w,5980.7
58634.431501,18.6308,0.022,False,w,AB,1,w,5980.7
58634.431501,18.6653,0.022,False,w,AB,1,w,5980.7
58635.371216,18.5896,0.0692,False,cyan,AB,1,cyan,5182.42
58637.358528,18.8654,0.2676,False,orange,AB,1,orange,6629.82
58639.357478,18.6603,0.0648,False,cyan,AB,1,cyan,5182.42
58641.328433,18.824,0.1228,False,orange,AB,1,orange,6629.82
58643.357336,18.8647,0.1199,False,orange,AB,1,orange,6629.82
58645.294709,18.9225,0.1529,False,orange,AB,1,orange,6629.82
58647.329444,19.114,0.1721,False,orange,AB,1,orange,6629.82
58649.39035,19.115,0.1991,False,orange,AB,1,orange,6629.82
58653.289124,19.4462,0.2322,False,orange,AB,1,orange,6629.82
58658.810819,20.0757,0.0513,False,G,AB,1,G,5850.88
58659.331639,19.9863,0.3371,False,orange,AB,1,orange,6629.82
58663.353284,19.7821,,True,cyan,AB,0,cyan,5182.42
58679.313171,19.8378,,True,orange,AB,0,orange,6629.82
58689.352176,19.6857,,True,orange,AB,0,orange,6629.82
58691.365132,20.2364,,True,cyan,AB,0,cyan,5182.42
58693.255563,19.7461,,True,orange,AB,0,orange,6629.82
58707.301131,20.019,,True,cyan,AB,0,cyan,5182.42
58713.264897,19.9164,,True,orange,AB,0,orange,6629.82
