mjd,mag,mag_err,UL,filter,detected
58600.32,22.39,,True,r,0
58600.33,22.31,,True,g,0
58600.44,22.36,,True,r,0
58600.48,21.57,,True,r,0
58601.33,22.52,,True,g,0
58601.44,22.46,,True,r,0
58605.36,22.36,,True,g,0
58605.48,20.58,,True,i,0
58606.37,21.4,,True,r,0
58606.47,21.79,,True,g,0
58607.44,22.83,,True,g,0
58607.44,21.65,,True,g,0
58607.44,21.66,,True,g,0
58607.45,21.28,,True,r,0
58607.45,21.38,,True,r,0
58607.46,20.89,,True,i,0
58607.46,20.99,,True,i,0
58612.36,21.19,,True,r,0
58612.36,22.43,,True,r,0
58612.37,21.77,,True,g,0
58612.37,22.83,,True,g,0
58612.37,22.83,,True,g,0
58612.38,20.98,,True,i,0
58612.38,22.02,,True,i,0
58612.38,22.04,,True,i,0
58612.563198,20.1703,,True,cyan,0
58616.34,20.78,,True,i,0
58616.564642,19.7755,,True,orange,0
58617.37,21.26,,True,r,0
58617.45,21.94,,True,g,0
58618.567653,19.6124,,True,orange,0
58620.605449,19.7605,,True,orange,0
58622.548645,19.4317,,True,orange,0
58626.554063,19.4196,,True,orange,0
58627.41,21.44,,True,r,0
58627.45,20.96,,True,i,0
58628.37,21.3,,True,r,0
58628.38,21.39,,True,r,0
58628.41,21.08,,True,r,0
58628.45,20.96,,True,g,0
58628.47,20.86,,True,g,0
58630.575969,19.4365,,True,orange,0
58633.34,20.67,0.14,False,r,1
58633.45,20.67,0.16,False,g,1
58634.545327,19.4813,,True,orange,0
58636.3,20.48,0.27,False,i,1
58636.41,20.17,0.1,False,r,1
58636.44,20.21,0.08,False,g,1
58636.519013,19.773,0.1302,False,cyan,1
58639.42,19.93,0.07,False,g,1
58640.3,20.14,0.19,False,i,1
58642.43,19.75,0.06,False,g,1
58642.48,19.77,0.12,False,r,1
58642.537676,19.3212,0.3235,False,orange,1
58644.24,19.67,0.16,False,i,1
58645.31,19.56,0.08,False,r,1
58645.33,19.65,0.09,False,r,1
58645.43,19.47,0.06,False,g,1
58645.43,19.52,0.06,False,g,1
58645.45,19.52,0.06,False,g,1
58648.3,19.73,0.19,False,i,1
58648.603589,19.4507,0.2891,False,orange,1
58649.28,19.32,0.1,False,r,1
58649.36,19.4,0.14,False,g,1
58650.3,19.18,0.09,False,r,1
58650.32,19.5,0.11,False,r,1
58650.34,19.31,0.1,False,r,1
58650.45,19.51,0.14,False,g,1
58650.47,19.3,0.12,False,g,1
58650.549008,19.1425,0.2485,False,orange,1
58652.43,19.66,0.16,False,r,1
58652.47,19.13,0.19,False,g,1
58652.47,19.15,0.14,False,g,1
58653.47,19.83,0.23,False,i,1
58654.32,19.33,0.1,False,g,1
58654.43,19.44,0.12,False,r,1
58655.3,19.23,0.12,False,g,1
58655.34,19.36,0.1,False,r,1
58656.546405,19.4836,0.2594,False,orange,1
58657.4,19.34,0.06,False,r,1
58657.41,19.45,0.1,False,r,1
58657.41,19.53,0.1,False,r,1
58657.43,19.45,0.08,False,r,1
58657.45,19.15,0.07,False,g,1
58658.39,19.17,0.05,False,r,1
58658.43,19.51,0.1,False,i,1
58658.48,19.16,0.09,False,g,1
58658.514395,19.2821,0.2666,False,orange,1
58660.43,19.38,0.12,False,g,1
58660.48,19.3,0.08,False,r,1
58661.33,19.4,0.06,False,r,1
58661.34,19.29,0.06,False,r,1
58661.34,19.39,0.06,False,r,1
58661.45,19.32,0.06,False,g,1
58661.46,19.17,0.06,False,g,1
58662.33,19.32,0.05,False,r,1
58662.33,19.33,0.05,False,r,1
58662.35,19.43,0.09,False,i,1
58662.45,19.26,0.05,False,g,1
58663.35,19.22,0.05,False,r,1
58663.35,19.29,0.04,False,r,1
58663.43,19.31,0.1,False,r,1
58663.45,19.29,0.1,False,g,1
58663.47,19.3,0.08,False,g,1
58664.501197,19.2503,0.0714,False,cyan,1
58665.24,19.25,0.1,False,g,1
58665.43,19.4,0.16,False,r,1
58666.45,19.6,0.11,False,i,1
58667.31,19.41,0.06,False,r,1
58667.35,19.31,0.05,False,g,1
58667.43,19.29,0.05,False,g,1
58668.31,19.33,0.1,False,g,1
58668.35,19.36,0.11,False,r,1
58668.466396,19.2831,0.111,False,cyan,1
58669.41,19.37,0.05,False,r,1
58669.45,19.26,0.05,False,g,1
58669.47,19.37,0.06,False,g,1
58669.531142,19.4847,0.1892,False,orange,1
58670.39,19.28,0.05,False,r,1
58670.41,19.51,0.1,False,i,1
58670.42,19.27,0.05,False,g,1
58670.44,19.38,0.05,False,g,1
58671.41,19.32,0.25,False,r,1
58672.22,19.29,0.05,False,r,1
58672.32,19.39,0.05,False,g,1
58672.35,19.42,0.05,False,g,1
58673.33,19.37,0.04,False,g,1
58673.35,19.42,0.04,False,g,1
58674.35,19.39,0.05,False,g,1
58674.35,19.49,0.12,False,g,1
58674.43,19.49,0.05,False,g,1
58675.22,19.55,0.13,False,i,1
58675.28,19.32,0.06,False,r,1
58675.471715,19.4221,0.2511,False,orange,1
58676.28,19.26,0.08,False,r,1
58676.43,19.56,0.06,False,g,1
58676.605912,19.5446,0.2589,False,orange,1
58677.26,19.41,0.08,False,r,1
58677.26,19.51,0.14,False,r,1
58677.46,19.54,0.06,False,g,1
58677.48,19.63,0.11,False,g,1
58678.24,19.42,0.1,False,r,1
58678.24,19.67,0.19,False,r,1
58678.43,19.66,0.12,False,g,1
58678.43,19.7,0.18,False,g,1
58678.46,19.72,0.08,False,g,1
58679.24,19.52,0.1,False,r,1
58679.24,19.59,0.18,False,r,1
58679.26,19.64,0.11,False,i,1
58679.34,19.84,0.2,False,g,1
58680.28,19.53,0.2,False,r,1
58680.31,19.86,0.14,False,r,1
58680.31,19.93,0.16,False,r,1
58680.443338,19.4167,0.2827,False,orange,1
58680.46,19.64,,True,g,0
58682.22,19.67,0.21,False,g,1
58682.443628,18.9372,0.3455,False,orange,1
58683.26,19.78,0.18,False,r,1
58684.25,19.74,0.2,False,r,1
58684.28,20.02,,True,g,0
58685.3,19.74,0.13,False,i,1
58685.35,19.75,0.2,False,r,1
58685.38,20.24,,True,g,0
58688.38,19.97,0.2,False,r,1
58688.429391,19.7148,0.3081,False,orange,1
58690.32,20.13,0.17,False,i,1
58690.37,20.04,0.21,False,r,1
58690.425401,19.917,0.3589,False,orange,1
58691.3,20.42,0.11,False,g,1
58691.3,20.5,0.23,False,g,1
58691.32,20.39,0.11,False,g,1
58691.38,20.01,0.12,False,r,1
58691.38,20.02,0.2,False,r,1
58692.34,20.33,,True,r,0
58692.435782,20.1158,0.1929,False,cyan,1
58693.28,20.48,0.13,False,g,1
58693.3,20.87,,True,g,0
58693.3,21.06,,True,g,0
58693.32,20.69,0.15,False,g,1
58693.35,20.07,0.1,False,r,1
58693.35,20.11,0.22,False,r,1
58695.29,20.2,,True,r,0
58695.32,21.13,,True,g,0
58696.27,20.97,0.18,False,g,1
58696.29,20.36,0.22,False,r,1
58696.34,20.22,0.1,False,r,1
58697.39,20.12,0.1,False,r,1
58697.45,20.13,0.16,False,i,1
58698.41,20.3,0.17,False,r,1
58699.3,20.29,0.24,False,r,1
58699.32,20.83,,True,g,0
58700.26,21.18,0.25,False,g,1
58700.29,20.49,0.23,False,r,1
58700.39,20.44,0.14,False,r,1
58700.509413,20.1706,0.241,False,cyan,1
58701.3,20.55,0.26,False,r,1
58701.39,20.19,0.12,False,r,1
58701.41,20.23,0.19,False,i,1
58702.3,20.31,0.19,False,r,1
58702.39,20.62,0.17,False,r,1
58703.41,20.49,0.15,False,r,1
58704.38,21.08,,True,g,0
58704.395796,19.8144,,True,cyan,0
58704.4,21.03,,True,g,0
58705.17,20.5,0.19,False,r,1
58705.41,21.38,,True,g,0
58705.43,20.82,,True,i,0
58706.43,21.38,,True,g,0
58706.45,21.19,,True,g,0
58707.18,20.33,0.18,False,r,1
58707.41,20.89,,True,g,0
58707.43,21.06,,True,g,0
58707.46,21.25,,True,g,0
58708.4,20.58,,True,g,0
58708.43,20.36,,True,g,0
58708.442535,19.6422,,True,cyan,0
58708.45,20.51,,True,g,0
58709.16,20.63,,True,g,0
58709.18,20.56,,True,g,0
58709.45,20.23,,True,g,0
58710.16,20.61,,True,g,0
58710.48,19.63,,True,g,0
58711.26,20.49,,True,g,0
58712.22,20.32,0.24,False,i,1
58714.23,21.03,,True,g,0
58714.36,21.01,,True,r,0
58714.374658,19.4182,,True,orange,0
58716.16,21.63,,True,g,0
58716.17,21.53,,True,g,0
58716.382124,19.6997,,True,orange,0
58717.25,21.13,,True,g,0
58717.25,21.29,,True,g,0
58717.32,20.83,,True,r,0
58717.39,20.9,,True,g,0
58718.38,20.79,,True,i,0
58719.24,20.96,,True,g,0
58719.37,20.64,,True,r,0
58720.17,21.5,,True,g,0
58720.19,21.5,,True,g,0
58720.367176,20.4015,,True,cyan,0
58720.38,21.2,,True,r,0
58721.17,20.2,,True,g,0
58721.25,20.51,,True,g,0
58722.33,21.54,,True,r,0
58722.476311,19.6848,,True,orange,0
58723.16,21.46,,True,g,0
58723.18,21.55,,True,g,0
58724.18,21.75,,True,g,0
58724.27,21.45,,True,g,0
58724.33,20.63,,True,i,0
58724.403083,20.4929,,True,cyan,0
58725.18,21.45,,True,g,0
58725.2,21.7,,True,g,0
58726.386926,19.8141,,True,orange,0
58727.18,21.73,,True,g,0
58727.27,21.33,,True,g,0
58727.27,21.5,,True,g,0
58728.345532,20.1718,,True,cyan,0
58730.14,21.35,,True,r,0
58730.16,21.16,,True,r,0
58730.31,21.35,,True,g,0
58730.421222,19.7585,,True,orange,0
58731.18,19.08,,True,g,0
58732.18,21.31,,True,g,0
58732.2,21.3,,True,g,0
58732.25,20.48,0.16,False,r,1
58732.25,20.76,0.21,False,r,1
58732.31,21.44,,True,g,0
58732.31,21.45,,True,g,0
58732.396122,19.7355,,True,orange,0
58733.33,21.14,,True,g,0
58734.326043,19.8263,,True,orange,0
58734.38,20.95,,True,g,0
58734.38,21.0,,True,g,0
58734.4,21.06,,True,g,0
58735.41,21.0,,True,g,0
58735.41,21.14,,True,g,0
58735.43,20.85,,True,g,0
58736.31,20.56,,True,g,0
58736.33,20.32,,True,i,0
58736.373274,19.5262,,True,orange,0
58736.38,20.7,,True,r,0
58737.37,20.14,,True,g,0
58737.38,20.13,,True,g,0
58737.38,20.18,,True,g,0
58737.4,20.16,,True,g,0
58738.15,20.39,,True,g,0
58739.13,20.54,,True,g,0
58739.13,20.61,,True,g,0
58740.13,20.32,,True,g,0
58740.408242,19.4807,,True,orange,0
58741.14,20.68,,True,g,0
58742.13,20.23,,True,g,0
58743.13,21.34,,True,g,0
58743.34,20.47,,True,r,0
58744.304068,19.1319,,True,orange,0
58744.34,20.41,,True,i,0
58744.37,20.4,,True,r,0
58744.89,21.5,0.18,False,r,1
58744.9,21.26,0.19,False,i,1
58745.34,20.5,,True,r,0
58746.14,21.35,,True,g,0
58746.14,21.49,,True,g,0
58746.362024,19.596,,True,orange,0
58747.27,21.02,,True,r,0
58747.29,21.01,,True,g,0
58747.31,20.95,,True,g,0
58747.33,20.88,,True,g,0
58748.26,21.04,,True,g,0
58748.28,20.58,,True,i,0
58748.352375,19.6289,,True,orange,0
58749.25,21.33,,True,r,0
58749.28,21.17,,True,r,0
58749.31,20.97,,True,r,0
58749.33,20.85,,True,g,0
58750.29,20.71,,True,r,0
58750.3,20.55,,True,r,0
58751.25,21.01,,True,g,0
58751.28,20.95,,True,r,0
58751.29,21.14,,True,r,0
58752.323049,20.6857,,True,cyan,0
58754.14,21.41,,True,r,0
58754.27,21.38,,True,g,0
58754.28,21.05,,True,g,0
58754.321118,20.0711,,True,orange,0
58756.361233,19.8892,,True,cyan,0
58757.21,21.55,,True,g,0
58757.29,20.86,,True,r,0
58757.3,20.96,,True,r,0
58758.26,20.77,,True,i,0
58758.29,21.08,,True,r,0
58758.29,21.14,,True,r,0
58758.295905,20.2438,,True,orange,0
58758.3,21.21,,True,r,0
58758.32,20.87,,True,r,0
58758.34,20.87,,True,g,0
58760.26,20.96,,True,r,0
58760.26,21.17,,True,r,0
58760.28,20.77,,True,r,0
58760.31,20.8,,True,r,0
58760.34,20.86,,True,g,0
58761.26,21.27,,True,g,0
58761.28,21.23,,True,g,0
58762.12,21.23,,True,r,0
58762.13,20.91,,True,r,0
58762.214502,19.5219,,True,orange,0
58762.26,21.0,,True,g,0
58763.11,20.75,,True,i,0
58763.13,21.11,,True,g,0
58763.26,20.43,,True,r,0
58763.27,20.54,,True,r,0
58763.29,20.49,,True,r,0
58764.12,21.05,,True,r,0
58764.26,20.87,,True,g,0
58764.27,20.65,,True,g,0
58764.322857,19.8219,,True,orange,0
58765.19,21.09,,True,r,0
58765.25,20.59,,True,g,0
58765.25,20.72,,True,g,0
58765.28,20.61,,True,g,0
58766.12,20.71,,True,r,0
58766.2,20.49,,True,g,0
58766.25,20.38,,True,g,0
58766.26,20.37,,True,g,0
58767.1,20.08,,True,i,0
58767.2,20.26,,True,r,0
58768.19,20.34,,True,r,0
58768.2,20.52,,True,r,0
58768.25,20.11,,True,g,0
58768.25,20.17,,True,g,0
58768.28,20.01,,True,g,0
58768.301199,18.9872,,True,orange,0
58769.1,20.64,,True,r,0
58769.11,20.64,,True,r,0
58769.21,19.88,,True,g,0
58769.25,20.09,,True,g,0
58769.26,20.04,,True,g,0
58770.12,20.22,,True,g,0
58770.2,20.28,,True,r,0
58770.26,20.21,,True,r,0
58770.308297,19.5351,,True,orange,0
58770.32,19.91,,True,r,0
58771.1,20.62,,True,r,0
58771.12,20.39,,True,g,0
58771.2,20.13,,True,g,0
58771.26,20.2,,True,r,0
58771.28,20.21,,True,r,0
58772.12,20.86,,True,g,0
58774.258114,19.9376,,True,orange,0
58776.2,20.95,,True,r,0
58777.09,21.08,,True,r,0
58777.11,21.15,,True,g,0
58778.337185,19.7648,,True,orange,0
58779.09,21.25,,True,r,0
58779.12,21.45,,True,g,0
58779.84,22.12,,True,i,0
58779.84,22.81,,True,r,0
58780.297852,20.3597,,True,cyan,0
58781.09,20.47,,True,r,0
58781.12,20.9,,True,g,0
58782.22,21.07,,True,g,0
58783.09,21.29,,True,r,0
58783.11,21.18,,True,g,0
58784.248415,20.1587,,True,cyan,0
58788.19,20.79,,True,g,0
58788.270579,19.8323,,True,orange,0
58789.19,20.94,,True,g,0
58789.22,20.71,,True,r,0
58790.13,20.66,,True,r,0
58790.231296,19.7104,,True,orange,0
58791.09,21.03,,True,r,0
58791.14,21.19,,True,g,0
58792.13,20.93,,True,r,0
58792.231125,19.7083,,True,orange,0
58793.09,20.49,,True,r,0
58793.14,20.77,,True,g,0
58794.14,20.73,,True,g,0
58794.296535,19.8466,,True,orange,0
58795.1,20.79,,True,r,0
58795.13,20.58,,True,g,0
58796.15,20.28,,True,g,0
58796.281102,19.6439,,True,orange,0
58797.1,20.73,,True,r,0
58797.14,20.44,,True,g,0
58798.2,20.47,,True,r,0
