mjd,mag,mag_err,UL,filter,System,detected
58612.574516,19.7553,,True,orange,AB,0
58614.597727,19.9095,,True,orange,AB,0
58618.601824,19.8398,,True,orange,AB,0
58620.547683,19.2521,,True,orange,AB,0
58624.569268,19.6567,,True,orange,AB,0
58626.582274,19.807,,True,orange,AB,0
58630.536205,19.894,,True,orange,AB,0
58632.566158,19.6216,,True,orange,AB,0
58634.551698,20.0846,,True,cyan,AB,0
58636.421169,20.2097,,True,r,AB,0
58636.524075,19.6598,,True,orange,AB,0
58637.914062,20.2595,,True,r,AB,0
58639.404756,20.2133,,True,r,AB,0
58639.438321,20.3081,,True,g,AB,0
58642.41971,20.4374,,True,g,AB,0
58642.540209,20.0051,,True,cyan,AB,0
58644.481522,19.3303,,True,orange,AB,0
58646.03125,20.0322,,True,g,AB,0
58646.439907,19.9487,,True,g,AB,0
58646.481471,19.5983,,True,orange,AB,0
58648.521589,19.6007,,True,orange,AB,0
58649.382858,18.8971,,True,g,AB,0
58650.506665,19.3704,,True,orange,AB,0
58651.542685,19.1812,,True,orange,AB,0
58652.4375,19.4861,,True,r,AB,0
58652.439097,19.2134,,True,r,AB,0
58652.470899,19.161,,True,orange,AB,0
58652.48052,18.7408,,True,g,AB,0
58660.552426,19.4585,,True,orange,AB,0
58661.421875,20.263,0.1671,False,r,AB,1
58661.422199,20.1531,,True,r,AB,0
58662.53025,20.4404,0.0945,False,w,AB,1
58662.54188,20.3892,0.0634,False,w,AB,1
58662.553507,20.3961,0.0695,False,w,AB,1
58662.565152,20.3196,0.1777,False,w,AB,1
58663.460937,20.18,0.0946,False,g,AB,1
58664.514822,20.4137,0.0445,False,w,AB,1
58664.527162,20.4107,0.0858,False,w,AB,1
58664.539503,20.3893,0.0428,False,w,AB,1
58664.551868,20.3869,0.0366,False,w,AB,1
58664.583635,19.361,,True,orange,AB,0
58665.438194,20.3105,0.2077,False,r,AB,1
58665.479849,19.6957,,True,g,AB,0
58666.543883,19.7434,,True,cyan,AB,0
58668.441377,20.1433,0.1857,False,g,AB,1
58668.513816,20.3298,0.0481,False,w,AB,1
58668.525542,20.352,0.0507,False,w,AB,1
58668.537266,20.312,0.0646,False,w,AB,1
58668.548969,20.3438,0.0716,False,w,AB,1
58668.595573,19.2962,,True,orange,AB,0
58670.449218,20.5366,0.2567,False,i,AB,1
58670.522507,19.6297,,True,orange,AB,0
58672.421875,19.9725,0.1161,False,g,AB,1
58672.422638,20.0306,0.1724,False,g,AB,1
58672.460937,20.3466,0.176,False,r,AB,1
58673.567461,19.3941,,True,orange,AB,0
58675.486203,19.9657,,True,r,AB,0
58676.441803,19.6482,,True,orange,AB,0
58678.4539,18.9481,,True,orange,AB,0
58678.464843,20.2078,0.5078,False,r,AB,1
58681.419606,19.2072,,True,r,AB,0
58686.397835,16.2025,,True,r,AB,0
58686.461273,19.363,,True,g,AB,0
58686.507981,19.2135,,True,orange,AB,0
58688.511732,19.2607,,True,orange,AB,0
58690.512008,19.3174,,True,orange,AB,0
58692.503939,19.5393,,True,orange,AB,0
58693.226562,20.573,0.1082,False,g,AB,1
58693.395381,20.293,0.1919,False,r,AB,1
58694.55461,19.8124,,True,cyan,AB,0
58694.886718,20.4249,0.1431,False,r,AB,1
58696.392372,20.5217,,True,r,AB,0
58696.400023,20.5484,,True,g,AB,0
58696.496805,19.2257,,True,orange,AB,0
58697.703125,20.7109,0.215,False,i,AB,1
58699.372812,20.3286,0.2011,False,r,AB,1
58700.47534,19.3851,,True,orange,AB,0
58702.429741,19.9046,,True,cyan,AB,0
58704.440731,19.5243,,True,orange,AB,0
58705.441406,20.7759,0.3011,False,r,AB,1
58707.380098,19.3666,0.3465,False,orange,AB,1
58709.351562,19.7283,,True,g,AB,0
58718.44789,19.6938,,True,orange,AB,0
58718.890625,23.9001,,True,g,AB,0
58719.816406,20.9349,0.2657,False,i,AB,1
58720.562374,20.0009,,True,orange,AB,0
58721.432781,20.3166,,True,cyan,AB,0
58724.457737,19.9905,,True,orange,AB,0
58726.425174,20.3929,,True,cyan,AB,0
58730.404616,20.455,,True,cyan,AB,0
58734.316406,19.3978,,True,i,AB,0
58734.378906,19.4792,,True,g,AB,0
58739.140625,18.7849,,True,g,AB,0
58742.15625,18.5054,,True,g,AB,0
58742.164062,19.0971,,True,i,AB,0
58744.253906,21.3781,,True,g,AB,0
58744.257812,22.0214,0.5312,False,r,AB,1
58744.261718,21.5435,,True,i,AB,0
58748.320312,21.243,,True,g,AB,0
58748.96875,20.6503,,True,i,AB,0
58750.350303,20.1583,,True,cyan,AB,0
58751.352961,20.033,,True,orange,AB,0
58752.398439,20.0318,,True,orange,AB,0
58754.039062,19.5247,,True,r,AB,0
58754.28125,22.6943,0.499,False,g,AB,1
58754.285156,22.4169,,True,g,AB,0
58754.289062,22.3791,,True,g,AB,0
58754.292968,22.7203,,True,r,AB,0
58754.304687,21.672,,True,i,AB,0
58754.308593,20.8381,,True,i,AB,0
58754.3125,20.9548,,True,i,AB,0
58756.342899,19.9222,,True,orange,AB,0
58760.385652,19.7112,,True,orange,AB,0
58761.25,19.7561,,True,g,AB,0
58762.239084,19.8181,,True,orange,AB,0
58763.257812,19.8704,,True,i,AB,0
58763.296077,19.7117,,True,orange,AB,0
58769.368038,19.3592,,True,orange,AB,0
58770.406268,19.6475,,True,orange,AB,0
