mjd,mag,mag_err,UL,filter,detected
58290.451748,19.6334,,True,orange,0
58292.455986,20.057,,True,orange,0
58294.443616,19.474,,True,orange,0
58296.478603,19.7739,,True,orange,0
58298.403453,19.4326,,True,orange,0
58302.443447,19.898,,True,orange,0
58304.425281,19.5662,,True,orange,0
58308.443898,20.9119,,True,cyan,0
58310.416101,20.0206,,True,orange,0
58312.430169,21.0882,,True,cyan,0
58318.401173,19.9747,,True,orange,0
58320.406409,19.7537,,True,orange,0
58322.396057,19.6297,,True,orange,0
58324.397814,19.569,,True,orange,0
58328.355529,19.7828,,True,orange,0
58330.379432,19.5256,,True,orange,0
58338.368111,20.0714,,True,orange,0
58342.365361,19.9099,,True,orange,0
58344.372435,21.1147,,True,cyan,0
58348.358685,20.0535,,True,orange,0
58360.326724,19.9906,,True,orange,0
58362.319756,19.944,,True,orange,0
58364.327584,19.955,,True,orange,0
58366.318451,19.8824,,True,orange,0
58368.320466,20.0368,,True,orange,0
58372.31323,20.134,,True,orange,0
58374.304271,19.9917,,True,orange,0
58376.308332,20.0815,,True,cyan,0
58378.300399,19.6327,,True,orange,0
58380.303103,20.02,,True,orange,0
58382.290786,19.7241,,True,orange,0
58384.284438,19.408,,True,orange,0
58386.279778,18.9492,,True,orange,0
58388.140625,20.4395,,True,g,0
58388.199218,20.2832,,True,r,0
58389.171875,20.0931,,True,g,0
58389.242187,20.4713,,True,r,0
58390.132812,21.265,,True,g,0
58390.21875,19.9881,,True,r,0
58390.282666,19.9816,,True,orange,0
58392.280776,19.9283,,True,orange,0
58394.277256,19.781,,True,orange,0
58396.275523,20.7851,,True,cyan,0
58400.179687,22.2921,,True,r,0
58400.267273,20.9738,,True,cyan,0
58402.264886,19.7025,,True,orange,0
58408.266314,19.8934,,True,orange,0
58412.25334,19.794,,True,orange,0
58414.243977,19.0989,,True,orange,0
58416.238601,19.7094,,True,orange,0
58423.082031,20.7499,,True,r,0
58424.227557,20.618,,True,cyan,0
58425.085937,20.6173,,True,r,0
58427.085937,20.2358,,True,r,0
58427.152343,19.4077,,True,g,0
58428.085937,20.6888,,True,r,0
58428.140625,19.1763,,True,i,0
58428.160156,19.7019,,True,g,0
58428.205843,20.0015,,True,cyan,0
58430.097656,20.8309,,True,r,0
58430.125,20.5138,,True,g,0
58430.224441,19.8462,,True,orange,0
58431.09375,20.4007,,True,g,0
58432.206455,20.5994,,True,cyan,0
58433.097656,20.6656,,True,r,0
58434.128906,19.3058,,True,g,0
58434.214561,19.8547,,True,orange,0
58436.199351,19.8193,,True,cyan,0
58481.550781,19.7494,,True,r,0
58492.53125,20.1011,,True,g,0
58526.515625,19.8526,0.133,False,r,1
58534.414062,19.3606,0.2638,False,r,1
58540.472656,19.716,0.08,False,g,1
58540.527343,19.8838,0.1049,False,r,1
58541.457031,19.6708,0.0907,False,g,1
58541.53125,19.8931,0.0827,False,r,1
58543.503906,19.6204,0.1004,False,g,1
58547.18,19.79,0.06,False,g,1
58547.18,19.82,0.07,False,r,1
58547.18,19.93,0.08,False,i,1
58547.18,20.55,0.18,False,u,1
58547.367187,19.6471,0.0982,False,g,1
58547.546875,20.3135,0.4409,False,i,1
58554.644724,19.6585,0.3101,False,orange,1
58557.339843,18.661,,True,i,0
58557.394531,19.7535,0.1004,False,r,1
58557.476562,19.7105,0.0767,False,g,1
58558.355468,19.7993,0.164,False,r,1
58558.453125,19.7047,0.0731,False,g,1
58560.414062,19.8456,0.1438,False,r,1
58560.492187,19.4593,0.1636,False,g,1
58561.375,19.6987,0.1715,False,r,1
58561.527343,19.8191,0.2373,False,g,1
58563.11,19.59,0.13,False,r,1
58563.11,19.66,0.2,False,g,1
58563.11,19.73,0.12,False,i,1
58567.46875,19.5243,0.1482,False,g,1
58568.417968,19.6258,0.1195,False,g,1
58568.472656,19.8463,0.2007,False,i,1
58569.375,19.7149,0.1531,False,r,1
58572.618078,19.9545,0.3067,False,orange,1
58573.429687,19.82,0.1237,False,r,1
58573.453125,19.7914,0.1005,False,g,1
58578.628047,19.1256,,True,orange,0
58580.449218,19.813,0.2297,False,g,1
58580.503906,19.9698,0.1415,False,r,1
58580.623198,20.0793,0.2002,False,cyan,1
58581.421875,19.9511,0.1406,False,g,1
58581.429687,20.083,0.5201,False,r,1
58582.414062,19.8934,0.1143,False,g,1
58582.433593,19.8697,0.098,False,r,1
58582.59335,20.0155,0.3552,False,orange,1
58583.34375,19.7577,0.1212,False,r,1
58583.398437,19.9615,0.1041,False,g,1
58585.394531,19.9631,0.1129,False,g,1
58585.421875,19.9076,0.0954,False,r,1
58586.363281,20.0784,0.1288,False,r,1
58586.449218,20.1163,0.1121,False,g,1
58587.40625,19.9569,0.0942,False,g,1
58588.40625,19.8921,0.1239,False,r,1
58588.425781,20.1142,0.0858,False,g,1
58588.604099,19.892,0.2228,False,orange,1
58589.19,19.96,0.18,False,i,1
58589.19,20.06,0.17,False,r,1
58590.622537,19.0806,,True,orange,0
58591.246093,19.645,,True,g,0
58591.429687,19.9309,0.2397,False,r,1
58592.480468,20.1253,0.3483,False,g,1
58593.484375,19.934,,True,g,0
58594.11,19.93,0.19,False,r,1
58594.11,19.99,0.19,False,z,1
58594.11,20.13,0.14,False,i,1
58594.273437,20.1081,0.3598,False,g,1
58594.580319,18.9469,,True,orange,0
58596.390625,20.1974,0.1437,False,r,1
58596.472656,20.3398,0.2301,False,g,1
58596.592166,19.325,,True,orange,0
58598.367187,20.2163,0.3602,False,r,1
58599.19,20.05,0.08,False,r,1
58599.19,20.43,0.1,False,g,1
58599.2,20.1,0.09,False,i,1
58599.2,20.6,0.24,False,z,1
58600.472656,20.0333,0.1361,False,r,1
58600.590344,19.2664,,True,orange,0
58602.618869,19.6783,0.3243,False,orange,1
58604.572557,20.5152,0.2196,False,cyan,1
58605.476562,20.0303,0.1653,False,i,1
58606.602458,19.2678,,True,orange,0
58608.324218,20.5778,0.2058,False,g,1
58610.19,20.24,0.08,False,i,1
58610.19,20.34,0.08,False,r,1
58610.19,20.47,0.18,False,z,1
58610.19,20.66,0.09,False,g,1
58610.575814,19.6119,,True,orange,0
58612.398437,20.7757,0.1415,False,g,1
58612.457031,20.3941,0.1277,False,r,1
58612.514647,21.1426,0.2823,False,cyan,1
58616.347656,20.2953,0.2476,False,i,1
58616.386718,20.4224,0.128,False,r,1
58616.417968,20.9458,0.123,False,g,1
58617.324218,20.4334,0.2027,False,r,1
58617.429687,20.767,0.1034,False,g,1
