mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
58448.51,20.66,,True,r,AB,0,r,6141.12
58448.56,20.92,,True,r,AB,0,r,6141.12
58469.55,18.83,,True,r,AB,0,r,6141.12
58472.53,21.67,,True,g,AB,0,g,4671.78
58475.5,21.0,,True,r,AB,0,r,6141.12
58480.54,20.95,,True,g,AB,0,g,4671.78
58482.54,21.34,,True,g,AB,0,g,4671.78
58520.666983,19.9443,,True,cyan,AB,0,cyan,5182.42
58522.48,21.72,,True,g,AB,0,g,4671.78
58522.667949,19.2207,,True,orange,AB,0,orange,6629.82
58530.6375,20.3662,,True,orange,AB,0,orange,6629.82
58534.42,20.01,,True,r,AB,0,r,6141.12
58538.37,19.23,,True,r,AB,0,r,6141.12
58538.41,19.31,,True,g,AB,0,g,4671.78
58538.43,19.44,,True,g,AB,0,g,4671.78
58538.45,20.03,,True,g,AB,0,g,4671.78
58538.47,20.14,,True,r,AB,0,r,6141.12
58538.49,20.62,,True,r,AB,0,r,6141.12
58539.3,19.27,,True,r,AB,0,r,6141.12
58539.35,20.7,,True,r,AB,0,r,6141.12
58539.39,20.41,,True,g,AB,0,g,4671.78
58539.41,20.47,,True,g,AB,0,g,4671.78
58540.3,21.06,,True,r,AB,0,r,6141.12
58540.32,19.92,,True,r,AB,0,r,6141.12
58540.41,21.12,,True,g,AB,0,g,4671.78
58540.42,21.4,,True,g,AB,0,g,4671.78
58541.52,21.67,,True,r,AB,0,r,6141.12
58542.631891,19.9715,,True,orange,AB,0,orange,6629.82
58543.41,21.87,,True,i,AB,0,i,7829.03
58543.46,19.19,,True,r,AB,0,r,6141.12
58543.49,20.89,0.14,False,g,AB,1,g,4671.78
58543.52,20.79,0.14,False,g,AB,1,g,4671.78
58547.34,20.54,0.13,False,g,AB,1,g,4671.78
58547.39,20.45,0.1,False,g,AB,1,g,4671.78
58547.49,20.5,0.14,False,r,AB,1,r,6141.12
58550.593549,19.814,,True,orange,AB,0,orange,6629.82
58556.382395,20.1522,,True,g,AB,0,g,4671.78
58556.43,19.96,0.15,False,r,AB,1,r,6141.12
58556.46,19.99,0.08,False,g,AB,1,g,4671.78
58556.46,20.05,0.09,False,g,AB,1,g,4671.78
58556.5,19.96,0.1,False,g,AB,1,g,4671.78
58557.39,19.98,0.17,False,r,AB,1,r,6141.12
58557.4,20.05,0.13,False,r,AB,1,r,6141.12
58557.43,20.15,0.13,False,r,AB,1,r,6141.12
58557.44,19.9,0.1,False,g,AB,1,g,4671.78
58558.35,19.85,0.11,False,r,AB,1,r,6141.12
58558.37,19.97,0.12,False,r,AB,1,r,6141.12
58558.42,19.75,0.08,False,g,AB,1,g,4671.78
58558.565363,20.0355,0.3294,False,orange,AB,1,orange,6629.82
58560.24,20.53,,True,g,AB,0,g,4671.78
58560.26,19.61,0.14,False,g,AB,1,g,4671.78
58560.28,19.63,0.15,False,g,AB,1,g,4671.78
58560.286666,19.4368,,True,g,AB,0,g,4671.78
58560.37,19.91,0.12,False,r,AB,1,r,6141.12
58560.38,19.74,0.15,False,r,AB,1,r,6141.12
58560.39,19.83,0.11,False,r,AB,1,r,6141.12
