mjd,mag,mag_err,UL,filter,detected
58638.533545,18.9172,inf,True,orange,0
58644.615178,19.4587,inf,True,orange,0
58648.522072,19.5469,inf,True,orange,0
58654.528189,19.5379,inf,True,orange,0
58656.594605,19.775,inf,True,orange,0
58657.43,21.02,inf,True,r,0
58660.44,21.04,inf,True,g,0
58663.44,21.05,inf,True,r,0
58663.46,21.24,inf,True,g,0
58664.525821,20.5653,inf,True,cyan,0
58668.53315,20.1869,inf,True,cyan,0
58670.49,20.62,0.22,False,r,1
58672.43,20.33,0.25,False,g,1
58672.47,20.51,0.25,False,r,1
58675.45,19.8,0.15,False,g,1
58675.45,19.8,0.15,False,g,1
58675.551829,19.3167,inf,True,orange,0
58677.48,19.37,0.06,False,g,1
58677.49,19.69,0.1,False,r,1
58678.45,19.33,0.11,False,g,1
58678.45,19.33,0.11,False,g,1
58678.46,19.3,0.05,False,g,1
58678.47,19.57,0.06,False,r,1
58678.47,19.62,0.12,False,r,1
58678.47,19.62,0.12,False,r,1
58679.48,19.43,0.08,False,r,1
58680.43,19.4,0.1,False,r,1
58680.48,19.15,0.14,False,g,1
58680.544115,19.4143,0.2766,False,orange,1
58681.41,19.28,0.1,False,r,1
58681.41,19.33,0.11,False,r,1
58681.45,19.31,0.16,False,r,1
58681.45,19.31,0.16,False,r,1
58681.45,19.37,0.11,False,r,1
58681.47,19.23,0.2,False,g,1
58681.47,19.42,0.15,False,g,1
58682.121319,19.1054,0.0361,False,g,1
58682.19534,19.1254,0.0364,False,g,1
58682.41,19.03,0.07,False,r,1
58682.41,19.21,0.09,False,r,1
58682.43,19.18,0.08,False,r,1
58682.47,18.87,0.08,False,g,1
58683.41,19.01,0.07,False,r,1
58683.41,19.04,0.06,False,r,1
58683.43,19.18,0.09,False,r,1
58683.47,18.77,0.08,False,g,1
58684.42,18.79,0.18,False,g,1
58684.42,18.79,0.18,False,g,1
58684.42,18.9,0.09,False,g,1
58684.529876,19.118,0.1869,False,orange,1
58685.42,18.93,0.05,False,r,1
58685.43,18.87,0.05,False,r,1
58685.43,19.02,0.06,False,r,1
58685.46,18.74,0.08,False,g,1
58686.41,18.83,0.05,False,r,1
58686.41,18.85,0.06,False,r,1
58686.43,18.98,0.06,False,r,1
58686.45,19.06,0.08,False,i,1
58686.47,18.7,0.08,False,g,1
58688.4,18.78,0.09,False,r,1
58688.41,18.82,0.05,False,r,1
58688.45,18.44,0.04,False,g,1
58688.45,18.56,0.09,False,g,1
58688.53922,18.9814,0.1461,False,orange,1
58690.41,18.53,0.03,False,r,1
58690.45,18.32,0.03,False,g,1
58690.527145,18.8031,0.1272,False,orange,1
58691.4,18.65,0.09,False,r,1
58691.4,18.52,0.04,False,r,1
58691.4,18.65,0.09,False,r,1
58691.45,18.34,0.07,False,g,1
58691.45,18.28,0.03,False,g,1
58691.45,18.34,0.07,False,g,1
58692.432033,18.4382,0.0293,False,cyan,1
58693.38,18.44,0.03,False,r,1
58693.41,18.23,0.02,False,g,1
58694.31,18.34,0.09,False,r,1
58694.41,18.37,0.02,False,r,1
58694.41,18.45,0.06,False,r,1
58694.41,18.45,0.06,False,r,1
58694.45,18.18,0.07,False,g,1
58694.45,18.18,0.07,False,g,1
58694.45,18.11,0.02,False,g,1
58694.487466,18.5736,0.1041,False,orange,1
58695.42,18.13,0.02,False,g,1
58695.47,18.38,0.03,False,r,1
58696.43,18.04,0.02,False,g,1
58696.47,18.31,0.02,False,r,1
58697.41,18.23,0.02,False,r,1
58697.41,18.29,0.06,False,r,1
58697.41,18.29,0.06,False,r,1
58697.45,18.47,0.04,False,i,1
