mjd,mag,mag_err,UL,filter,detected
58628.607193,19.298,inf,True,orange,0
58644.606366,19.6322,inf,True,orange,0
58646.583933,19.8036,inf,True,orange,0
58652.596248,19.8322,inf,True,orange,0
58654.580722,19.7935,inf,True,orange,0
58656.60521,19.23,inf,True,orange,0
58670.510901,19.6102,inf,True,orange,0
58676.579248,20.0068,inf,True,orange,0
58678.579607,19.7828,inf,True,orange,0
58680.44,20.57,inf,True,r,0
58680.587427,19.6997,inf,True,orange,0
58681.44,20.6,inf,True,r,0
58681.46,20.21,inf,True,g,0
58682.48,20.33,inf,True,g,0
58683.44,20.79,inf,True,r,0
58683.48,20.41,inf,True,g,0
58684.4,19.97,inf,True,g,0
58684.552237,19.7261,inf,True,orange,0
58685.42,20.75,inf,True,r,0
58685.48,20.4,inf,True,g,0
58690.607791,20.0189,inf,True,orange,0
58692.43438,19.8024,inf,True,orange,0
58696.543213,19.4939,inf,True,orange,0
58697.44,21.0,inf,True,i,0
58699.38,20.18,0.18,False,r,1
58699.46,20.15,0.18,False,g,1
58700.49,19.92,0.08,False,g,1
58700.49,20.12,0.11,False,g,1
58700.522376,19.6748,inf,True,orange,0
58701.43,20.16,0.21,False,i,1
58702.555975,19.6874,0.1641,False,cyan,1
58703.42,19.63,0.13,False,r,1
58703.5,19.5,0.16,False,g,1
58704.5,19.46,0.09,False,r,1
58704.530169,19.5334,0.2424,False,orange,1
58705.42,19.84,0.16,False,i,1
58706.4,19.35,0.13,False,r,1
58706.42,19.19,0.12,False,g,1
58706.535995,19.2981,0.03,False,w,1
58706.563492,19.2351,0.1193,False,cyan,1
58709.44,19.17,0.12,False,i,1
58709.46,18.91,0.12,False,g,1
58712.05,18.68,0.19,False,u,1
58712.05,18.76,0.19,False,i,1
58712.05,18.92,0.27,False,r,1
58712.05,19.39,inf,True,z,0
58716.44,18.57,0.08,False,r,1
58717.36,18.89,0.1,False,i,1
58718.45,18.45,0.04,False,g,1
58718.45,18.49,0.04,False,g,1
58718.620281,18.7839,0.155,False,orange,1
58719.38,18.58,0.08,False,r,1
58719.43,18.52,0.03,False,r,1
58719.43,18.52,0.04,False,r,1
58719.48,18.45,0.09,False,g,1
58720.633056,18.5794,0.1337,False,orange,1
58722.39,18.54,0.05,False,i,1
58722.42,18.39,0.08,False,g,1
58723.31,18.35,0.06,False,r,1
58723.45,18.27,0.02,False,g,1
58723.45,18.29,0.02,False,g,1
58724.17,18.4,0.08,False,r,1
58724.18,18.18,0.04,False,u,1
58724.583142,18.5011,0.101,False,orange,1
58725.42,18.32,0.08,False,g,1
58725.46,18.21,0.02,False,g,1
58725.46,18.27,0.02,False,g,1
58725.48,18.41,0.07,False,r,1
58726.45,18.27,0.02,False,g,1
58726.45,18.28,0.02,False,g,1
58726.53169,18.2801,0.0483,False,cyan,1
58727.43,18.25,0.02,False,g,1
58727.43,18.31,0.03,False,g,1
58730.08,18.2,0.06,False,g,1
58730.08,18.33,0.06,False,r,1
58730.08,18.55,0.07,False,i,1
58730.08,18.7,0.09,False,z,1
