mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
58612.604781,19.646,,True,orange,AB,0,orange,6629.82
58624.594637,19.6423,,True,orange,AB,0,orange,6629.82
58626.59583,20.2264,,True,orange,AB,0,orange,6629.82
58628.576069,19.6398,,True,orange,AB,0,orange,6629.82
58630.556979,19.6225,,True,orange,AB,0,orange,6629.82
58632.594985,19.8298,,True,orange,AB,0,orange,6629.82
58634.592844,20.4749,,True,cyan,AB,0,cyan,5182.42
58636.42,21.45,,True,r,AB,0,r,6366.38
58636.421875,20.2693,,True,r,AB,0,r,6366.38
58636.56877,19.9002,,True,orange,AB,0,orange,6629.82
58641.44,21.53,,True,g,AB,0,g,4746.48
58642.563113,20.4359,,True,cyan,AB,0,cyan,5182.42
58644.44,21.38,,True,g,AB,0,g,4746.48
58644.441406,20.6126,,True,g,AB,0,g,4746.48
58644.53553,19.574,,True,orange,AB,0,orange,6629.82
58646.509488,19.7638,,True,orange,AB,0,orange,6629.82
58647.47,21.31,,True,g,AB,0,g,4746.48
58648.546288,19.5854,,True,orange,AB,0,orange,6629.82
58650.42,20.63,,True,r,AB,0,r,6366.38
58650.421875,19.7027,,True,r,AB,0,r,6366.38
58650.535014,19.2939,,True,orange,AB,0,orange,6629.82
58652.498982,19.366,,True,orange,AB,0,orange,6629.82
58653.44,20.48,,True,r,AB,0,r,6366.38
58653.441406,19.7062,,True,r,AB,0,r,6366.38
58654.521922,19.4131,,True,orange,AB,0,orange,6629.82
58660.518292,20.1405,,True,orange,AB,0,orange,6629.82
58663.46,21.14,,True,g,AB,0,g,4746.48
58663.460937,19.8849,,True,g,AB,0,g,4746.48
58664.605668,19.6933,,True,orange,AB,0,orange,6629.82
58666.421875,20.3583,,True,r,AB,0,r,6366.38
58666.531073,20.4464,,True,cyan,AB,0,cyan,5182.42
58668.414572,19.6293,,True,orange,AB,0,orange,6629.82
58668.47,21.04,,True,i,AB,0,i,7457.89
58670.441406,20.4257,,True,g,AB,0,g,4746.48
58670.460937,20.4523,,True,r,AB,0,r,6366.38
58670.535209,19.7968,,True,orange,AB,0,orange,6629.82
58672.45,21.13,,True,i,AB,0,i,7457.89
58673.445312,20.8112,,True,r,AB,0,r,6366.38
58673.580294,19.9323,,True,orange,AB,0,orange,6629.82
58676.45,20.84,,True,i,AB,0,i,7457.89
58676.454541,19.6594,,True,orange,AB,0,orange,6629.82
58676.460937,20.7121,,True,r,AB,0,r,6366.38
58678.604557,19.5982,,True,orange,AB,0,orange,6629.82
58680.519197,19.3067,,True,orange,AB,0,orange,6629.82
58682.40625,19.8751,,True,r,AB,0,r,6366.38
58682.476562,19.7618,,True,g,AB,0,g,4746.48
58686.617968,19.7037,,True,orange,AB,0,orange,6629.82
58688.551555,19.9044,,True,orange,AB,0,orange,6629.82
58690.398437,20.4705,,True,r,AB,0,r,6366.38
58690.453125,20.3733,,True,g,AB,0,g,4746.48
58690.536509,20.0139,,True,orange,AB,0,orange,6629.82
58692.534449,19.8049,,True,orange,AB,0,orange,6629.82
58693.394531,20.5179,,True,r,AB,0,r,6366.38
58693.417968,21.6578,0.4119,False,g,AB,1,g,4746.48
58694.570893,20.1354,,True,cyan,AB,0,cyan,5182.42
58696.57465,19.5607,,True,orange,AB,0,orange,6629.82
58697.087239,21.4711,0.155,False,g,AB,1,g,4746.48
58700.5596,19.7429,,True,orange,AB,0,orange,6629.82
58701.4,20.8,,True,i,AB,0,i,7457.89
58702.401467,19.6425,,True,cyan,AB,0,cyan,5182.42
58704.383244,19.5257,,True,orange,AB,0,orange,6629.82
58705.445312,20.3094,0.1367,False,r,AB,1,r,6366.38
58708.399455,19.015,0.2857,False,orange,AB,1,orange,6629.82
58708.417968,19.9517,,True,g,AB,0,g,4746.48
58708.42,19.95,,True,g,AB,0,g,4746.48
58708.503906,20.0774,,True,r,AB,0,r,6366.38
58714.375,19.92,,True,r,AB,0,r,6366.38
58714.476562,19.441,,True,g,AB,0,g,4746.48
58715.47,19.9943,0.07,False,i,AB,1,i,7457.89
58718.473289,19.8501,0.3142,False,orange,AB,1,orange,6629.82
58720.583431,19.8661,0.2407,False,orange,AB,1,orange,6629.82
58724.472809,19.8116,0.2184,False,orange,AB,1,orange,6629.82
58726.432714,19.4477,0.1639,False,cyan,AB,1,cyan,5182.42
58728.300781,19.3996,0.0544,False,g,AB,1,g,4746.48
58730.522375,19.5303,0.1656,False,cyan,AB,1,cyan,5182.42
58733.316406,19.6041,0.1951,False,g,AB,1,g,4746.48
58734.3,20.24,,True,i,AB,0,i,7457.89
58736.393934,19.0687,,True,orange,AB,0,orange,6629.82
58737.320312,18.9318,0.1973,False,r,AB,1,r,6366.38
58737.4375,19.3927,0.2375,False,g,AB,1,g,4746.48
58744.359375,19.3696,0.1438,False,r,AB,1,r,6366.38
58747.296875,19.5953,0.1573,False,g,AB,1,g,4746.48
58750.277343,19.5519,0.0695,False,r,AB,1,r,6366.38
58750.332571,19.873,0.2275,False,cyan,AB,1,cyan,5182.42
58752.421396,19.7192,0.2772,False,orange,AB,1,orange,6629.82
58756.359369,19.8975,0.3369,False,orange,AB,1,orange,6629.82
58757.273437,19.8613,0.1646,False,r,AB,1,r,6366.38
58760.439393,19.9599,0.341,False,orange,AB,1,orange,6629.82
58762.316682,20.0982,0.3108,False,orange,AB,1,orange,6629.82
58764.313916,19.153,,True,orange,AB,0,orange,6629.82
58769.3,19.62,,True,i,AB,0,i,7457.89
58770.430624,19.1444,,True,orange,AB,0,orange,6629.82
58771.269531,20.3043,0.2575,False,r,AB,1,r,6366.38
58772.37766,19.4318,,True,orange,AB,0,orange,6629.82
58774.195312,20.2176,0.1767,False,r,AB,1,r,6366.38
58774.222656,20.7381,0.2523,False,r,AB,1,r,6366.38
58774.367916,19.4879,,True,orange,AB,0,orange,6629.82
58777.183593,21.5236,0.2636,False,g,AB,1,g,4746.48
58777.207031,20.2634,0.118,False,r,AB,1,r,6366.38
58778.330155,19.9219,,True,cyan,AB,0,cyan,5182.42
58780.312172,19.5256,,True,orange,AB,0,orange,6629.82
58781.246093,20.163,0.2521,False,r,AB,1,r,6366.38
58782.323909,19.0167,,True,cyan,AB,0,cyan,5182.42
58784.320753,19.5452,,True,orange,AB,0,orange,6629.82
58788.179687,21.1054,0.1938,False,g,AB,1,g,4746.48
58788.322684,19.6743,,True,orange,AB,0,orange,6629.82
58790.290814,19.5081,,True,orange,AB,0,orange,6629.82
58791.167968,21.1559,0.3076,False,g,AB,1,g,4746.48
58792.331232,19.8816,,True,orange,AB,0,orange,6629.82
58796.148437,20.5617,0.4546,False,g,AB,1,g,4746.48
58796.311061,19.5524,,True,orange,AB,0,orange,6629.82
58798.341288,19.6213,,True,orange,AB,0,orange,6629.82
58800.339073,19.8611,,True,orange,AB,0,orange,6629.82
58802.303099,19.623,,True,orange,AB,0,orange,6629.82
58808.308593,19.8281,,True,orange,AB,0,orange,6629.82
58811.085937,21.3485,0.242,False,g,AB,1,g,4746.48
58812.242387,19.8062,,True,orange,AB,0,orange,6629.82
58814.089843,21.0664,0.4543,False,g,AB,1,g,4746.48
58814.264832,20.0636,,True,cyan,AB,0,cyan,5182.42
58816.271466,19.9843,,True,orange,AB,0,orange,6629.82
58833.109375,21.1389,0.4163,False,g,AB,1,g,4746.48
58844.207865,19.5759,,True,orange,AB,0,orange,6629.82
58856.236873,19.4787,,True,orange,AB,0,orange,6629.82
58990.600712,20.3432,,True,cyan,AB,0,cyan,5182.42
58992.600605,19.8903,,True,orange,AB,0,orange,6629.82
59002.600634,20.3538,,True,cyan,AB,0,cyan,5182.42
59024.378906,20.0474,,True,g,AB,0,g,4746.48
59024.476562,20.2577,,True,r,AB,0,r,6366.38
