mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
58637.608598,18.9458,,True,orange,AB,0,orange,6629.82
58645.567056,19.8161,,True,orange,AB,0,orange,6629.82
58647.544705,19.4004,,True,orange,AB,0,orange,6629.82
58653.538205,19.0797,,True,orange,AB,0,orange,6629.82
58665.60728,19.7254,,True,orange,AB,0,orange,6629.82
58671.502275,19.9336,,True,orange,AB,0,orange,6629.82
58677.484414,19.5395,,True,orange,AB,0,orange,6629.82
58679.479703,19.6362,,True,orange,AB,0,orange,6629.82
58681.556173,19.2996,,True,orange,AB,0,orange,6629.82
58685.468172,19.2087,,True,orange,AB,0,orange,6629.82
58689.53013,19.7104,,True,orange,AB,0,orange,6629.82
58691.573852,20.3529,,True,cyan,AB,0,cyan,5182.42
58693.539546,19.6312,,True,orange,AB,0,orange,6629.82
58699.5,21.34,,True,r,AB,0,r,6141.12
58699.514973,20.2853,,True,cyan,AB,0,cyan,5182.42
58700.49,21.54,,True,g,AB,0,g,4671.78
58700.49,21.58,,True,g,AB,0,g,4671.78
58703.477045,20.6986,,True,cyan,AB,0,cyan,5182.42
58703.5,20.67,,True,g,AB,0,g,4671.78
58704.5,21.2,,True,r,AB,0,r,6141.12
58704.5,21.26,,True,r,AB,0,r,6141.12
58706.51,21.16,,True,r,AB,0,r,6141.12
58707.522217,20.044,,True,cyan,AB,0,cyan,5182.42
58709.46,20.62,,True,g,AB,0,g,4671.78
58709.46,20.64,,True,g,AB,0,g,4671.78
58709.475297,18.9684,,True,orange,AB,0,orange,6629.82
58710.41,20.62,,True,r,AB,0,r,6141.12
58710.41,20.67,,True,r,AB,0,r,6141.12
58717.5,20.77,,True,r,AB,0,r,6141.12
58717.5,20.86,,True,r,AB,0,r,6141.12
58718.45,21.01,,True,g,AB,0,g,4671.78
58718.46,20.94,,True,g,AB,0,g,4671.78
58719.43,21.32,,True,r,AB,0,r,6141.12
58719.43,21.4,,True,r,AB,0,r,6141.12
58719.529065,19.6986,,True,orange,AB,0,orange,6629.82
58721.435906,19.8595,,True,orange,AB,0,orange,6629.82
58722.43,20.58,0.13,False,g,AB,1,g,4671.78
58722.43,20.69,0.17,False,g,AB,1,g,4671.78
58723.42,20.71,0.24,False,g,AB,1,g,4671.78
58723.443937,19.9709,,True,cyan,AB,0,cyan,5182.42
58723.45,20.54,0.13,False,g,AB,1,g,4671.78
58723.45,20.74,0.16,False,g,AB,1,g,4671.78
58725.39,20.46,0.12,False,g,AB,1,g,4671.78
58725.39,20.7,0.16,False,g,AB,1,g,4671.78
58726.38,20.68,0.17,False,r,AB,1,r,6141.12
58726.38,20.76,0.19,False,r,AB,1,r,6141.12
58726.38,21.01,,True,r,AB,0,r,6141.12
58726.45,20.38,0.14,False,g,AB,1,g,4671.78
58726.45,20.61,0.15,False,g,AB,1,g,4671.78
58727.43,20.31,0.11,False,g,AB,1,g,4671.78
58727.43,20.58,0.16,False,g,AB,1,g,4671.78
58727.455738,19.9,,True,cyan,AB,0,cyan,5182.42
58730.42,21.08,,True,r,AB,0,r,6141.12
58730.47,20.26,0.26,False,g,AB,1,g,4671.78
58731.559409,19.4307,,True,orange,AB,0,orange,6629.82
58733.4,20.36,0.17,False,r,AB,1,r,6141.12
58733.434505,19.9164,,True,orange,AB,0,orange,6629.82
58734.44,20.14,0.12,False,g,AB,1,g,4671.78
58734.44,20.31,0.13,False,g,AB,1,g,4671.78
58736.48,20.15,0.17,False,g,AB,1,g,4671.78
58737.42,19.97,0.18,False,g,AB,1,g,4671.78
58737.42,20.07,0.2,False,g,AB,1,g,4671.78
58737.474892,19.695,,True,orange,AB,0,orange,6629.82
58745.36,20.19,0.22,False,r,AB,1,r,6141.12
58745.38,20.12,0.22,False,r,AB,1,r,6141.12
58745.57025,19.9227,0.3526,False,orange,AB,1,orange,6629.82
58746.41,19.85,0.15,False,g,AB,1,g,4671.78
58746.41,20.0,0.17,False,g,AB,1,g,4671.78
58747.32,20.08,0.25,False,g,AB,1,g,4671.78
58747.4,20.11,0.23,False,r,AB,1,r,6141.12
58748.36,20.1,0.13,False,r,AB,1,r,6141.12
58748.36,20.14,0.14,False,r,AB,1,r,6141.12
58749.36,19.92,0.1,False,g,AB,1,g,4671.78
58749.36,20.04,0.11,False,g,AB,1,g,4671.78
58749.37,20.05,0.13,False,r,AB,1,r,6141.12
58749.37,20.41,0.17,False,r,AB,1,r,6141.12
58750.32,20.13,0.2,False,r,AB,1,r,6141.12
58750.33,20.0,0.12,False,r,AB,1,r,6141.12
58750.33,20.15,0.15,False,r,AB,1,r,6141.12
58751.409156,19.9657,0.1375,False,cyan,AB,1,cyan,5182.42
58753.54806,19.9684,0.3379,False,orange,AB,1,orange,6629.82
58755.466632,19.9307,0.2132,False,cyan,AB,1,cyan,5182.42
58757.33,20.11,0.19,False,r,AB,1,r,6141.12
