mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
58647.615952,19.0608,,True,orange,AB,0,orange,6629.82
58649.555763,19.1589,,True,orange,AB,0,orange,6629.82
58651.596923,19.5647,,True,orange,AB,0,orange,6629.82
58652.541338,19.0318,,True,orange,AB,0,orange,6629.82
58659.582596,19.5314,,True,orange,AB,0,orange,6629.82
58665.583953,20.3825,,True,cyan,AB,0,cyan,5182.42
58667.562295,19.5705,,True,orange,AB,0,orange,6629.82
58669.610727,20.1583,,True,cyan,AB,0,cyan,5182.42
58670.60355,20.4149,,True,cyan,AB,0,cyan,5182.42
58671.610943,20.3361,,True,cyan,AB,0,cyan,5182.42
58674.604703,19.8154,,True,orange,AB,0,orange,6629.82
58679.476732,18.9896,,True,orange,AB,0,orange,6629.82
58681.508401,19.5768,,True,orange,AB,0,orange,6629.82
58684.41,19.84,,True,g,AB,0,g,4671.78
58688.42,20.72,,True,r,AB,0,r,6141.12
58688.46,20.77,,True,g,AB,0,g,4671.78
58689.589836,19.9728,,True,orange,AB,0,orange,6629.82
58690.42,21.18,,True,r,AB,0,r,6141.12
58690.46,21.1,,True,g,AB,0,g,4671.78
58691.48,21.18,,True,g,AB,0,g,4671.78
58691.595254,19.487,,True,orange,AB,0,orange,6629.82
58692.928993,21.449,,True,G,AB,0,G,5850.88
58693.42,21.36,,True,g,AB,0,g,4671.78
58693.472735,20.5937,,True,cyan,AB,0,cyan,5182.42
58695.43,21.42,,True,g,AB,0,g,4671.78
58695.48,21.41,,True,r,AB,0,r,6141.12
58695.618535,19.5446,,True,orange,AB,0,orange,6629.82
58696.44,21.42,,True,g,AB,0,g,4671.78
58696.46,21.56,,True,r,AB,0,r,6141.12
58699.605196,19.9677,,True,orange,AB,0,orange,6629.82
58703.596005,19.6651,,True,orange,AB,0,orange,6629.82
58705.482495,20.1038,,True,cyan,AB,0,cyan,5182.42
58717.526172,19.7636,,True,orange,AB,0,orange,6629.82
58719.534592,19.8986,,True,orange,AB,0,orange,6629.82
58721.499879,19.3962,,True,cyan,AB,0,cyan,5182.42
58723.520413,19.7125,,True,orange,AB,0,orange,6629.82
58729.493104,20.3891,,True,cyan,AB,0,cyan,5182.42
58730.44,20.99,,True,g,AB,0,g,4671.78
58733.597536,19.1992,,True,orange,AB,0,orange,6629.82
58736.475457,19.7887,,True,orange,AB,0,orange,6629.82
58737.353105,19.221,,True,orange,AB,0,orange,6629.82
58745.458057,19.5662,,True,orange,AB,0,orange,6629.82
58751.431744,19.9375,,True,orange,AB,0,orange,6629.82
58753.492024,20.2987,,True,cyan,AB,0,cyan,5182.42
58755.459073,20.3513,,True,orange,AB,0,orange,6629.82
58757.558714,20.632,,True,cyan,AB,0,cyan,5182.42
58761.496286,20.365,,True,cyan,AB,0,cyan,5182.42
58762.445238,20.2723,,True,cyan,AB,0,cyan,5182.42
58763.379326,19.6323,,True,orange,AB,0,orange,6629.82
58764.373706,19.259,,True,orange,AB,0,orange,6629.82
58765.410789,19.0691,,True,orange,AB,0,orange,6629.82
58771.393583,19.2752,,True,orange,AB,0,orange,6629.82
58775.19,19.6,0.18,False,g,AB,1,g,4671.78
58775.19,19.64,0.19,False,r,AB,1,r,6141.12
58775.38314,19.1936,,True,orange,AB,0,orange,6629.82
58777.376548,19.3881,0.1282,False,cyan,AB,1,cyan,5182.42
58778.18,19.46,0.2,False,g,AB,1,g,4671.78
58778.31,19.42,0.27,False,r,AB,1,r,6141.12
58779.366558,19.919,0.346,False,orange,AB,1,orange,6629.82
58781.21,19.3,0.25,False,g,AB,1,g,4671.78
58781.39255,19.2044,0.1131,False,cyan,AB,1,cyan,5182.42
58783.385512,19.4755,0.2212,False,orange,AB,1,orange,6629.82
58785.21,19.16,0.12,False,g,AB,1,g,4671.78
58785.368475,19.1411,0.1066,False,cyan,AB,1,cyan,5182.42
58787.346382,19.6637,0.2036,False,orange,AB,1,orange,6629.82
58789.21,19.11,0.12,False,g,AB,1,g,4671.78
58789.21,19.11,0.12,False,g,AB,1,g,4671.78
58789.21468,19.129,0.0336,False,G,AB,1,G,5850.88
58789.28868,19.079,0.0329,False,G,AB,1,G,5850.88
58789.332875,19.5302,0.2418,False,orange,AB,1,orange,6629.82
58791.335966,19.2329,0.1526,False,orange,AB,1,orange,6629.82
58792.15,19.15,0.15,False,r,AB,1,r,6141.12
58792.19,18.97,0.14,False,g,AB,1,g,4671.78
58792.19,18.97,0.14,False,g,AB,1,g,4671.78
58797.11,18.96,0.24,False,r,AB,1,r,6141.12
58797.17,18.78,0.17,False,g,AB,1,g,4671.78
58797.17,18.78,0.17,False,g,AB,1,g,4671.78
58797.3791,18.9241,0.2862,False,orange,AB,1,orange,6629.82
58799.341728,19.0864,0.2057,False,orange,AB,1,orange,6629.82
58800.17,18.72,0.14,False,g,AB,1,g,4671.78
58800.25,18.83,0.19,False,r,AB,1,r,6141.12
58800.25,18.83,0.19,False,r,AB,1,r,6141.12
58800.384947,19.5777,0.2483,False,orange,AB,1,orange,6629.82
58800.79833,18.899,0.0305,False,G,AB,1,G,5850.88
58800.974479,18.829,0.0297,False,G,AB,1,G,5850.88
58801.389687,19.5561,0.3169,False,orange,AB,1,orange,6629.82
58802.334616,18.8807,0.1484,False,orange,AB,1,orange,6629.82
58803.21,18.6,0.12,False,g,AB,1,g,4671.78
58803.21,18.6,0.12,False,g,AB,1,g,4671.78
58803.23,18.96,0.16,False,r,AB,1,r,6141.12
58803.404093,19.3002,0.1597,False,orange,AB,1,orange,6629.82
58806.21,18.98,0.11,False,r,AB,1,r,6141.12
58807.366632,19.0905,0.1218,False,orange,AB,1,orange,6629.82
58808.41,20.37,0.24,False,UVW1,AB,1,UVW1,2681.67
58808.42,18.68,0.24,False,B,AB,1,B,4345.28
58808.42,21.0,0.23,False,UVM2,AB,1,UVM2,2245.03
58808.42,18.34,0.32,False,V,AB,1,V,5411.45
58808.42,21.08,0.24,False,UVW2,AB,1,UVW2,2083.95
58808.42,18.76,0.16,False,U,AB,1,U,3520.88
58810.86,18.62,0.05,False,g,AB,1,g,4671.78
58810.87,18.82,0.06,False,r,AB,1,r,6141.12
58810.87,19.01,0.1,False,z,AB,1,z,8970.57
58810.87,19.32,0.06,False,i,AB,1,i,7457.89
58811.332984,19.0617,0.1798,False,orange,AB,1,orange,6629.82
58812.14,18.6,0.1,False,g,AB,1,g,4671.78
58812.17,18.84,0.11,False,r,AB,1,r,6141.12
58812.19,18.89,0.06,False,r,AB,1,r,6141.12
58815.29627,19.0601,0.259,False,orange,AB,1,orange,6629.82
58816.31,20.33,0.21,False,UVW1,AB,1,UVW1,2681.67
58816.32,18.54,0.2,False,B,AB,1,B,4345.28
58816.32,18.57,0.34,False,V,AB,1,V,5411.45
58816.32,19.1,0.19,False,U,AB,1,U,3520.88
58816.32,20.91,0.17,False,UVM2,AB,1,UVM2,2245.03
58816.32,21.24,0.23,False,UVW2,AB,1,UVW2,2083.95
58817.288436,18.7531,0.0754,False,cyan,AB,1,cyan,5182.42
58819.29793,18.8393,0.1838,False,orange,AB,1,orange,6629.82
58819.81,18.47,0.05,False,g,AB,1,g,4671.78
58819.81,18.96,0.17,False,z,AB,1,z,8970.57
58819.81,19.25,0.19,False,i,AB,1,i,7457.89
58820.27,18.78,0.17,False,U,AB,1,U,3520.88
58820.27,20.22,0.17,False,UVW1,AB,1,UVW1,2681.67
58821.29328,19.1639,0.2077,False,orange,AB,1,orange,6629.82
58824.277288,19.198,0.2146,False,orange,AB,1,orange,6629.82
58824.75,19.96,0.16,False,UVW1,AB,1,UVW1,2681.67
58824.76,18.58,0.19,False,B,AB,1,B,4345.28
58824.76,18.98,0.15,False,U,AB,1,U,3520.88
58824.76,20.63,0.16,False,UVW2,AB,1,UVW2,2083.95
58824.77,20.49,0.15,False,UVM2,AB,1,UVM2,2245.03
58825.290949,18.9467,0.2033,False,orange,AB,1,orange,6629.82
58825.85,18.77,,True,V,AB,0,V,5411.45
58825.85,18.64,0.12,False,U,AB,1,U,3520.88
58825.85,20.94,0.17,False,UVW2,AB,1,UVW2,2083.95
58825.85,19.86,0.15,False,UVW1,AB,1,UVW1,2681.67
58825.85,18.39,0.16,False,B,AB,1,B,4345.28
58825.86,20.53,0.13,False,UVM2,AB,1,UVM2,2245.03
58826.298766,19.3107,0.2541,False,orange,AB,1,orange,6629.82
58827.294939,19.0952,0.1841,False,orange,AB,1,orange,6629.82
58828.262314,18.9657,0.1653,False,orange,AB,1,orange,6629.82
58829.296718,18.9249,0.1991,False,orange,AB,1,orange,6629.82
58830.06,19.84,0.13,False,UVW1,AB,1,UVW1,2681.67
58830.07,18.91,0.13,False,U,AB,1,U,3520.88
58830.07,18.3,0.14,False,B,AB,1,B,4345.28
58830.07,20.69,0.14,False,UVM2,AB,1,UVM2,2245.03
58830.07,20.88,0.16,False,UVW2,AB,1,UVW2,2083.95
58830.07,18.71,0.35,False,V,AB,1,V,5411.45
58830.265966,19.0766,0.1909,False,orange,AB,1,orange,6629.82
58830.86,18.52,0.07,False,g,AB,1,g,4671.78
58830.86,18.75,0.08,False,r,AB,1,r,6141.12
58830.87,19.03,0.12,False,z,AB,1,z,8970.57
58830.87,19.16,0.13,False,i,AB,1,i,7457.89
58833.07,18.91,0.16,False,r,AB,1,r,6141.12
58833.13,18.7,0.09,False,g,AB,1,g,4671.78
58833.280634,19.2069,0.1751,False,orange,AB,1,orange,6629.82
58836.797799,18.799,0.0293,False,G,AB,1,G,5850.88
58836.871789,18.789,0.0292,False,G,AB,1,G,5850.88
58837.08,18.83,0.12,False,r,AB,1,r,6141.12
58837.11,18.63,0.09,False,g,AB,1,g,4671.78
58837.305623,19.2817,0.1904,False,orange,AB,1,orange,6629.82
58839.286977,19.0348,0.2765,False,orange,AB,1,orange,6629.82
58840.55,18.7,0.12,False,U,AB,1,U,3520.88
58840.55,19.86,0.13,False,UVW1,AB,1,UVW1,2681.67
58840.56,18.76,,True,V,AB,0,V,5411.45
58840.56,18.92,0.23,False,B,AB,1,B,4345.28
58840.56,20.3,0.11,False,UVM2,AB,1,UVM2,2245.03
58840.56,21.0,0.17,False,UVW2,AB,1,UVW2,2083.95
58841.257681,18.8199,0.0851,False,cyan,AB,1,cyan,5182.42
58844.57,18.66,0.26,False,B,AB,1,B,4345.28
58844.57,18.84,0.18,False,U,AB,1,U,3520.88
58844.57,20.25,0.22,False,UVW1,AB,1,UVW1,2681.67
58844.57,20.65,0.17,False,UVM2,AB,1,UVM2,2245.03
58844.57,20.95,0.2,False,UVW2,AB,1,UVW2,2083.95
58845.286086,18.6754,0.0679,False,cyan,AB,1,cyan,5182.42
58847.3,18.58,0.21,False,B,AB,1,B,4345.28
58847.3,18.73,0.14,False,U,AB,1,U,3520.88
58847.3,19.81,0.16,False,UVW1,AB,1,UVW1,2681.67
58847.3,20.62,0.17,False,UVW2,AB,1,UVW2,2083.95
58847.31,20.49,0.17,False,UVM2,AB,1,UVM2,2245.03
58851.298668,19.3436,0.1324,False,orange,AB,1,orange,6629.82
58852.15,18.85,0.14,False,r,AB,1,r,6141.12
58852.239721,19.0772,0.1349,False,orange,AB,1,orange,6629.82
58852.44,18.84,0.25,False,B,AB,1,B,4345.28
58852.44,18.75,0.14,False,U,AB,1,U,3520.88
58852.44,18.23,0.26,False,V,AB,1,V,5411.45
58852.44,19.58,0.12,False,UVW1,AB,1,UVW1,2681.67
58852.44,20.96,0.17,False,UVW2,AB,1,UVW2,2083.95
58852.44,20.65,0.14,False,UVM2,AB,1,UVM2,2245.03
58855.250998,19.137,0.1341,False,orange,AB,1,orange,6629.82
58856.13,18.92,0.14,False,r,AB,1,r,6141.12
58856.42,18.54,0.14,False,U,AB,1,U,3520.88
58856.42,18.82,0.29,False,B,AB,1,B,4345.28
58856.42,20.04,0.21,False,UVW1,AB,1,UVW1,2681.67
58856.43,20.47,0.15,False,UVM2,AB,1,UVM2,2245.03
58856.43,20.49,0.17,False,UVW2,AB,1,UVW2,2083.95
58860.13,18.87,0.18,False,r,AB,1,r,6141.12
58860.27,18.64,0.22,False,B,AB,1,B,4345.28
58860.27,18.69,0.14,False,U,AB,1,U,3520.88
58860.27,20.1,0.17,False,UVW1,AB,1,UVW1,2681.67
58860.27,20.82,0.16,False,UVW2,AB,1,UVW2,2083.95
58860.28,20.35,0.12,False,UVM2,AB,1,UVM2,2245.03
58862.42,20.43,0.17,False,UVM2,AB,1,UVM2,2245.03
58863.09,18.89,0.12,False,r,AB,1,r,6141.12
58863.11,18.69,0.11,False,g,AB,1,g,4671.78
58867.260724,19.0515,0.1632,False,orange,AB,1,orange,6629.82
58869.24301,18.688,0.087,False,cyan,AB,1,cyan,5182.42
58870.25,20.37,0.16,False,UVM2,AB,1,UVM2,2245.03
58871.224943,19.2039,0.2092,False,orange,AB,1,orange,6629.82
58875.242276,19.3276,0.2081,False,orange,AB,1,orange,6629.82
58876.942749,18.829,0.0297,False,G,AB,1,G,5850.88
58877.1189,18.889,0.0304,False,G,AB,1,G,5850.88
58877.19291,18.839,0.0298,False,G,AB,1,G,5850.88
58877.369039,18.829,0.0297,False,G,AB,1,G,5850.88
58877.443039,18.849,0.0299,False,G,AB,1,G,5850.88
58877.61919,18.819,0.0295,False,G,AB,1,G,5850.88
58877.69319,18.859,0.03,False,G,AB,1,G,5850.88
58877.86934,18.839,0.0298,False,G,AB,1,G,5850.88
58877.94334,18.809,0.0294,False,G,AB,1,G,5850.88
58878.119489,18.849,0.0299,False,G,AB,1,G,5850.88
58878.36964,18.889,0.0304,False,G,AB,1,G,5850.88
58878.619789,18.869,0.0302,False,G,AB,1,G,5850.88
