mjd,mag,mag_err,UL,filter,detected
58756.46875,19.8901,inf,True,g,0
58757.589481,19.8788,inf,True,orange,0
58760.488281,20.3626,inf,True,g,0
58761.49,21.16,inf,True,r,0
58761.49,21.25,inf,True,r,0
58763.620248,20.6942,inf,True,cyan,0
58765.604471,19.7119,inf,True,orange,0
58768.230468,19.0426,inf,True,g,0
58770.43,20.18,inf,True,r,0
58770.43,20.32,inf,True,r,0
58771.45,19.97,inf,True,r,0
58771.45,20.04,inf,True,r,0
58771.622655,19.3788,inf,True,orange,0
58772.51,20.75,inf,True,r,0
58772.51,20.8,inf,True,r,0
58773.590879,19.365,inf,True,orange,0
58781.605085,19.4831,inf,True,orange,0
58782.515625,20.9942,0.2883,False,g,1
58783.49,20.84,inf,True,r,0
58783.49,20.85,inf,True,r,0
58783.572778,20.3096,inf,True,cyan,0
58787.592806,19.7462,inf,True,cyan,0
58788.503906,20.0529,inf,True,g,0
58788.527343,21.1818,0.3694,False,r,1
58789.57336,19.5407,inf,True,orange,0
58790.546875,20.7497,0.2703,False,g,1
58791.527343,20.5759,0.2509,False,g,1
58791.593285,19.9233,inf,True,cyan,0
58794.546875,20.6402,0.2259,False,g,1
58795.441406,20.6328,0.2204,False,r,1
58795.449218,20.6739,0.148,False,r,1
58795.457031,20.5587,0.1537,False,r,1
58795.46875,20.5663,0.1295,False,r,1
58795.480468,20.6237,0.145,False,r,1
58795.488281,20.6106,0.1512,False,r,1
58795.5,20.69,0.1936,False,r,1
58795.507812,20.6153,0.1489,False,r,1
58795.519531,20.631,0.1432,False,r,1
58795.527343,20.5427,0.1367,False,r,1
58795.618488,20.3867,0.2754,False,cyan,1
58797.497773,19.2635,inf,True,orange,0
58797.53125,20.5459,0.1987,False,r,1
58799.472656,20.3332,0.1783,False,r,1
58799.490449,19.0103,inf,True,orange,0
58800.492187,20.3872,0.1731,False,r,1
58800.546875,20.0673,0.277,False,g,1
58801.472656,19.8849,0.3047,False,r,1
58801.554377,19.0135,inf,True,orange,0
58806.488281,20.1466,0.2931,False,r,1
58807.598203,19.0066,inf,True,orange,0
58812.4375,19.5981,0.1298,False,g,1
58813.622262,19.5042,0.2361,False,orange,1
58815.539144,19.7987,0.1571,False,cyan,1
58817.621307,19.0824,0.1604,False,orange,1
58819.4375,19.4587,0.1099,False,r,1
58825.503841,19.182,0.1947,False,orange,1
58827.371093,19.3128,0.0702,False,r,1
58827.425781,19.3043,0.0757,False,r,1
58827.506817,19.2865,0.2755,False,orange,1
58828.367187,19.2559,0.0956,False,r,1
58828.414062,19.2443,0.0797,False,r,1
58829.482262,19.0932,0.2761,False,orange,1
58830.402343,19.2268,0.088,False,r,1
58835.441406,19.2206,0.1071,False,r,1
58836.464843,19.2808,0.0762,False,r,1
58837.453125,19.3345,0.062,False,r,1
58837.536299,19.1703,0.2121,False,orange,1
58838.460937,19.3442,0.1097,False,r,1
58841.537473,19.3412,0.2041,False,orange,1
58845.476043,19.255,0.2174,False,orange,1
58846.417968,19.4277,0.0701,False,r,1
58846.442997,19.3126,0.03,False,w,1
58849.514697,19.327,0.1854,False,orange,1
58850.277343,19.4554,0.065,False,r,1
58850.351562,19.4654,0.0483,False,r,1
58852.410156,19.4655,0.085,False,r,1
58853.425781,19.5074,0.2372,False,r,1
58854.355468,19.5447,0.0872,False,r,1
58854.414062,19.4628,0.152,False,r,1
58855.324218,19.5559,0.079,False,r,1
58856.324218,19.5694,0.0766,False,r,1
