mjd,mag,mag_err,UL,filter,detected
58781.598284,19.8335,inf,True,orange,0
58790.63987,20.3028,inf,True,cyan,0
58792.637915,19.7047,inf,True,orange,0
58793.519531,20.0422,inf,True,r,0
58796.570005,19.436,inf,True,orange,0
58798.535156,19.8858,inf,True,r,0
58798.629296,19.507,inf,True,orange,0
58799.532896,19.0152,inf,True,orange,0
58800.641215,19.7996,inf,True,orange,0
58801.606174,19.7785,inf,True,orange,0
58804.503906,19.5865,inf,True,g,0
58804.546875,19.5897,inf,True,r,0
58812.549386,19.8635,inf,True,r,0
58812.549838,19.801,inf,True,r,0
58812.550781,19.9092,inf,True,r,0
58813.511845,19.5694,inf,True,orange,0
58816.621045,19.4179,inf,True,orange,0
58819.50331,16.9125,inf,True,r,0
58819.546307,18.2727,inf,True,g,0
58820.648253,19.5052,inf,True,orange,0
58822.593292,18.9945,inf,True,orange,0
58823.543298,18.8565,inf,True,r,0
58824.593765,19.4245,inf,True,orange,0
58825.528215,19.6371,inf,True,orange,0
58826.6111,19.4573,inf,True,orange,0
58827.449218,19.6152,inf,True,r,0
58827.450937,19.3341,inf,True,r,0
58827.540887,19.4481,inf,True,orange,0
58827.545972,20.3161,0.2605,False,g,1
58827.546875,20.4403,0.1766,False,g,1
58828.585779,19.2113,inf,True,orange,0
58829.458527,19.2584,inf,True,orange,0
58830.428472,19.4375,inf,True,r,0
58830.429687,20.3794,0.3301,False,r,1
58830.548425,19.3567,inf,True,g,0
58836.480468,19.8818,0.1399,False,r,1
58836.480659,19.8734,inf,True,r,0
58836.503645,19.8188,0.17,False,r,1
58836.550474,19.9297,inf,True,g,0
58836.550781,19.8238,0.5286,False,g,1
58836.550925,19.5609,0.1844,False,g,1
58836.642603,19.239,inf,True,orange,0
58839.482673,16.1646,inf,True,g,0
58841.584005,19.8009,0.3338,False,orange,1
58844.609561,19.7911,0.3273,False,orange,1
58846.459988,19.6701,0.1606,False,r,1
58846.460439,20.3098,inf,True,r,0
58846.460937,19.6902,0.0826,False,r,1
58846.57481,19.5272,0.1475,False,cyan,1
58849.456319,19.4668,0.1408,False,r,1
58849.457031,19.5267,0.1251,False,r,1
58849.457256,19.4997,0.1724,False,r,1
58849.480578,20.2996,inf,True,g,0
58849.496093,19.683,0.5524,False,g,1
58849.496261,19.3892,0.141,False,g,1
58849.635459,19.585,0.2741,False,orange,1
58850.560995,19.476,0.02,False,w,1
58850.605074,19.6864,0.3026,False,orange,1
58852.4375,19.4981,0.1128,False,r,1
58852.439224,19.4546,0.1276,False,r,1
58852.482395,20.7173,inf,True,g,0
58852.482847,19.3428,0.1286,False,g,1
58852.484375,19.3148,0.1097,False,g,1
58852.521969,19.6103,0.2917,False,orange,1
58853.494861,19.4622,0.1392,False,g,1
58853.496093,19.6761,0.5449,False,g,1
58854.433593,19.7049,0.1364,False,r,1
58854.434479,19.5452,0.2468,False,r,1
58855.361701,19.4626,0.2375,False,r,1
58855.363281,19.5184,0.1806,False,r,1
58855.459919,19.9248,inf,True,g,0
58855.483865,19.4619,0.1687,False,g,1
58855.484375,19.684,0.5942,False,g,1
58859.318217,19.3424,0.2604,False,r,1
58859.320312,19.4482,0.1713,False,r,1
58859.339548,18.9673,inf,True,r,0
58859.339843,19.2212,0.1876,False,r,1
58859.339843,19.5282,0.2025,False,r,1
58860.35677,18.8144,inf,True,r,0
58863.341747,19.6486,0.2743,False,r,1
58863.34375,19.7186,0.2163,False,r,1
58864.401412,20.0439,inf,True,g,0
58866.371093,19.5985,0.1162,False,r,1
58866.372187,19.5579,0.1445,False,r,1
58866.398333,19.6423,0.1451,False,g,1
58866.398437,19.8518,0.549,False,g,1
58866.561879,19.4585,0.2483,False,orange,1
58867.397638,20.471,inf,True,g,0
58868.434195,19.782,0.3345,False,orange,1
58870.482554,19.727,0.1735,False,cyan,1
58872.242187,19.6957,0.0519,False,g,1
58872.246093,19.6259,0.0641,False,r,1
58872.25,19.75,0.0931,False,i,1
58872.464843,19.675,0.0561,False,g,1
58872.46875,19.7245,0.0595,False,r,1
58872.472656,19.8949,0.1022,False,i,1
58872.582676,19.66,0.2977,False,orange,1
58873.291666,19.5981,0.1242,False,r,1
58873.292968,19.7341,0.1287,False,r,1
58873.357314,20.4488,inf,True,g,0
58873.357766,19.8566,0.1759,False,g,1
58873.359375,20.1447,0.5581,False,g,1
58873.550781,19.7379,0.0709,False,g,1
58873.554687,19.851,0.0911,False,r,1
58873.558593,19.9033,0.216,False,i,1
58874.5,17.7892,inf,True,i,0
58874.545363,19.6636,0.1601,False,cyan,1
58875.573804,19.7544,0.1741,False,cyan,1
58876.335937,19.7488,0.1124,False,r,1
58876.337881,19.6916,0.1444,False,r,1
58876.339843,19.8619,0.109,False,r,1
58876.378182,20.6284,inf,True,g,0
58876.378634,19.8621,0.1727,False,g,1
58876.378634,19.8689,0.1749,False,g,1
58876.378906,20.042,0.5286,False,g,1
58876.378906,20.1045,0.5298,False,g,1
58876.496093,19.8029,0.0542,False,g,1
58876.5,19.8346,0.0639,False,r,1
58876.503906,19.762,0.0798,False,i,1
58877.339843,19.8784,0.1585,False,r,1
58877.375,20.1721,0.6204,False,g,1
58878.320312,19.8235,0.0564,False,g,1
58878.324218,19.8125,0.0705,False,r,1
58878.328125,19.8736,0.0866,False,i,1
58878.351562,19.885,0.1468,False,r,1
58878.378906,19.8177,0.2036,False,g,1
58879.352141,19.2061,inf,True,r,0
58879.480468,19.8648,0.1032,False,g,1
58879.484375,20.0345,0.1334,False,r,1
58879.488281,19.9319,inf,True,i,0
58880.335937,19.8218,0.1443,False,r,1
58880.421875,20.0091,0.6165,False,g,1
58880.480468,20.1176,0.1143,False,g,1
58880.484375,20.0261,0.0889,False,r,1
58880.488281,19.9795,0.3243,False,i,1
58881.285156,19.8697,0.0714,False,g,1
58881.289062,19.807,0.06,False,r,1
58881.292968,19.7921,0.0791,False,i,1
58881.371093,20.0683,0.1743,False,r,1
58881.441406,20.2651,0.5894,False,g,1
58883.273437,19.8844,0.2742,False,r,1
58883.287025,19.2172,inf,True,r,0
58883.287476,19.3799,inf,True,r,0
58883.289062,20.3033,0.3285,False,r,1
58883.39846,19.2853,inf,True,g,0
58883.418101,19.7325,inf,True,g,0
58883.483132,19.4693,0.2669,False,orange,1
58884.230468,19.8118,0.2873,False,r,1
58884.45358,19.5198,0.2732,False,orange,1
58885.292968,19.5096,inf,True,g,0
58885.292968,20.2654,inf,True,g,0
58885.398601,19.6615,0.3296,False,orange,1
58886.272731,19.4124,inf,True,r,0
58886.273437,19.7597,0.1974,False,r,1
58886.421875,19.8506,0.1142,False,r,1
58886.425781,19.7982,0.1392,False,i,1
58890.292968,19.4737,inf,True,g,0
58890.414062,19.1651,inf,True,r,0
58891.232037,19.089,inf,True,g,0
58891.308298,19.5133,inf,True,r,0
58891.308593,20.1294,0.2364,False,r,1
58891.316111,19.5618,0.2056,False,r,1
58892.292968,19.9419,0.1527,False,r,1
58893.25,20.5096,0.5529,False,g,1
58893.3125,20.0971,0.1411,False,r,1
58894.269531,19.9182,0.1312,False,r,1
58894.269531,20.1977,0.1603,False,r,1
58894.270463,19.9111,0.1992,False,r,1
58894.290868,19.9025,0.1785,False,r,1
58894.292968,21.0577,1.662,False,r,1
58894.314699,20.1699,0.2121,False,g,1
58894.31515,20.6223,0.3118,False,g,1
58894.316406,20.2611,0.1071,False,g,1
58894.316406,20.6239,0.5448,False,g,1
58895.25,20.3702,0.1143,False,g,1
58895.277343,19.9511,0.1743,False,r,1
58896.25,20.6224,0.5326,False,g,1
58896.3125,20.3337,0.1201,False,r,1
58898.289062,20.513,0.13,False,g,1
58898.289062,20.6362,0.5571,False,g,1
58898.290601,20.4027,0.2652,False,g,1
58898.316406,20.1822,0.4306,False,r,1
58898.317083,20.0903,0.2698,False,r,1
58899.300781,20.0039,0.1279,False,r,1
58899.300914,20.0638,0.1739,False,r,1
58899.316406,20.1777,0.1286,False,r,1
58899.359375,20.7259,0.5523,False,g,1
58900.253906,20.2079,0.1536,False,r,1
58900.332031,20.49,0.6032,False,g,1
58901.375,20.0492,0.1596,False,r,1
58902.440879,20.2948,0.3236,False,cyan,1
58903.226562,20.2562,0.1861,False,r,1
58903.296875,20.8363,0.5521,False,g,1
58903.308593,20.5315,0.5712,False,g,1
58904.226562,20.2086,0.1216,False,r,1
58904.226562,20.2912,0.162,False,r,1
58904.273437,20.79,0.5659,False,g,1
58904.273437,20.9086,0.6228,False,g,1
58904.456753,19.4203,inf,True,orange,0
58905.210937,20.0319,0.2508,False,r,1
58905.261718,20.8713,0.6375,False,g,1
58905.431505,19.1274,inf,True,orange,0
58906.25,19.6322,inf,True,r,0
58906.3125,20.8119,0.5842,False,g,1
58906.44728,19.2094,inf,True,orange,0
58909.273437,20.5437,0.284,False,g,1
58909.273437,20.5717,0.3717,False,g,1
58909.296875,20.6364,0.3349,False,r,1
58909.296875,20.6814,0.4595,False,r,1
58911.359375,19.2942,inf,True,g,0
58911.374916,19.207,inf,True,orange,0
58912.226562,20.0689,0.2511,False,r,1
58912.226562,20.1722,0.2574,False,r,1
58912.226562,20.4596,0.23,False,r,1
58912.226562,20.5549,0.2815,False,r,1
58912.234375,20.4495,0.2923,False,g,1
58912.253906,19.9681,inf,True,g,0
58912.464806,19.4422,inf,True,orange,0
58913.273437,20.1109,inf,True,g,0
58913.408752,19.3022,inf,True,orange,0
58914.230468,19.211,inf,True,g,0
58914.339843,19.9707,inf,True,r,0
58924.473186,19.333,inf,True,orange,0
58930.441168,19.6555,inf,True,cyan,0
58931.418756,19.9553,inf,True,cyan,0
58949.372198,19.6118,inf,True,orange,0
58951.316329,19.7582,inf,True,cyan,0
58956.330838,19.8157,inf,True,orange,0
58957.381439,19.5813,inf,True,orange,0
58958.331563,20.2068,inf,True,cyan,0
58959.306319,19.9918,inf,True,cyan,0
58960.360919,19.4437,inf,True,orange,0
58964.317021,19.7813,inf,True,orange,0
58968.341204,19.8627,inf,True,orange,0
58969.289952,19.5814,inf,True,orange,0
58974.301655,19.6454,inf,True,orange,0
58975.326984,19.4892,inf,True,orange,0
58977.361146,19.7402,inf,True,orange,0
58981.289593,19.8551,inf,True,orange,0
58982.289198,20.2896,inf,True,cyan,0
58986.326376,20.2556,inf,True,cyan,0
58988.28501,19.872,inf,True,orange,0
58990.267716,20.4468,inf,True,cyan,0
58995.289366,19.8539,inf,True,orange,0
59000.266134,19.7374,inf,True,orange,0
59013.262565,19.8754,inf,True,orange,0
59142.628172,20.1517,inf,True,cyan,0
59157.620673,19.8048,inf,True,orange,0
59170.61319,19.8609,inf,True,cyan,0
59178.631716,20.4761,inf,True,cyan,0
59193.648398,19.8348,inf,True,orange,0
59195.615729,20.0393,inf,True,cyan,0
59196.551372,20.289,inf,True,cyan,0
59198.562894,19.8746,inf,True,cyan,0
59221.0,24.6014,inf,True,g,0
59221.0,24.7122,inf,True,i,0
59221.0,24.7206,inf,True,r,0
