mjd,mag,mag_err,UL,filter,System,detected
59083.554697,18.981,,True,cyan,AB,0
59085.560809,18.7433,,True,orange,AB,0
59087.570381,18.9912,,True,cyan,AB,0
59089.589527,19.3827,,True,orange,AB,0
59093.514265,19.0861,,True,orange,AB,0
59094.508994,18.5366,,True,orange,AB,0
59095.521467,18.665,,True,orange,AB,0
59096.551953,18.7513,,True,orange,AB,0
59101.589552,18.6627,,True,orange,AB,0
59103.603173,19.0908,,True,orange,AB,0
59109.515512,19.0256,,True,orange,AB,0
59111.563662,18.3619,,True,cyan,AB,0
59112.503244,19.0272,,True,orange,AB,0
59113.59129,19.0889,,True,orange,AB,0
59115.607728,19.0117,,True,cyan,AB,0
59117.512038,19.3102,,True,orange,AB,0
59119.512067,18.4213,,True,orange,AB,0
59120.504056,18.7041,,True,orange,AB,0
59121.516301,18.8404,,True,orange,AB,0
59123.511869,18.5033,,True,orange,AB,0
59129.585237,18.714,,True,orange,AB,0
59130.584889,18.6757,,True,orange,AB,0
59131.580622,18.8319,,True,orange,AB,0
59133.533666,19.0209,,True,orange,AB,0
59135.589486,18.3267,,True,orange,AB,0
59137.538524,18.7422,,True,orange,AB,0
59139.561949,19.1462,,True,cyan,AB,0
59141.462541,18.9556,,True,orange,AB,0
59143.445763,18.3156,,True,cyan,AB,0
59145.518992,19.339,,True,orange,AB,0
59146.528947,17.9834,,True,cyan,AB,0
59147.511127,19.0576,,True,cyan,AB,0
59148.344855,18.9891,,True,orange,AB,0
59157.499232,18.2715,,True,orange,AB,0
59158.295474,17.7852,,True,g,AB,0
59158.351574,18.5026,,True,r,AB,0
59163.474969,18.9695,,True,cyan,AB,0
59165.30103,18.8972,,True,g,AB,0
59165.349212,19.3718,,True,r,AB,0
59167.344675,19.627,0.3483,False,r,AB,1
59169.295335,19.1052,,True,r,AB,0
59169.319455,18.6369,,True,g,AB,0
59171.256423,19.0464,0.2988,False,g,AB,1
59171.354016,19.3727,0.3105,False,r,AB,1
59175.296099,17.9529,,True,g,AB,0
59175.31978,18.6277,,True,r,AB,0
59177.392013,18.9795,0.2848,False,g,AB,1
59179.230787,17.8635,,True,g,AB,0
59179.447514,18.2099,,True,orange,AB,0
59184.226261,17.3627,,True,g,AB,0
59184.290925,18.2891,,True,r,AB,0
59185.508956,18.4768,0.2798,False,orange,AB,1
59186.298541,17.9156,,True,r,AB,0
59186.337523,17.0265,,True,g,AB,0
59186.435806,18.7757,0.3321,False,orange,AB,1
59187.470409,18.7063,0.313,False,orange,AB,1
59188.207048,18.0252,,True,g,AB,0
59188.207048,18.0435,,True,g,AB,0
59188.271134,18.7448,0.21,False,r,AB,1
59189.384957,18.2068,,True,orange,AB,0
59190.17346,18.5216,0.15,False,r,AB,1
59190.17346,18.5759,0.1525,False,r,AB,1
59191.365661,18.6145,0.2482,False,cyan,AB,1
59192.419343,18.7548,0.2753,False,orange,AB,1
59193.199641,18.4873,0.2557,False,g,AB,1
59193.199641,18.4652,0.26,False,g,AB,1
59193.26949,18.4851,0.116,False,r,AB,1
59193.413991,18.4673,0.2124,False,orange,AB,1
59194.391323,18.5247,0.1671,False,cyan,AB,1
59195.22221,18.4043,0.1213,False,r,AB,1
59195.245544,18.2238,0.1775,False,g,AB,1
59195.484387,18.1946,0.1278,False,cyan,AB,1
59197.247743,18.2453,,True,r,AB,0
59197.380884,18.4217,0.2098,False,cyan,AB,1
59198.400741,18.5663,0.2236,False,cyan,AB,1
59200.174108,18.057,0.1689,False,g,AB,1
59200.238402,18.3211,0.1398,False,r,AB,1
59203.173738,18.3319,0.247,False,g,AB,1
59203.191713,18.4132,0.1563,False,r,AB,1
59204.267933,18.2894,0.1948,False,orange,AB,1
59205.167881,18.2162,0.131,False,r,AB,1
59205.167881,18.2163,0.131,False,r,AB,1
59205.265428,18.0517,0.1896,False,g,AB,1
59205.339614,18.4386,0.2069,False,orange,AB,1
59206.268166,18.2181,0.1791,False,orange,AB,1
59207.204537,15.4341,,True,r,AB,0
59207.289494,18.4613,0.2523,False,orange,AB,1
59211.164421,18.107,,True,r,AB,0
59211.212256,17.4993,,True,g,AB,0
59212.351845,18.415,0.2708,False,orange,AB,1
