mjd,mag,mag_err,UL,filter,detected
58961.5,19.64,inf,True,r,0
58963.5,20.21,inf,True,g,0
58965.49,20.86,inf,True,r,0
58965.49,20.89,inf,True,r,0
58965.5,20.82,inf,True,r,0
58967.48,20.83,inf,True,r,0
58967.49,20.68,inf,True,r,0
58967.49,20.79,inf,True,r,0
58967.49,20.97,inf,True,r,0
58971.48,20.61,inf,True,r,0
58971.48,20.71,inf,True,r,0
58971.49,20.54,inf,True,r,0
58971.49,20.6,inf,True,r,0
58973.48,20.81,inf,True,r,0
58973.48,20.87,inf,True,r,0
58973.49,20.47,inf,True,r,0
58973.49,20.73,inf,True,r,0
58975.48,20.18,inf,True,r,0
58975.48,20.32,inf,True,r,0
58975.48,20.35,inf,True,r,0
58975.49,20.14,inf,True,r,0
58977.47,19.8,inf,True,r,0
58977.48,19.96,inf,True,r,0
58977.48,19.47,inf,True,r,0
58977.48,19.87,inf,True,r,0
58979.47,20.6,inf,True,r,0
58979.48,20.45,inf,True,r,0
58979.48,20.56,inf,True,r,0
58979.48,20.57,inf,True,r,0
58981.47,20.48,inf,True,r,0
58981.48,20.41,inf,True,r,0
58981.48,20.5,inf,True,r,0
58981.49,20.37,inf,True,r,0
58998.45,21.42,inf,True,g,0
58998.48,20.85,inf,True,r,0
59002.42,19.63,inf,True,g,0
59014.39,20.91,inf,True,g,0
59014.47,20.73,0.24,False,r,1
59018.36,20.57,0.24,False,g,1
59018.47,20.41,0.18,False,r,1
59023.35,20.11,0.16,False,g,1
59026.47,20.11,0.1,False,r,1
59030.38,19.91,0.14,False,g,1
59030.48,20.02,0.15,False,r,1
59033.37,19.88,0.18,False,r,1
59036.39,19.58,0.15,False,r,1
59036.48,19.72,0.22,False,g,1
59037.48,19.66,0.12,False,r,1
59039.37,19.68,0.21,False,g,1
59039.45,19.67,0.12,False,r,1
59041.49,19.52,0.1,False,r,1
59042.37,19.75,0.13,False,g,1
59042.4,19.59,0.09,False,r,1
59042.4,19.5,0.08,False,r,1
59042.4,19.51,0.08,False,r,1
59042.4,19.51,0.08,False,r,1
59042.4,19.55,0.08,False,r,1
59042.4,19.56,0.09,False,r,1
59042.4,19.57,0.08,False,r,1
59042.4,19.66,0.1,False,r,1
59042.4,19.54,0.08,False,r,1
59042.4,19.63,0.08,False,r,1
59042.4,19.63,0.09,False,r,1
59042.4,19.65,0.09,False,r,1
59042.4,19.69,0.09,False,r,1
59042.4,19.78,0.1,False,r,1
59042.4,19.8,0.09,False,r,1
59042.4,19.8,0.11,False,r,1
59042.4,19.62,0.09,False,r,1
59042.41,19.58,0.08,False,r,1
59042.41,19.57,0.09,False,r,1
59042.41,19.55,0.09,False,r,1
59042.41,19.54,0.08,False,r,1
59042.41,19.62,0.09,False,r,1
59042.41,19.53,0.08,False,r,1
59042.41,19.41,0.07,False,r,1
59042.41,19.59,0.1,False,r,1
59042.41,19.54,0.08,False,r,1
59042.41,19.62,0.08,False,r,1
59042.41,19.78,0.09,False,r,1
59042.41,19.62,0.09,False,r,1
59042.41,19.74,0.11,False,r,1
59042.41,19.64,0.09,False,r,1
59042.41,19.76,0.1,False,r,1
59042.41,19.85,0.1,False,r,1
59042.41,19.72,0.1,False,r,1
59042.41,19.71,0.1,False,r,1
59042.41,19.71,0.1,False,r,1
59042.41,19.67,0.09,False,r,1
59042.41,19.58,0.08,False,r,1
59042.42,19.46,0.07,False,r,1
59042.42,19.48,0.08,False,r,1
59042.42,19.52,0.07,False,r,1
59042.42,19.52,0.08,False,r,1
59042.42,19.53,0.08,False,r,1
59042.42,19.53,0.08,False,r,1
59042.42,19.6,0.09,False,r,1
59042.42,19.55,0.08,False,r,1
59042.42,19.56,0.08,False,r,1
59042.42,19.46,0.07,False,r,1
59042.42,19.53,0.08,False,r,1
59042.42,19.68,0.09,False,r,1
59042.42,19.67,0.08,False,r,1
59042.42,19.62,0.09,False,r,1
59042.42,19.64,0.09,False,r,1
59042.42,19.66,0.1,False,r,1
59042.42,19.72,0.09,False,r,1
59042.42,19.62,0.08,False,r,1
59042.42,19.67,0.09,False,r,1
59042.42,19.61,0.08,False,r,1
59042.42,19.61,0.09,False,r,1
59042.42,19.67,0.09,False,r,1
59042.43,19.5,0.08,False,r,1
59042.43,19.57,0.08,False,r,1
59042.43,19.58,0.09,False,r,1
59042.43,19.58,0.09,False,r,1
59042.43,19.58,0.09,False,r,1
59042.43,19.47,0.07,False,r,1
59042.43,19.56,0.08,False,r,1
59042.43,19.55,0.08,False,r,1
59042.43,19.53,0.08,False,r,1
59042.43,19.59,0.08,False,r,1
59042.43,19.59,0.09,False,r,1
59042.43,19.61,0.08,False,r,1
59042.43,19.75,0.09,False,r,1
59042.43,19.74,0.09,False,r,1
59042.43,19.69,0.09,False,r,1
59042.43,19.68,0.09,False,r,1
59042.43,19.62,0.09,False,r,1
59042.43,19.67,0.09,False,r,1
59042.43,19.64,0.08,False,r,1
59042.43,19.63,0.08,False,r,1
59042.43,19.67,0.09,False,r,1
59042.44,19.59,0.08,False,r,1
59042.44,19.48,0.08,False,r,1
59042.44,19.5,0.08,False,r,1
59042.44,19.52,0.08,False,r,1
59042.44,19.53,0.08,False,r,1
59042.44,19.63,0.08,False,r,1
59042.44,19.55,0.07,False,r,1
59042.44,19.55,0.08,False,r,1
59042.44,19.57,0.08,False,r,1
59042.44,19.68,0.09,False,r,1
59042.44,19.54,0.07,False,r,1
59042.44,19.65,0.09,False,r,1
59042.44,19.66,0.09,False,r,1
59042.44,19.67,0.09,False,r,1
59042.44,19.72,0.09,False,r,1
59042.44,19.69,0.09,False,r,1
59042.44,19.69,0.09,False,r,1
59042.44,19.69,0.09,False,r,1
59042.44,19.72,0.09,False,r,1
59042.44,19.64,0.08,False,r,1
59042.44,19.63,0.09,False,r,1
59042.45,19.61,0.09,False,r,1
59042.45,19.61,0.08,False,r,1
59042.45,19.54,0.09,False,r,1
59042.45,19.62,0.08,False,r,1
59042.45,19.53,0.08,False,r,1
59042.45,19.52,0.07,False,r,1
59042.45,19.48,0.07,False,r,1
59042.45,19.62,0.08,False,r,1
59042.45,19.54,0.07,False,r,1
59042.45,19.62,0.08,False,r,1
59042.45,19.6,0.08,False,r,1
59042.45,19.63,0.08,False,r,1
59042.45,19.71,0.09,False,r,1
59042.45,19.65,0.08,False,r,1
59042.45,19.81,0.09,False,r,1
59042.45,19.72,0.09,False,r,1
59042.45,19.72,0.09,False,r,1
59042.45,19.82,0.09,False,r,1
59042.45,19.69,0.08,False,r,1
59042.45,19.67,0.08,False,r,1
59042.45,19.65,0.08,False,r,1
59042.45,19.67,0.08,False,r,1
59042.46,19.66,0.09,False,r,1
59042.46,19.51,0.08,False,r,1
59042.46,19.55,0.08,False,r,1
59042.46,19.61,0.08,False,r,1
59042.46,19.7,0.08,False,r,1
59042.46,19.71,0.09,False,r,1
59042.46,19.73,0.08,False,r,1
59042.46,19.68,0.08,False,r,1
59042.47,19.5,0.08,False,r,1
59042.48,19.55,0.08,False,r,1
59043.37,19.58,0.09,False,g,1
59043.49,19.69,0.09,False,r,1
59044.36,19.54,0.09,False,g,1
59044.46,19.66,0.07,False,r,1
59044.49,19.73,0.09,False,r,1
59045.37,19.79,0.08,False,r,1
59045.45,19.7,0.07,False,g,1
59045.49,19.55,0.09,False,r,1
59046.42,19.59,0.06,False,r,1
59046.46,19.86,0.07,False,r,1
59046.47,19.66,0.07,False,g,1
59047.43,19.61,0.06,False,r,1
59047.45,19.63,0.06,False,g,1
59048.44,19.58,0.06,False,r,1
59048.45,19.54,0.06,False,g,1
59049.44,19.68,0.06,False,r,1
59049.45,19.65,0.07,False,g,1
59050.43,19.48,0.06,False,g,1
59050.47,19.67,0.06,False,r,1
59050.49,19.59,0.07,False,r,1
59051.44,19.75,0.07,False,r,1
59051.45,19.59,0.07,False,g,1
59052.43,19.61,0.07,False,r,1
59053.41,19.78,0.07,False,g,1
59053.43,19.61,0.06,False,g,1
59053.46,19.63,0.05,False,r,1
59053.5,19.55,0.1,False,r,1
59054.39,19.63,0.06,False,r,1
59054.41,19.68,0.06,False,r,1
59054.45,19.67,0.06,False,g,1
59054.49,19.47,0.08,False,g,1
59055.43,19.67,0.07,False,g,1
59055.44,19.65,0.06,False,r,1
59056.43,19.5,0.06,False,g,1
59056.47,19.64,0.06,False,r,1
59056.49,19.53,0.06,False,r,1
59057.41,19.56,0.07,False,g,1
59057.45,19.63,0.06,False,r,1
59057.5,19.4,0.09,False,r,1
59059.43,19.49,0.06,False,g,1
59059.44,19.61,0.06,False,r,1
59059.46,19.55,0.06,False,r,1
59060.42,19.6,0.06,False,r,1
59060.44,19.6,0.05,False,r,1
59060.48,19.5,0.06,False,g,1
59060.49,19.4,0.06,False,g,1
59061.34,19.35,0.08,False,r,1
59061.47,19.58,0.06,False,g,1
59062.45,19.5,0.08,False,g,1
59062.49,19.55,0.06,False,r,1
59063.35,19.36,0.12,False,r,1
59063.39,19.63,0.13,False,r,1
59063.48,19.39,0.1,False,g,1
59064.34,19.42,0.14,False,r,1
59064.43,19.5,0.2,False,r,1
59064.43,19.53,0.11,False,r,1
59064.49,19.61,0.19,False,g,1
59065.37,19.58,0.16,False,r,1
59065.44,19.38,0.15,False,r,1
59066.37,19.33,0.13,False,g,1
59066.41,19.4,0.16,False,g,1
59066.46,19.47,0.1,False,r,1
59066.49,19.39,0.1,False,r,1
59067.4,19.55,0.14,False,g,1
59067.41,19.44,0.13,False,g,1
59067.43,19.52,0.09,False,r,1
59068.37,19.56,0.1,False,r,1
59068.5,19.67,0.17,False,g,1
59069.43,19.66,0.08,False,r,1
59071.44,19.5,0.09,False,g,1
59072.38,19.77,0.11,False,g,1
59072.5,19.46,0.07,False,r,1
59073.33,19.57,0.09,False,g,1
59073.39,19.58,0.08,False,g,1
59073.45,19.58,0.07,False,r,1
59075.33,19.7,0.08,False,r,1
59075.37,19.66,0.16,False,g,1
59075.37,19.68,0.08,False,g,1
59075.37,19.82,0.08,False,g,1
59076.36,19.69,0.08,False,r,1
59076.39,19.55,0.07,False,r,1
59076.45,19.76,0.11,False,g,1
59076.5,19.78,0.11,False,g,1
59077.39,19.84,0.08,False,g,1
59077.4,19.89,0.08,False,g,1
59077.45,19.83,0.07,False,r,1
59077.47,19.71,0.06,False,r,1
59078.35,19.72,0.07,False,r,1
59078.4,19.89,0.1,False,g,1
59079.34,19.83,0.08,False,g,1
59079.39,19.81,0.07,False,r,1
59079.43,19.67,0.07,False,r,1
59080.34,19.62,0.07,False,r,1
59080.36,19.8,0.08,False,r,1
59080.41,20.11,0.14,False,g,1
59080.42,20.2,0.14,False,g,1
59081.39,19.91,0.09,False,r,1
59081.43,19.86,0.08,False,r,1
59081.47,19.87,0.1,False,g,1
59082.34,20.18,inf,True,g,0
59082.43,20.06,0.13,False,g,1
59082.47,20.02,0.15,False,r,1
59084.35,20.52,0.17,False,g,1
59084.4,20.61,0.18,False,g,1
59084.49,20.1,0.09,False,r,1
59085.33,19.88,0.07,False,r,1
59085.36,20.36,0.13,False,g,1
59085.38,20.54,0.17,False,g,1
59086.34,19.97,0.08,False,r,1
59086.38,19.88,0.07,False,r,1
59086.47,20.41,0.13,False,g,1
59087.34,20.47,0.16,False,g,1
59087.36,19.94,0.08,False,r,1
59087.43,20.04,0.09,False,r,1
59088.33,20.26,0.16,False,g,1
59088.33,20.35,inf,True,g,0
59088.38,19.98,0.09,False,r,1
59088.38,20.05,0.1,False,r,1
59088.48,20.67,0.22,False,g,1
59089.31,20.5,inf,True,g,0
59089.38,20.92,0.25,False,g,1
59089.42,20.15,0.1,False,r,1
59089.45,20.04,0.1,False,r,1
59090.32,20.67,inf,True,g,0
59090.41,20.33,0.15,False,g,1
59090.45,20.07,0.09,False,r,1
59090.5,20.1,0.1,False,r,1
59091.28,20.54,inf,True,g,0
59092.31,20.48,inf,True,g,0
59093.36,19.84,0.17,False,r,1
59093.42,20.33,inf,True,g,0
59094.34,20.06,0.26,False,r,1
59094.36,19.81,0.23,False,r,1
