mjd,mag,mag_err,UL,filter,System,detected
58868.531629,21.3356,,True,cyan,AB,0
58870.4873,20.1846,,True,orange,AB,0
58872.477806,20.7563,,True,cyan,AB,0
58874.516384,20.0132,,True,orange,AB,0
58876.558184,21.0028,,True,cyan,AB,0
58878.485926,19.8301,,True,orange,AB,0
58882.509331,20.4937,,True,orange,AB,0
58884.520628,20.0654,,True,orange,AB,0
58894.472869,20.1724,,True,orange,AB,0
58900.24,21.56,,True,r,AB,0
58900.26,21.54,,True,r,AB,0
58900.32,21.84,,True,g,AB,0
58900.460055,21.1463,,True,cyan,AB,0
58902.445462,20.0933,,True,orange,AB,0
58903.32,21.98,,True,g,AB,0
58903.32,21.98,,True,g,AB,0
58903.33,21.93,,True,g,AB,0
58903.39,21.68,,True,r,AB,0
58903.39,21.83,,True,r,AB,0
58904.22,21.38,,True,r,AB,0
58904.3,21.84,,True,g,AB,0
58905.22,20.94,,True,r,AB,0
58905.29,21.28,,True,g,AB,0
58905.33,20.72,,True,i,AB,0
58906.24,21.14,,True,r,AB,0
58906.24,21.17,,True,r,AB,0
58906.3,21.68,,True,g,AB,0
58906.3,21.74,,True,g,AB,0
58906.630401,20.0937,,True,orange,AB,0
58908.31,21.67,,True,g,AB,0
58909.31,21.42,,True,r,AB,0
58909.31,21.42,,True,r,AB,0
58910.42275,20.1425,,True,orange,AB,0
58911.23,20.92,,True,r,AB,0
58911.39,21.28,,True,g,AB,0
58912.26,21.11,,True,g,AB,0
58912.26,21.28,,True,g,AB,0
58912.31,20.88,,True,i,AB,0
58912.41,21.07,,True,r,AB,0
58912.41,21.23,,True,r,AB,0
58913.22,20.85,,True,r,AB,0
58913.3,21.06,,True,g,AB,0
58914.23,19.59,,True,g,AB,0
58914.36,20.76,,True,r,AB,0
58914.385351,19.8685,,True,orange,AB,0
58915.24,20.51,,True,g,AB,0
58915.24,20.57,,True,g,AB,0
58915.36,20.71,,True,r,AB,0
58915.37,20.79,,True,r,AB,0
58916.571461,19.091,,True,orange,AB,0
58918.477372,19.6887,,True,orange,AB,0
58920.434054,19.4653,,True,orange,AB,0
58922.394949,19.702,,True,orange,AB,0
58932.359494,20.7614,,True,cyan,AB,0
58936.26,21.74,,True,g,AB,0
58936.26,21.89,,True,g,AB,0
58936.4263,19.3733,,True,cyan,AB,0
58938.497039,20.1006,,True,orange,AB,0
58939.18,21.29,,True,r,AB,0
58939.21,21.32,,True,r,AB,0
58939.21,21.5,,True,r,AB,0
58939.3,21.05,,True,g,AB,0
58939.3,21.06,,True,g,AB,0
58940.22,20.45,,True,r,AB,0
58941.22,21.14,,True,r,AB,0
58941.26,20.84,,True,g,AB,0
58942.408495,19.0408,,True,orange,AB,0
